gene_id	tissue	species	n_pipe	pipe
ENSGALG00000009387	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000006039	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000006802	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000007053	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000028084	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000002018	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000009881	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000017189	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000028320	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000021334	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000017417	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000016415	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000026153	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000000579	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000008865	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000028605	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000028879	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000005902	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000010204	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000016975	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000017347	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000014639	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000028543	Brain	Chicken	2	splineR MaSigPro 
ENSGALG00000007537	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000007779	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000008293	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000010571	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000010775	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000011525	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000011596	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000012808	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000013920	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000017312	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000018624	Brain	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000027082	Brain	Chicken	2	DESeq2 splineR 
ENSGALG00000027611	Brain	Chicken	2	DESeq2 splineR 
ENSGALG00000028195	Brain	Chicken	2	DESeq2 splineR 
ENSGALG00000000208	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001111	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001172	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001450	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001476	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001709	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001770	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001849	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001872	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001905	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001912	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000001933	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000002626	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000002735	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000003287	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000003410	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000003541	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000003601	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000003701	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000003726	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000004011	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000004170	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000004486	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000004643	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000004777	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000004963	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000005140	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000005242	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000005403	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000005800	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000006008	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000006014	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000006060	Brain	Chicken	2	MaSigPro In-house 
ENSGALG00000006097	Brain	Chicken	2	MaSigPro In-house 
