gene_id	tissue	species	n_pipe	pipe
ENSGALG00000009382	Cerebellum	Chicken	2	splineR MaSigPro 
ENSGALG00000000660	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000002797	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000004647	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000005134	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000006047	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000007914	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000008969	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000009576	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000010073	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000010301	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000013067	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000021676	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000026009	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000027126	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000029036	Cerebellum	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000029045	Cerebellum	Chicken	2	DESeq2 splineR 
ENSGALG00000000055	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000000208	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000000600	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000001808	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000001849	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000001867	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000001932	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000002087	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000002234	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000002439	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000002599	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000002735	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000002878	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000003019	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000003295	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000003645	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000003726	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000004059	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000004106	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000005048	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000005164	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000005323	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000005416	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000005800	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000006099	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000006822	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000006839	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000007493	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000007715	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000008124	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000008714	Cerebellum	Chicken	2	MaSigPro In-house 
ENSGALG00000009365	Cerebellum	Chicken	2	MaSigPro In-house 
