gene_id	tissue	species	n_pipe	pipe
ENSGALG00000017621	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000027497	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000028824	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000013350	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000006688	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000005412	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000002210	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000011475	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000000576	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000026809	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000007302	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000027798	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000018815	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000026394	Heart	Chicken	2	splineR MaSigPro 
ENSGALG00000004170	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000005330	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000005351	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000006724	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000011284	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000014673	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000014690	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000014711	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000015148	Heart	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000000004	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000000151	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000000638	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000000720	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000001630	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000001717	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000003258	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000004849	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000005577	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000005971	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000006348	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000006409	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000008625	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000008811	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000008840	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000010440	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000010910	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000011252	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000011994	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000012188	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000013740	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000014773	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000014784	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000015097	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000015141	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000015879	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000019873	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000026884	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000027075	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000027848	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000028529	Heart	Chicken	2	MaSigPro In-house 
ENSGALG00000015902	Heart	Chicken	2	splineR In-house 
ENSGALG00000000308	Heart	Chicken	2	splineR In-house 
ENSGALG00000025964	Heart	Chicken	2	splineR In-house 
ENSGALG00000027155	Heart	Chicken	2	splineR In-house 
ENSGALG00000012102	Heart	Chicken	2	splineR In-house 
ENSGALG00000021636	Heart	Chicken	2	splineR In-house 
ENSGALG00000028448	Heart	Chicken	2	splineR In-house 
