gene_id	tissue	species	n_pipe	pipe
ENSGALG00000002258	Kidney	Chicken	2	splineR MaSigPro 
ENSGALG00000015810	Kidney	Chicken	2	splineR MaSigPro 
ENSGALG00000015623	Kidney	Chicken	2	splineR MaSigPro 
ENSGALG00000000234	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000002326	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000002599	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000003747	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000007044	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000012593	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000012629	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000014673	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000014807	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000014855	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000015598	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000015683	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000027907	Kidney	Chicken	3	DESeq2 MaSigPro In-house 
ENSGALG00000026425	Kidney	Chicken	2	DESeq2 splineR 
ENSGALG00000000737	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000001184	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000001192	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000001255	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000001661	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000002054	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000002162	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000002412	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000002479	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000003011	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000003253	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000003321	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000003716	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000004284	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000004494	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000005416	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000005426	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000005702	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000006486	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000006551	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000007357	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000007510	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000007998	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000008326	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000008436	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000008992	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000009324	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000009788	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000010272	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000010290	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000010440	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000010577	Kidney	Chicken	2	MaSigPro In-house 
ENSGALG00000010652	Kidney	Chicken	2	MaSigPro In-house 
