gene_id	tissue	species	n_pipe	pipe
ENSGALG00000005353	Liver	Chicken	2	splineR MaSigPro 
ENSGALG00000008266	Liver	Chicken	2	DESeq2 MaSigPro 
ENSGALG00000001793	Liver	Chicken	2	DESeq2 splineR 
ENSGALG00000000151	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000000244	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000000255	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000000629	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000000719	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000001046	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000001465	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000001745	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000002030	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000002266	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000002317	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000002341	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000002431	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000002599	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000003308	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000003311	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000003353	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000003495	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000004449	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000004509	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000004823	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000004952	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000005092	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000005417	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000005426	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000005583	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000005704	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000005728	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000006319	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000006560	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000006562	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000006978	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000007579	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000007610	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000008608	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000008870	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000009047	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000009885	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000011227	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000011433	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000011646	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000011724	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000011842	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000012250	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000012615	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000012618	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000012635	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000012638	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000012973	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000013021	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000013051	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000013967	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000014753	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000014788	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000014840	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000014852	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000014880	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000014907	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000014911	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015008	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015097	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015119	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015134	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015216	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015339	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015469	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015492	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015684	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015691	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000015984	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000016024	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000016108	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000016438	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000016496	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000016654	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000019201	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000019277	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000021692	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000023409	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000025733	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000025956	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000026019	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000026824	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000027075	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000027140	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000027428	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000027761	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000027927	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000028063	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000028294	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000028298	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000028691	Liver	Chicken	2	MaSigPro In-house 
ENSGALG00000028861	Liver	Chicken	2	MaSigPro In-house 
