gene_id	tissue	species	n_pipe	pipe
ENSG00000175520	Brain	Human	2	splineR MaSigPro 
ENSG00000198121	Brain	Human	2	splineR MaSigPro 
ENSG00000117859	Brain	Human	2	splineR MaSigPro 
ENSG00000171495	Brain	Human	2	splineR MaSigPro 
ENSG00000165113	Brain	Human	2	splineR MaSigPro 
ENSG00000186910	Brain	Human	2	splineR MaSigPro 
ENSG00000136240	Brain	Human	2	splineR MaSigPro 
ENSG00000240764	Brain	Human	2	splineR MaSigPro 
ENSG00000251322	Brain	Human	2	splineR MaSigPro 
ENSG00000168484	Brain	Human	2	splineR MaSigPro 
ENSG00000108557	Brain	Human	2	splineR MaSigPro 
ENSG00000141503	Brain	Human	2	splineR MaSigPro 
ENSG00000047644	Brain	Human	2	splineR MaSigPro 
ENSG00000111261	Brain	Human	2	DESeq2 MaSigPro 
ENSG00000012124	Brain	Human	2	DESeq2 splineR 
ENSG00000054690	Brain	Human	2	DESeq2 splineR 
ENSG00000076513	Brain	Human	2	DESeq2 splineR 
ENSG00000091513	Brain	Human	2	DESeq2 splineR 
ENSG00000107593	Brain	Human	2	DESeq2 splineR 
ENSG00000121690	Brain	Human	2	DESeq2 splineR 
ENSG00000164124	Brain	Human	2	DESeq2 splineR 
ENSG00000167123	Brain	Human	2	DESeq2 splineR 
ENSG00000176532	Brain	Human	2	DESeq2 splineR 
ENSG00000176912	Brain	Human	2	DESeq2 splineR 
ENSG00000204655	Brain	Human	2	DESeq2 splineR 
ENSG00000207955	Brain	Human	2	DESeq2 splineR 
ENSG00000234531	Brain	Human	2	DESeq2 splineR 
ENSG00000003249	Brain	Human	2	MaSigPro In-house 
ENSG00000008118	Brain	Human	2	MaSigPro In-house 
ENSG00000010404	Brain	Human	2	MaSigPro In-house 
ENSG00000029993	Brain	Human	2	MaSigPro In-house 
ENSG00000048028	Brain	Human	2	MaSigPro In-house 
ENSG00000049167	Brain	Human	2	MaSigPro In-house 
ENSG00000060339	Brain	Human	2	MaSigPro In-house 
ENSG00000064703	Brain	Human	2	MaSigPro In-house 
ENSG00000072954	Brain	Human	2	MaSigPro In-house 
ENSG00000083123	Brain	Human	2	MaSigPro In-house 
ENSG00000084093	Brain	Human	2	MaSigPro In-house 
ENSG00000087087	Brain	Human	2	MaSigPro In-house 
ENSG00000088899	Brain	Human	2	MaSigPro In-house 
ENSG00000089041	Brain	Human	2	MaSigPro In-house 
ENSG00000090061	Brain	Human	2	MaSigPro In-house 
ENSG00000099814	Brain	Human	2	MaSigPro In-house 
ENSG00000100813	Brain	Human	2	MaSigPro In-house 
ENSG00000101158	Brain	Human	2	MaSigPro In-house 
ENSG00000101442	Brain	Human	2	MaSigPro In-house 
ENSG00000102096	Brain	Human	2	MaSigPro In-house 
ENSG00000102572	Brain	Human	2	MaSigPro In-house 
ENSG00000103512	Brain	Human	2	MaSigPro In-house 
ENSG00000103528	Brain	Human	2	MaSigPro In-house 
ENSG00000107614	Brain	Human	2	MaSigPro In-house 
ENSG00000108559	Brain	Human	2	MaSigPro In-house 
ENSG00000111404	Brain	Human	2	MaSigPro In-house 
ENSG00000115687	Brain	Human	2	MaSigPro In-house 
ENSG00000116062	Brain	Human	2	MaSigPro In-house 
ENSG00000117013	Brain	Human	2	MaSigPro In-house 
ENSG00000119698	Brain	Human	2	MaSigPro In-house 
ENSG00000120756	Brain	Human	2	MaSigPro In-house 
ENSG00000122483	Brain	Human	2	MaSigPro In-house 
ENSG00000124134	Brain	Human	2	MaSigPro In-house 
ENSG00000126226	Brain	Human	2	MaSigPro In-house 
ENSG00000128285	Brain	Human	2	MaSigPro In-house 
ENSG00000128656	Brain	Human	2	MaSigPro In-house 
ENSG00000129473	Brain	Human	2	MaSigPro In-house 
ENSG00000129646	Brain	Human	2	MaSigPro In-house 
ENSG00000130707	Brain	Human	2	MaSigPro In-house 
ENSG00000130935	Brain	Human	2	MaSigPro In-house 
ENSG00000131470	Brain	Human	2	MaSigPro In-house 
ENSG00000132300	Brain	Human	2	MaSigPro In-house 
ENSG00000132781	Brain	Human	2	MaSigPro In-house 
ENSG00000133884	Brain	Human	2	MaSigPro In-house 
ENSG00000134815	Brain	Human	2	MaSigPro In-house 
ENSG00000134901	Brain	Human	2	MaSigPro In-house 
ENSG00000134917	Brain	Human	2	MaSigPro In-house 
ENSG00000140455	Brain	Human	2	MaSigPro In-house 
ENSG00000140548	Brain	Human	2	MaSigPro In-house 
