gene_id	tissue	species	n_pipe	pipe
ENSG00000122304	Cerebellum	Human	2	splineR MaSigPro 
ENSG00000175646	Cerebellum	Human	2	splineR MaSigPro 
ENSG00000071564	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000090776	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000097007	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000100105	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000135097	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000136404	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000166592	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000167693	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000168268	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000256663	Cerebellum	Human	2	DESeq2 MaSigPro 
ENSG00000064886	Cerebellum	Human	2	DESeq2 splineR 
ENSG00000128342	Cerebellum	Human	2	DESeq2 splineR 
ENSG00000168334	Cerebellum	Human	2	DESeq2 splineR 
ENSG00000226338	Cerebellum	Human	2	DESeq2 splineR 
ENSG00000272255	Cerebellum	Human	2	DESeq2 splineR 
ENSG00000008056	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000065978	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000087338	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000102595	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000113240	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000123552	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000136327	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000137726	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000142856	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000147592	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000154645	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000155849	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000156298	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000164953	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000166501	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000166669	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000181350	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000188811	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000196668	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000198586	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000205664	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000230415	Cerebellum	Human	2	MaSigPro In-house 
ENSG00000203784	Cerebellum	Human	2	splineR In-house 
ENSG00000267918	Cerebellum	Human	2	splineR In-house 
ENSG00000068885	Cerebellum	Human	2	splineR In-house 
ENSG00000184674	Cerebellum	Human	2	splineR In-house 
ENSG00000225099	Cerebellum	Human	2	splineR In-house 
ENSG00000005889	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000006756	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000106013	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000108774	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000111331	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000125650	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000147050	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000153266	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000160803	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000186312	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000198034	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000204390	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000213280	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000218265	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000223551	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000255262	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000265242	Cerebellum	Human	2	DESeq2 In-house 
ENSG00000012817	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000067048	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000067646	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000114374	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000129824	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000140332	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000154620	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000165246	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000183878	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000198692	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000233864	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000241859	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
XLOC_054028	Cerebellum	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000118245	Cerebellum	Human	3	splineR MaSigPro In-house 
ENSG00000231312	Cerebellum	Human	3	splineR MaSigPro In-house 
ENSG00000130021	Cerebellum	Human	3	DESeq2 MaSigPro In-house 
ENSG00000154342	Cerebellum	Human	3	DESeq2 MaSigPro In-house 
ENSG00000006757	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000092377	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000099715	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000126012	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000130985	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000173801	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000184895	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000205871	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000213318	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000260197	Cerebellum	Human	3	DESeq2 splineR In-house 
XLOC_053296	Cerebellum	Human	3	DESeq2 splineR In-house 
ENSG00000005469	Cerebellum	Human	1	DESeq2 
ENSG00000012223	Cerebellum	Human	1	DESeq2 
ENSG00000071051	Cerebellum	Human	1	DESeq2 
ENSG00000075624	Cerebellum	Human	1	DESeq2 
ENSG00000077009	Cerebellum	Human	1	DESeq2 
ENSG00000085185	Cerebellum	Human	1	DESeq2 
ENSG00000089127	Cerebellum	Human	1	DESeq2 
ENSG00000102802	Cerebellum	Human	1	DESeq2 
ENSG00000104856	Cerebellum	Human	1	DESeq2 
ENSG00000105323	Cerebellum	Human	1	DESeq2 
ENSG00000105723	Cerebellum	Human	1	DESeq2 
ENSG00000106211	Cerebellum	Human	1	DESeq2 
ENSG00000111245	Cerebellum	Human	1	DESeq2 
ENSG00000114854	Cerebellum	Human	1	DESeq2 
ENSG00000119917	Cerebellum	Human	1	DESeq2 
ENSG00000120949	Cerebellum	Human	1	DESeq2 
ENSG00000122756	Cerebellum	Human	1	DESeq2 
ENSG00000125753	Cerebellum	Human	1	DESeq2 
ENSG00000126709	Cerebellum	Human	1	DESeq2 
ENSG00000129991	Cerebellum	Human	1	DESeq2 
ENSG00000130766	Cerebellum	Human	1	DESeq2 
ENSG00000131471	Cerebellum	Human	1	DESeq2 
ENSG00000132003	Cerebellum	Human	1	DESeq2 
ENSG00000132589	Cerebellum	Human	1	DESeq2 
ENSG00000135638	Cerebellum	Human	1	DESeq2 
ENSG00000136149	Cerebellum	Human	1	DESeq2 
ENSG00000136352	Cerebellum	Human	1	DESeq2 
ENSG00000136802	Cerebellum	Human	1	DESeq2 
ENSG00000136830	Cerebellum	Human	1	DESeq2 
ENSG00000140464	Cerebellum	Human	1	DESeq2 
ENSG00000140988	Cerebellum	Human	1	DESeq2 
ENSG00000141858	Cerebellum	Human	1	DESeq2 
ENSG00000141867	Cerebellum	Human	1	DESeq2 
ENSG00000141985	Cerebellum	Human	1	DESeq2 
ENSG00000142669	Cerebellum	Human	1	DESeq2 
ENSG00000142700	Cerebellum	Human	1	DESeq2 
ENSG00000142784	Cerebellum	Human	1	DESeq2 
ENSG00000148704	Cerebellum	Human	1	DESeq2 
ENSG00000149257	Cerebellum	Human	1	DESeq2 
ENSG00000156587	Cerebellum	Human	1	DESeq2 
ENSG00000156639	Cerebellum	Human	1	DESeq2 
ENSG00000157601	Cerebellum	Human	1	DESeq2 
ENSG00000159251	Cerebellum	Human	1	DESeq2 
ENSG00000162244	Cerebellum	Human	1	DESeq2 
ENSG00000162430	Cerebellum	Human	1	DESeq2 
ENSG00000164054	Cerebellum	Human	1	DESeq2 
ENSG00000167470	Cerebellum	Human	1	DESeq2 
ENSG00000167513	Cerebellum	Human	1	DESeq2 
ENSG00000168274	Cerebellum	Human	1	DESeq2 
ENSG00000168874	Cerebellum	Human	1	DESeq2 
ENSG00000168884	Cerebellum	Human	1	DESeq2 
ENSG00000171119	Cerebellum	Human	1	DESeq2 
ENSG00000171206	Cerebellum	Human	1	DESeq2 
ENSG00000172081	Cerebellum	Human	1	DESeq2 
ENSG00000174576	Cerebellum	Human	1	DESeq2 
