gene_id	tissue	species	n_pipe	pipe
ENSG00000140853	Heart	Human	3	splineR MaSigPro In-house 
ENSG00000143398	Heart	Human	3	splineR MaSigPro In-house 
ENSG00000152086	Heart	Human	3	splineR MaSigPro In-house 
ENSG00000081051	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000084674	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000091513	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000101076	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000106927	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000112759	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000122194	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000133065	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000138207	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000145192	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000151655	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000167711	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000171564	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000171759	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000197249	Heart	Human	2	DESeq2 MaSigPro 
ENSG00000069188	Heart	Human	2	MaSigPro In-house 
ENSG00000075618	Heart	Human	2	MaSigPro In-house 
ENSG00000100626	Heart	Human	2	MaSigPro In-house 
ENSG00000101162	Heart	Human	2	MaSigPro In-house 
ENSG00000101935	Heart	Human	2	MaSigPro In-house 
ENSG00000102096	Heart	Human	2	MaSigPro In-house 
ENSG00000105612	Heart	Human	2	MaSigPro In-house 
ENSG00000105639	Heart	Human	2	MaSigPro In-house 
ENSG00000108381	Heart	Human	2	MaSigPro In-house 
ENSG00000110013	Heart	Human	2	MaSigPro In-house 
ENSG00000110328	Heart	Human	2	MaSigPro In-house 
ENSG00000110799	Heart	Human	2	MaSigPro In-house 
ENSG00000112773	Heart	Human	2	MaSigPro In-house 
ENSG00000117016	Heart	Human	2	MaSigPro In-house 
ENSG00000120158	Heart	Human	2	MaSigPro In-house 
ENSG00000120647	Heart	Human	2	MaSigPro In-house 
ENSG00000120948	Heart	Human	2	MaSigPro In-house 
ENSG00000122679	Heart	Human	2	MaSigPro In-house 
ENSG00000125354	Heart	Human	2	MaSigPro In-house 
ENSG00000130234	Heart	Human	2	MaSigPro In-house 
ENSG00000131100	Heart	Human	2	MaSigPro In-house 
ENSG00000131634	Heart	Human	2	MaSigPro In-house 
ENSG00000133740	Heart	Human	2	MaSigPro In-house 
ENSG00000138115	Heart	Human	2	MaSigPro In-house 
ENSG00000138821	Heart	Human	2	MaSigPro In-house 
ENSG00000140682	Heart	Human	2	MaSigPro In-house 
ENSG00000141198	Heart	Human	2	MaSigPro In-house 
ENSG00000143627	Heart	Human	2	MaSigPro In-house 
ENSG00000148737	Heart	Human	2	MaSigPro In-house 
ENSG00000151690	Heart	Human	2	MaSigPro In-house 
ENSG00000151849	Heart	Human	2	MaSigPro In-house 
ENSG00000153790	Heart	Human	2	MaSigPro In-house 
ENSG00000154133	Heart	Human	2	MaSigPro In-house 
ENSG00000154678	Heart	Human	2	MaSigPro In-house 
ENSG00000155368	Heart	Human	2	MaSigPro In-house 
ENSG00000159164	Heart	Human	2	MaSigPro In-house 
ENSG00000162367	Heart	Human	2	MaSigPro In-house 
ENSG00000163006	Heart	Human	2	MaSigPro In-house 
ENSG00000164010	Heart	Human	2	MaSigPro In-house 
ENSG00000165702	Heart	Human	2	MaSigPro In-house 
ENSG00000166257	Heart	Human	2	MaSigPro In-house 
ENSG00000170915	Heart	Human	2	MaSigPro In-house 
ENSG00000171408	Heart	Human	2	MaSigPro In-house 
ENSG00000171840	Heart	Human	2	MaSigPro In-house 
ENSG00000173898	Heart	Human	2	MaSigPro In-house 
