gene_id	tissue	species	n_pipe	pipe
ENSG00000022556	Liver	Human	2	DESeq2 MaSigPro 
ENSG00000006468	Liver	Human	2	MaSigPro In-house 
ENSG00000007001	Liver	Human	2	MaSigPro In-house 
ENSG00000007062	Liver	Human	2	MaSigPro In-house 
ENSG00000019169	Liver	Human	2	MaSigPro In-house 
ENSG00000057019	Liver	Human	2	MaSigPro In-house 
ENSG00000057704	Liver	Human	2	MaSigPro In-house 
ENSG00000073756	Liver	Human	2	MaSigPro In-house 
ENSG00000081237	Liver	Human	2	MaSigPro In-house 
ENSG00000088543	Liver	Human	2	MaSigPro In-house 
ENSG00000114631	Liver	Human	2	MaSigPro In-house 
ENSG00000142449	Liver	Human	2	MaSigPro In-house 
ENSG00000144057	Liver	Human	2	MaSigPro In-house 
ENSG00000148541	Liver	Human	2	MaSigPro In-house 
ENSG00000149970	Liver	Human	2	MaSigPro In-house 
ENSG00000160339	Liver	Human	2	MaSigPro In-house 
ENSG00000162065	Liver	Human	2	MaSigPro In-house 
ENSG00000162894	Liver	Human	2	MaSigPro In-house 
ENSG00000165863	Liver	Human	2	MaSigPro In-house 
ENSG00000178184	Liver	Human	2	MaSigPro In-house 
ENSG00000187474	Liver	Human	2	MaSigPro In-house 
ENSG00000204287	Liver	Human	2	MaSigPro In-house 
ENSG00000234502	Liver	Human	2	MaSigPro In-house 
XLOC_054028	Liver	Human	2	splineR In-house 
ENSG00000211959	Liver	Human	2	splineR In-house 
ENSG00000137078	Liver	Human	2	splineR In-house 
ENSG00000108924	Liver	Human	2	splineR In-house 
ENSG00000105246	Liver	Human	2	DESeq2 In-house 
ENSG00000138180	Liver	Human	2	DESeq2 In-house 
ENSG00000158014	Liver	Human	2	DESeq2 In-house 
ENSG00000241859	Liver	Human	2	DESeq2 In-house 
ENSG00000264424	Liver	Human	2	DESeq2 In-house 
XLOC_053296	Liver	Human	2	DESeq2 In-house 
ENSG00000067646	Liver	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000114374	Liver	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000154620	Liver	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000183878	Liver	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000198692	Liver	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000260197	Liver	Human	4	DESeq2 splineR MaSigPro In-house 
ENSG00000012817	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000067048	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000092377	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000126012	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000129824	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000165246	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000184895	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000213318	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000233864	Liver	Human	3	DESeq2 splineR In-house 
ENSG00000050344	Liver	Human	1	DESeq2 
ENSG00000138109	Liver	Human	1	DESeq2 
ENSG00000163735	Liver	Human	1	DESeq2 
ENSG00000171388	Liver	Human	1	DESeq2 
ENSG00000186407	Liver	Human	1	DESeq2 
ENSG00000189410	Liver	Human	1	DESeq2 
ENSG00000196611	Liver	Human	1	DESeq2 
ENSG00000269028	Liver	Human	1	DESeq2 
ENSG00000263045	Liver	Human	1	splineR 
ENSG00000250436	Liver	Human	1	splineR 
ENSG00000266803	Liver	Human	1	splineR 
ENSG00000000971	Liver	Human	1	MaSigPro 
ENSG00000004799	Liver	Human	1	MaSigPro 
ENSG00000011347	Liver	Human	1	MaSigPro 
ENSG00000021852	Liver	Human	1	MaSigPro 
ENSG00000022567	Liver	Human	1	MaSigPro 
ENSG00000031081	Liver	Human	1	MaSigPro 
ENSG00000039537	Liver	Human	1	MaSigPro 
ENSG00000057294	Liver	Human	1	MaSigPro 
ENSG00000066248	Liver	Human	1	MaSigPro 
ENSG00000070159	Liver	Human	1	MaSigPro 
ENSG00000073734	Liver	Human	1	MaSigPro 
ENSG00000074181	Liver	Human	1	MaSigPro 
ENSG00000076043	Liver	Human	1	MaSigPro 
ENSG00000090104	Liver	Human	1	MaSigPro 
ENSG00000092421	Liver	Human	1	MaSigPro 
ENSG00000095739	Liver	Human	1	MaSigPro 
ENSG00000100239	Liver	Human	1	MaSigPro 
ENSG00000100360	Liver	Human	1	MaSigPro 
ENSG00000101384	Liver	Human	1	MaSigPro 
ENSG00000101981	Liver	Human	1	MaSigPro 
ENSG00000104413	Liver	Human	1	MaSigPro 
ENSG00000104537	Liver	Human	1	MaSigPro 
ENSG00000104894	Liver	Human	1	MaSigPro 
ENSG00000105281	Liver	Human	1	MaSigPro 
ENSG00000105767	Liver	Human	1	MaSigPro 
ENSG00000105784	Liver	Human	1	MaSigPro 
ENSG00000106004	Liver	Human	1	MaSigPro 
ENSG00000106605	Liver	Human	1	MaSigPro 
ENSG00000109472	Liver	Human	1	MaSigPro 
ENSG00000109501	Liver	Human	1	MaSigPro 
ENSG00000109819	Liver	Human	1	MaSigPro 
ENSG00000110660	Liver	Human	1	MaSigPro 
ENSG00000111817	Liver	Human	1	MaSigPro 
ENSG00000111879	Liver	Human	1	MaSigPro 
ENSG00000115594	Liver	Human	1	MaSigPro 
ENSG00000116574	Liver	Human	1	MaSigPro 
ENSG00000116678	Liver	Human	1	MaSigPro 
ENSG00000116690	Liver	Human	1	MaSigPro 
ENSG00000118257	Liver	Human	1	MaSigPro 
ENSG00000118402	Liver	Human	1	MaSigPro 
ENSG00000118971	Liver	Human	1	MaSigPro 
ENSG00000120129	Liver	Human	1	MaSigPro 
ENSG00000120158	Liver	Human	1	MaSigPro 
ENSG00000120659	Liver	Human	1	MaSigPro 
ENSG00000121797	Liver	Human	1	MaSigPro 
ENSG00000121848	Liver	Human	1	MaSigPro 
ENSG00000121871	Liver	Human	1	MaSigPro 
ENSG00000121966	Liver	Human	1	MaSigPro 
ENSG00000121989	Liver	Human	1	MaSigPro 
ENSG00000125347	Liver	Human	1	MaSigPro 
ENSG00000125730	Liver	Human	1	MaSigPro 
ENSG00000127954	Liver	Human	1	MaSigPro 
ENSG00000128641	Liver	Human	1	MaSigPro 
ENSG00000134222	Liver	Human	1	MaSigPro 
ENSG00000135333	Liver	Human	1	MaSigPro 
ENSG00000135919	Liver	Human	1	MaSigPro 
ENSG00000136881	Liver	Human	1	MaSigPro 
ENSG00000138792	Liver	Human	1	MaSigPro 
ENSG00000139112	Liver	Human	1	MaSigPro 
ENSG00000140848	Liver	Human	1	MaSigPro 
ENSG00000142961	Liver	Human	1	MaSigPro 
ENSG00000143079	Liver	Human	1	MaSigPro 
ENSG00000143878	Liver	Human	1	MaSigPro 
ENSG00000145321	Liver	Human	1	MaSigPro 
ENSG00000146521	Liver	Human	1	MaSigPro 
ENSG00000147642	Liver	Human	1	MaSigPro 
ENSG00000148572	Liver	Human	1	MaSigPro 
ENSG00000150893	Liver	Human	1	MaSigPro 
ENSG00000151224	Liver	Human	1	MaSigPro 
ENSG00000151726	Liver	Human	1	MaSigPro 
ENSG00000154262	Liver	Human	1	MaSigPro 
ENSG00000155760	Liver	Human	1	MaSigPro 
ENSG00000156463	Liver	Human	1	MaSigPro 
ENSG00000157045	Liver	Human	1	MaSigPro 
ENSG00000157851	Liver	Human	1	MaSigPro 
ENSG00000158164	Liver	Human	1	MaSigPro 
ENSG00000158427	Liver	Human	1	MaSigPro 
ENSG00000158623	Liver	Human	1	MaSigPro 
ENSG00000160862	Liver	Human	1	MaSigPro 
ENSG00000161921	Liver	Human	1	MaSigPro 
ENSG00000163449	Liver	Human	1	MaSigPro 
ENSG00000164093	Liver	Human	1	MaSigPro 
ENSG00000164220	Liver	Human	1	MaSigPro 
ENSG00000164344	Liver	Human	1	MaSigPro 
ENSG00000165138	Liver	Human	1	MaSigPro 
ENSG00000165757	Liver	Human	1	MaSigPro 
