gene_id	tissue	species	n_pipe	pipe
ENSMUSG00000031226	Brain	Mouse	3	splineR MaSigPro In-house 
ENSMUSG00000051599	Brain	Mouse	2	MaSigPro In-house 
ENSMUSG00000059751	Brain	Mouse	2	DESeq2 In-house 
ENSMUSG00000025332	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000032557	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000035150	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000037369	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000056673	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000068457	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000069045	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000069049	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000099876	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
XLOC_045664	Brain	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000101059	Brain	Mouse	3	DESeq2 splineR In-house 
XLOC_044866	Brain	Mouse	3	DESeq2 splineR In-house 
ENSMUSG00000017300	Brain	Mouse	1	DESeq2 
ENSMUSG00000030672	Brain	Mouse	1	DESeq2 
ENSMUSG00000030730	Brain	Mouse	1	DESeq2 
ENSMUSG00000031097	Brain	Mouse	1	DESeq2 
ENSMUSG00000031972	Brain	Mouse	1	DESeq2 
ENSMUSG00000040385	Brain	Mouse	1	DESeq2 
ENSMUSG00000055775	Brain	Mouse	1	DESeq2 
ENSMUSG00000061723	Brain	Mouse	1	DESeq2 
ENSMUSG00000062846	Brain	Mouse	1	DESeq2 
ENSMUSG00000063543	Brain	Mouse	1	DESeq2 
ENSMUSG00000065037	Brain	Mouse	1	DESeq2 
ENSMUSG00000067736	Brain	Mouse	1	DESeq2 
ENSMUSG00000068262	Brain	Mouse	1	DESeq2 
ENSMUSG00000069806	Brain	Mouse	1	DESeq2 
ENSMUSG00000080806	Brain	Mouse	1	DESeq2 
ENSMUSG00000082420	Brain	Mouse	1	DESeq2 
ENSMUSG00000082457	Brain	Mouse	1	DESeq2 
ENSMUSG00000083011	Brain	Mouse	1	DESeq2 
ENSMUSG00000083154	Brain	Mouse	1	DESeq2 
ENSMUSG00000083270	Brain	Mouse	1	DESeq2 
ENSMUSG00000083631	Brain	Mouse	1	DESeq2 
ENSMUSG00000087233	Brain	Mouse	1	DESeq2 
ENSMUSG00000089703	Brain	Mouse	1	DESeq2 
ENSMUSG00000092837	Brain	Mouse	1	DESeq2 
ENSMUSG00000096449	Brain	Mouse	1	DESeq2 
ENSMUSG00000096994	Brain	Mouse	1	DESeq2 
ENSMUSG00000100131	Brain	Mouse	1	DESeq2 
ENSMUSG00000100862	Brain	Mouse	1	DESeq2 
ENSMUSG00000101111	Brain	Mouse	1	DESeq2 
ENSMUSG00000101249	Brain	Mouse	1	DESeq2 
ENSMUSG00000101372	Brain	Mouse	1	DESeq2 
ENSMUSG00000101939	Brain	Mouse	1	DESeq2 
ENSMUSG00000102070	Brain	Mouse	1	DESeq2 
