gene_id	tissue	species	n_pipe	pipe
ENSMUSG00000003477	Heart	Mouse	2	splineR MaSigPro 
ENSMUSG00000018986	Heart	Mouse	2	MaSigPro In-house 
ENSMUSG00000027750	Heart	Mouse	2	MaSigPro In-house 
ENSMUSG00000030208	Heart	Mouse	2	MaSigPro In-house 
ENSMUSG00000037406	Heart	Mouse	2	MaSigPro In-house 
ENSMUSG00000043336	Heart	Mouse	2	MaSigPro In-house 
ENSMUSG00000054203	Heart	Mouse	2	splineR In-house 
ENSMUSG00000000787	Heart	Mouse	2	DESeq2 In-house 
ENSMUSG00000021758	Heart	Mouse	2	DESeq2 In-house 
ENSMUSG00000051412	Heart	Mouse	2	DESeq2 In-house 
ENSMUSG00000079297	Heart	Mouse	2	DESeq2 In-house 
ENSMUSG00000100862	Heart	Mouse	2	DESeq2 In-house 
ENSMUSG00000101249	Heart	Mouse	2	DESeq2 In-house 
ENSMUSG00000101372	Heart	Mouse	2	DESeq2 In-house 
ENSMUSG00000102070	Heart	Mouse	2	DESeq2 In-house 
ENSMUSG00000025332	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000031226	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000032557	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000037369	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000056673	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000068457	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000069045	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000069049	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000099876	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
XLOC_044866	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
XLOC_045664	Heart	Mouse	4	DESeq2 splineR MaSigPro In-house 
ENSMUSG00000035150	Heart	Mouse	3	DESeq2 splineR In-house 
ENSMUSG00000101059	Heart	Mouse	3	DESeq2 splineR In-house 
ENSMUSG00000003436	Heart	Mouse	1	DESeq2 
ENSMUSG00000005892	Heart	Mouse	1	DESeq2 
ENSMUSG00000006575	Heart	Mouse	1	DESeq2 
ENSMUSG00000015222	Heart	Mouse	1	DESeq2 
ENSMUSG00000018698	Heart	Mouse	1	DESeq2 
ENSMUSG00000019874	Heart	Mouse	1	DESeq2 
ENSMUSG00000020037	Heart	Mouse	1	DESeq2 
ENSMUSG00000024835	Heart	Mouse	1	DESeq2 
ENSMUSG00000025927	Heart	Mouse	1	DESeq2 
ENSMUSG00000026442	Heart	Mouse	1	DESeq2 
ENSMUSG00000027168	Heart	Mouse	1	DESeq2 
ENSMUSG00000028417	Heart	Mouse	1	DESeq2 
ENSMUSG00000032118	Heart	Mouse	1	DESeq2 
ENSMUSG00000032128	Heart	Mouse	1	DESeq2 
ENSMUSG00000032181	Heart	Mouse	1	DESeq2 
ENSMUSG00000032368	Heart	Mouse	1	DESeq2 
ENSMUSG00000033740	Heart	Mouse	1	DESeq2 
ENSMUSG00000039095	Heart	Mouse	1	DESeq2 
ENSMUSG00000039224	Heart	Mouse	1	DESeq2 
ENSMUSG00000040385	Heart	Mouse	1	DESeq2 
ENSMUSG00000042873	Heart	Mouse	1	DESeq2 
ENSMUSG00000043969	Heart	Mouse	1	DESeq2 
ENSMUSG00000044349	Heart	Mouse	1	DESeq2 
ENSMUSG00000044361	Heart	Mouse	1	DESeq2 
ENSMUSG00000044609	Heart	Mouse	1	DESeq2 
ENSMUSG00000045455	Heart	Mouse	1	DESeq2 
ENSMUSG00000045515	Heart	Mouse	1	DESeq2 
ENSMUSG00000045518	Heart	Mouse	1	DESeq2 
ENSMUSG00000045991	Heart	Mouse	1	DESeq2 
ENSMUSG00000046338	Heart	Mouse	1	DESeq2 
ENSMUSG00000047565	Heart	Mouse	1	DESeq2 
ENSMUSG00000048349	Heart	Mouse	1	DESeq2 
ENSMUSG00000048385	Heart	Mouse	1	DESeq2 
ENSMUSG00000049233	Heart	Mouse	1	DESeq2 
ENSMUSG00000050035	Heart	Mouse	1	DESeq2 
ENSMUSG00000050299	Heart	Mouse	1	DESeq2 
ENSMUSG00000051243	Heart	Mouse	1	DESeq2 
ENSMUSG00000053038	Heart	Mouse	1	DESeq2 
ENSMUSG00000053046	Heart	Mouse	1	DESeq2 
ENSMUSG00000057762	Heart	Mouse	1	DESeq2 
ENSMUSG00000059751	Heart	Mouse	1	DESeq2 
ENSMUSG00000061524	Heart	Mouse	1	DESeq2 
ENSMUSG00000062588	Heart	Mouse	1	DESeq2 
ENSMUSG00000067106	Heart	Mouse	1	DESeq2 
ENSMUSG00000067736	Heart	Mouse	1	DESeq2 
ENSMUSG00000068566	Heart	Mouse	1	DESeq2 
ENSMUSG00000081402	Heart	Mouse	1	DESeq2 
ENSMUSG00000081683	Heart	Mouse	1	DESeq2 
ENSMUSG00000081758	Heart	Mouse	1	DESeq2 
ENSMUSG00000081853	Heart	Mouse	1	DESeq2 
ENSMUSG00000082016	Heart	Mouse	1	DESeq2 
ENSMUSG00000082264	Heart	Mouse	1	DESeq2 
ENSMUSG00000082277	Heart	Mouse	1	DESeq2 
ENSMUSG00000082457	Heart	Mouse	1	DESeq2 
ENSMUSG00000082501	Heart	Mouse	1	DESeq2 
ENSMUSG00000082678	Heart	Mouse	1	DESeq2 
ENSMUSG00000082829	Heart	Mouse	1	DESeq2 
ENSMUSG00000082875	Heart	Mouse	1	DESeq2 
ENSMUSG00000083631	Heart	Mouse	1	DESeq2 
ENSMUSG00000083793	Heart	Mouse	1	DESeq2 
ENSMUSG00000083832	Heart	Mouse	1	DESeq2 
ENSMUSG00000084234	Heart	Mouse	1	DESeq2 
ENSMUSG00000090071	Heart	Mouse	1	DESeq2 
ENSMUSG00000090125	Heart	Mouse	1	DESeq2 
ENSMUSG00000091058	Heart	Mouse	1	DESeq2 
ENSMUSG00000091223	Heart	Mouse	1	DESeq2 
ENSMUSG00000091313	Heart	Mouse	1	DESeq2 
ENSMUSG00000091363	Heart	Mouse	1	DESeq2 
ENSMUSG00000092223	Heart	Mouse	1	DESeq2 
ENSMUSG00000092406	Heart	Mouse	1	DESeq2 
ENSMUSG00000093545	Heart	Mouse	1	DESeq2 
ENSMUSG00000095139	Heart	Mouse	1	DESeq2 
ENSMUSG00000096449	Heart	Mouse	1	DESeq2 
ENSMUSG00000096994	Heart	Mouse	1	DESeq2 
ENSMUSG00000097978	Heart	Mouse	1	DESeq2 
ENSMUSG00000099065	Heart	Mouse	1	DESeq2 
ENSMUSG00000099417	Heart	Mouse	1	DESeq2 
ENSMUSG00000099631	Heart	Mouse	1	DESeq2 
ENSMUSG00000100131	Heart	Mouse	1	DESeq2 
ENSMUSG00000101111	Heart	Mouse	1	DESeq2 
ENSMUSG00000101939	Heart	Mouse	1	DESeq2 
ENSMUSG00000029272	Heart	Mouse	1	splineR 
ENSMUSG00000030972	Heart	Mouse	1	splineR 
ENSMUSG00000000058	Heart	Mouse	1	MaSigPro 
ENSMUSG00000000149	Heart	Mouse	1	MaSigPro 
ENSMUSG00000000276	Heart	Mouse	1	MaSigPro 
ENSMUSG00000000711	Heart	Mouse	1	MaSigPro 
ENSMUSG00000000811	Heart	Mouse	1	MaSigPro 
ENSMUSG00000000902	Heart	Mouse	1	MaSigPro 
ENSMUSG00000001025	Heart	Mouse	1	MaSigPro 
ENSMUSG00000001027	Heart	Mouse	1	MaSigPro 
ENSMUSG00000001100	Heart	Mouse	1	MaSigPro 
ENSMUSG00000001227	Heart	Mouse	1	MaSigPro 
ENSMUSG00000001415	Heart	Mouse	1	MaSigPro 
ENSMUSG00000001604	Heart	Mouse	1	MaSigPro 
ENSMUSG00000001666	Heart	Mouse	1	MaSigPro 
ENSMUSG00000002129	Heart	Mouse	1	MaSigPro 
ENSMUSG00000002329	Heart	Mouse	1	MaSigPro 
ENSMUSG00000002395	Heart	Mouse	1	MaSigPro 
ENSMUSG00000002797	Heart	Mouse	1	MaSigPro 
ENSMUSG00000002845	Heart	Mouse	1	MaSigPro 
ENSMUSG00000003119	Heart	Mouse	1	MaSigPro 
ENSMUSG00000003135	Heart	Mouse	1	MaSigPro 
ENSMUSG00000003235	Heart	Mouse	1	MaSigPro 
ENSMUSG00000003528	Heart	Mouse	1	MaSigPro 
ENSMUSG00000003546	Heart	Mouse	1	MaSigPro 
ENSMUSG00000004347	Heart	Mouse	1	MaSigPro 
ENSMUSG00000004552	Heart	Mouse	1	MaSigPro 
ENSMUSG00000004945	Heart	Mouse	1	MaSigPro 
ENSMUSG00000005628	Heart	Mouse	1	MaSigPro 
ENSMUSG00000005674	Heart	Mouse	1	MaSigPro 
ENSMUSG00000005881	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006014	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006127	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006418	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006574	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006611	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006673	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006732	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006930	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006941	Heart	Mouse	1	MaSigPro 
ENSMUSG00000006998	Heart	Mouse	1	MaSigPro 
ENSMUSG00000008604	Heart	Mouse	1	MaSigPro 
ENSMUSG00000009549	Heart	Mouse	1	MaSigPro 
ENSMUSG00000010054	Heart	Mouse	1	MaSigPro 
ENSMUSG00000010205	Heart	Mouse	1	MaSigPro 
