gene_id	tissue	species	n_pipe	pipe
ENSMUSG00000002688	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000021228	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000076621	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000021913	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000039246	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028277	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000027651	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000023307	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000038267	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000041515	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000058013	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000055239	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000076937	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000040383	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000025544	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000027455	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000027184	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000023994	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000024007	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000052396	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000037259	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000007589	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000024378	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000074639	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028664	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000050447	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000032640	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000020069	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000029056	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000020921	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000031683	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000022359	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000044763	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000036641	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000074661	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000033047	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028525	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000029326	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000042719	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000032265	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000025555	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000030521	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000051557	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000032548	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000033350	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000023932	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000047238	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028556	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000030609	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000022817	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000024831	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000014504	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000035413	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000030731	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000032860	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000019906	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000038668	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000027624	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000027244	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000043162	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000021608	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000043300	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000020770	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000032249	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000040471	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000020671	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028530	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000056592	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000043183	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000029110	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000021752	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000049532	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000041438	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000032479	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000021645	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000029925	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000030213	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000039804	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000021699	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000034258	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000024151	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000027993	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000045896	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000021893	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000034024	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000046324	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000019923	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000035443	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000032194	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000021904	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000056069	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000002105	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000051396	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000022234	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000033096	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000034282	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028944	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000042404	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000033808	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000005553	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000044072	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000038349	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028532	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000045962	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000010914	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000031613	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000066191	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028156	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028757	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000041658	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000026113	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000026036	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000031984	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028399	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000029119	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000019873	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000029254	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000020451	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000025410	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000016554	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000025986	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000037306	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000035021	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000027452	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000040234	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000025743	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000041199	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000035051	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000026430	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000035529	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000024528	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000090115	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000028544	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000058392	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000014164	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000027649	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000039148	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000025477	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000032301	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000014075	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000031149	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000031828	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000020534	Kidney	Mouse	2	splineR MaSigPro 
ENSMUSG00000031508	Kidney	Mouse	2	splineR MaSigPro 
