gene_id	tissue	species	n_pipe	pipe
ENSMUSG00000074183	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000069520	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000057933	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000030126	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000023044	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000028496	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000094559	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000032098	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000050248	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000061079	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000043183	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000021713	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000019822	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000031826	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000066944	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000032420	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000018171	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000090877	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000024365	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000075232	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000018899	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000021497	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000032306	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000030680	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000034826	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000025508	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000054630	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000022218	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000025795	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000068085	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000022848	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000045039	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000005069	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000024899	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000051615	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000017132	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000061718	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000024776	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000068877	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000032513	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000009894	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000026278	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000030701	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000025004	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000035354	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000026526	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000026986	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000029122	Liver	Mouse	2	splineR MaSigPro 
ENSMUSG00000029227	Liver	Mouse	2	DESeq2 MaSigPro 
ENSMUSG00000040731	Liver	Mouse	2	DESeq2 MaSigPro 
ENSMUSG00000047261	Liver	Mouse	2	DESeq2 MaSigPro 
ENSMUSG00000049580	Liver	Mouse	2	DESeq2 MaSigPro 
ENSMUSG00000057113	Liver	Mouse	2	DESeq2 MaSigPro 
ENSMUSG00000062044	Liver	Mouse	2	DESeq2 MaSigPro 
ENSMUSG00000000791	Liver	Mouse	2	DESeq2 splineR 
ENSMUSG00000007122	Liver	Mouse	2	DESeq2 splineR 
ENSMUSG00000024118	Liver	Mouse	2	DESeq2 splineR 
ENSMUSG00000024430	Liver	Mouse	2	DESeq2 splineR 
