gene_id	tissue	species	n_pipe	pipe
ENSMODG00000011337	Brain	Opossum	3	splineR MaSigPro In-house 
ENSMODG00000007718	Brain	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000009243	Brain	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000009428	Brain	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000011187	Brain	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000011547	Brain	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000012764	Brain	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000016617	Brain	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000000067	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000000268	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000002161	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000002238	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000002825	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000003407	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000003899	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000004227	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000004294	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000005477	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000005628	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000005781	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000005826	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000005959	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000006355	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000007497	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000008124	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000008479	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000008613	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000008731	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000008777	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000009449	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000010201	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000010250	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000011785	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000012456	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000012694	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000012988	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000013953	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000013987	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000014307	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000014441	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000015057	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000016153	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000016417	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000017155	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000018303	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000019571	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000019740	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000020124	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000020267	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000021092	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000023352	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000023818	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000024154	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000025606	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000028278	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000028354	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000028847	Brain	Opossum	2	MaSigPro In-house 
ENSMODG00000001715	Brain	Opossum	2	DESeq2 In-house 
ENSMODG00000017559	Brain	Opossum	2	DESeq2 In-house 
ENSMODG00000005735	Brain	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000015320	Brain	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000018722	Brain	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000020772	Brain	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000023771	Brain	Opossum	4	DESeq2 splineR MaSigPro In-house 
XLOC_045488	Brain	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000016737	Brain	Opossum	3	DESeq2 splineR In-house 
ENSMODG00000008918	Brain	Opossum	1	DESeq2 
ENSMODG00000012526	Brain	Opossum	1	DESeq2 
ENSMODG00000012962	Brain	Opossum	1	DESeq2 
ENSMODG00000016713	Brain	Opossum	1	DESeq2 
ENSMODG00000017050	Brain	Opossum	1	DESeq2 
ENSMODG00000021250	Brain	Opossum	1	DESeq2 
ENSMODG00000021251	Brain	Opossum	1	DESeq2 
ENSMODG00000028392	Brain	Opossum	1	DESeq2 
ENSMODG00000000053	Brain	Opossum	1	MaSigPro 
ENSMODG00000000154	Brain	Opossum	1	MaSigPro 
ENSMODG00000000182	Brain	Opossum	1	MaSigPro 
ENSMODG00000000220	Brain	Opossum	1	MaSigPro 
ENSMODG00000000324	Brain	Opossum	1	MaSigPro 
ENSMODG00000000517	Brain	Opossum	1	MaSigPro 
ENSMODG00000000555	Brain	Opossum	1	MaSigPro 
ENSMODG00000000609	Brain	Opossum	1	MaSigPro 
ENSMODG00000000647	Brain	Opossum	1	MaSigPro 
ENSMODG00000000718	Brain	Opossum	1	MaSigPro 
ENSMODG00000000723	Brain	Opossum	1	MaSigPro 
ENSMODG00000000953	Brain	Opossum	1	MaSigPro 
ENSMODG00000001007	Brain	Opossum	1	MaSigPro 
ENSMODG00000001084	Brain	Opossum	1	MaSigPro 
ENSMODG00000001096	Brain	Opossum	1	MaSigPro 
ENSMODG00000001108	Brain	Opossum	1	MaSigPro 
ENSMODG00000001133	Brain	Opossum	1	MaSigPro 
ENSMODG00000001149	Brain	Opossum	1	MaSigPro 
ENSMODG00000001223	Brain	Opossum	1	MaSigPro 
ENSMODG00000001720	Brain	Opossum	1	MaSigPro 
ENSMODG00000001724	Brain	Opossum	1	MaSigPro 
ENSMODG00000001739	Brain	Opossum	1	MaSigPro 
ENSMODG00000001801	Brain	Opossum	1	MaSigPro 
ENSMODG00000002007	Brain	Opossum	1	MaSigPro 
ENSMODG00000002073	Brain	Opossum	1	MaSigPro 
