gene_id	tissue	species	n_pipe	pipe
ENSMODG00000011337	Cerebellum	Opossum	3	splineR MaSigPro In-house 
ENSMODG00000013238	Cerebellum	Opossum	3	splineR MaSigPro In-house 
ENSMODG00000011547	Cerebellum	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000005735	Cerebellum	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000015195	Cerebellum	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000015320	Cerebellum	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000016737	Cerebellum	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000018722	Cerebellum	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000020772	Cerebellum	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000023771	Cerebellum	Opossum	4	DESeq2 splineR MaSigPro In-house 
XLOC_045488	Cerebellum	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000008546	Cerebellum	Opossum	2	MaSigPro In-house 
ENSMODG00000009243	Cerebellum	Opossum	2	MaSigPro In-house 
ENSMODG00000015259	Cerebellum	Opossum	2	MaSigPro In-house 
ENSMODG00000028278	Cerebellum	Opossum	2	MaSigPro In-house 
ENSMODG00000000098	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000127	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000339	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000462	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000492	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000522	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000573	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000609	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000818	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000822	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000000835	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001098	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001208	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001238	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001318	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001351	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001525	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001694	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001702	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001744	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000001963	Cerebellum	Opossum	1	MaSigPro 
ENSMODG00000002162	Cerebellum	Opossum	1	MaSigPro 
