gene_id	tissue	species	n_pipe	pipe
ENSMODG00000021497	Heart	Opossum	2	splineR MaSigPro 
ENSMODG00000014148	Heart	Opossum	2	splineR MaSigPro 
ENSMODG00000012446	Heart	Opossum	2	splineR MaSigPro 
ENSMODG00000000650	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000005090	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000006671	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000006730	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000009615	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000011059	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000012456	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000014657	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000015788	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000016001	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000017235	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000019768	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000020648	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000025706	Heart	Opossum	2	MaSigPro In-house 
ENSMODG00000001490	Heart	Opossum	2	DESeq2 In-house 
ENSMODG00000023771	Heart	Opossum	2	DESeq2 In-house 
ENSMODG00000008314	Heart	Opossum	3	DESeq2 splineR MaSigPro 
ENSMODG00000016737	Heart	Opossum	3	DESeq2 splineR In-house 
ENSMODG00000005735	Heart	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000015320	Heart	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000018722	Heart	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000020772	Heart	Opossum	4	DESeq2 splineR MaSigPro In-house 
XLOC_045488	Heart	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000001260	Heart	Opossum	1	DESeq2 
ENSMODG00000002997	Heart	Opossum	1	DESeq2 
ENSMODG00000010932	Heart	Opossum	1	DESeq2 
ENSMODG00000015648	Heart	Opossum	1	DESeq2 
ENSMODG00000020568	Heart	Opossum	1	DESeq2 
ENSMODG00000029796	Heart	Opossum	1	splineR 
ENSMODG00000018697	Heart	Opossum	1	splineR 
ENSMODG00000000183	Heart	Opossum	1	MaSigPro 
ENSMODG00000000318	Heart	Opossum	1	MaSigPro 
ENSMODG00000000418	Heart	Opossum	1	MaSigPro 
ENSMODG00000000556	Heart	Opossum	1	MaSigPro 
ENSMODG00000000631	Heart	Opossum	1	MaSigPro 
ENSMODG00000000640	Heart	Opossum	1	MaSigPro 
ENSMODG00000000687	Heart	Opossum	1	MaSigPro 
ENSMODG00000000701	Heart	Opossum	1	MaSigPro 
ENSMODG00000001001	Heart	Opossum	1	MaSigPro 
ENSMODG00000001028	Heart	Opossum	1	MaSigPro 
ENSMODG00000001191	Heart	Opossum	1	MaSigPro 
ENSMODG00000001327	Heart	Opossum	1	MaSigPro 
ENSMODG00000001391	Heart	Opossum	1	MaSigPro 
ENSMODG00000001435	Heart	Opossum	1	MaSigPro 
ENSMODG00000001656	Heart	Opossum	1	MaSigPro 
ENSMODG00000001727	Heart	Opossum	1	MaSigPro 
ENSMODG00000001735	Heart	Opossum	1	MaSigPro 
ENSMODG00000002085	Heart	Opossum	1	MaSigPro 
ENSMODG00000002206	Heart	Opossum	1	MaSigPro 
ENSMODG00000002362	Heart	Opossum	1	MaSigPro 
ENSMODG00000002447	Heart	Opossum	1	MaSigPro 
ENSMODG00000002518	Heart	Opossum	1	MaSigPro 
ENSMODG00000002575	Heart	Opossum	1	MaSigPro 
ENSMODG00000002717	Heart	Opossum	1	MaSigPro 
ENSMODG00000002763	Heart	Opossum	1	MaSigPro 
ENSMODG00000003084	Heart	Opossum	1	MaSigPro 
ENSMODG00000003153	Heart	Opossum	1	MaSigPro 
ENSMODG00000003446	Heart	Opossum	1	MaSigPro 
ENSMODG00000003578	Heart	Opossum	1	MaSigPro 
ENSMODG00000003628	Heart	Opossum	1	MaSigPro 
ENSMODG00000003692	Heart	Opossum	1	MaSigPro 
ENSMODG00000003723	Heart	Opossum	1	MaSigPro 
ENSMODG00000003795	Heart	Opossum	1	MaSigPro 
ENSMODG00000003942	Heart	Opossum	1	MaSigPro 
ENSMODG00000004172	Heart	Opossum	1	MaSigPro 
ENSMODG00000004381	Heart	Opossum	1	MaSigPro 
ENSMODG00000004416	Heart	Opossum	1	MaSigPro 
ENSMODG00000004632	Heart	Opossum	1	MaSigPro 
ENSMODG00000004659	Heart	Opossum	1	MaSigPro 
ENSMODG00000004712	Heart	Opossum	1	MaSigPro 
ENSMODG00000004761	Heart	Opossum	1	MaSigPro 
ENSMODG00000004795	Heart	Opossum	1	MaSigPro 
ENSMODG00000005011	Heart	Opossum	1	MaSigPro 
ENSMODG00000005039	Heart	Opossum	1	MaSigPro 
ENSMODG00000005195	Heart	Opossum	1	MaSigPro 
ENSMODG00000005198	Heart	Opossum	1	MaSigPro 
ENSMODG00000005329	Heart	Opossum	1	MaSigPro 
ENSMODG00000005351	Heart	Opossum	1	MaSigPro 
ENSMODG00000005556	Heart	Opossum	1	MaSigPro 
ENSMODG00000005714	Heart	Opossum	1	MaSigPro 
ENSMODG00000005960	Heart	Opossum	1	MaSigPro 
ENSMODG00000006009	Heart	Opossum	1	MaSigPro 
ENSMODG00000006115	Heart	Opossum	1	MaSigPro 
ENSMODG00000006356	Heart	Opossum	1	MaSigPro 
ENSMODG00000006480	Heart	Opossum	1	MaSigPro 
ENSMODG00000006807	Heart	Opossum	1	MaSigPro 
ENSMODG00000006811	Heart	Opossum	1	MaSigPro 
ENSMODG00000006826	Heart	Opossum	1	MaSigPro 
ENSMODG00000006900	Heart	Opossum	1	MaSigPro 
ENSMODG00000006907	Heart	Opossum	1	MaSigPro 
ENSMODG00000006996	Heart	Opossum	1	MaSigPro 
ENSMODG00000007004	Heart	Opossum	1	MaSigPro 
ENSMODG00000007165	Heart	Opossum	1	MaSigPro 
ENSMODG00000007207	Heart	Opossum	1	MaSigPro 
ENSMODG00000007245	Heart	Opossum	1	MaSigPro 
ENSMODG00000007499	Heart	Opossum	1	MaSigPro 
ENSMODG00000007616	Heart	Opossum	1	MaSigPro 
ENSMODG00000007966	Heart	Opossum	1	MaSigPro 
ENSMODG00000008088	Heart	Opossum	1	MaSigPro 
ENSMODG00000008106	Heart	Opossum	1	MaSigPro 
ENSMODG00000008148	Heart	Opossum	1	MaSigPro 
ENSMODG00000008340	Heart	Opossum	1	MaSigPro 
ENSMODG00000008385	Heart	Opossum	1	MaSigPro 
ENSMODG00000008386	Heart	Opossum	1	MaSigPro 
ENSMODG00000008468	Heart	Opossum	1	MaSigPro 
ENSMODG00000008596	Heart	Opossum	1	MaSigPro 
ENSMODG00000008851	Heart	Opossum	1	MaSigPro 
ENSMODG00000008866	Heart	Opossum	1	MaSigPro 
