gene_id	tissue	species	n_pipe	pipe
ENSMODG00000000289	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000001028	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000001640	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000001820	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000002278	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000002313	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000003053	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000003063	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000003098	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000003377	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000003461	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000003962	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000003969	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000005013	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000005525	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000005747	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000007239	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000007993	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000009286	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000009615	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000009679	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000010165	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000010441	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000010770	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000012456	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000012999	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000013187	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000013212	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000013220	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000013660	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000014314	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000014784	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000015048	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000015259	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000018029	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000018221	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000018604	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000020516	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000021103	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000023163	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000029502	Kidney	Opossum	2	MaSigPro In-house 
ENSMODG00000005735	Kidney	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000015320	Kidney	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000016737	Kidney	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000020772	Kidney	Opossum	3	DESeq2 splineR In-house 
XLOC_045488	Kidney	Opossum	3	DESeq2 splineR In-house 
ENSMODG00000000102	Kidney	Opossum	1	MaSigPro 
ENSMODG00000000348	Kidney	Opossum	1	MaSigPro 
ENSMODG00000000401	Kidney	Opossum	1	MaSigPro 
ENSMODG00000001318	Kidney	Opossum	1	MaSigPro 
ENSMODG00000001772	Kidney	Opossum	1	MaSigPro 
ENSMODG00000002750	Kidney	Opossum	1	MaSigPro 
ENSMODG00000003455	Kidney	Opossum	1	MaSigPro 
ENSMODG00000003553	Kidney	Opossum	1	MaSigPro 
ENSMODG00000003737	Kidney	Opossum	1	MaSigPro 
ENSMODG00000003813	Kidney	Opossum	1	MaSigPro 
ENSMODG00000003856	Kidney	Opossum	1	MaSigPro 
ENSMODG00000004315	Kidney	Opossum	1	MaSigPro 
ENSMODG00000004516	Kidney	Opossum	1	MaSigPro 
ENSMODG00000004782	Kidney	Opossum	1	MaSigPro 
ENSMODG00000004944	Kidney	Opossum	1	MaSigPro 
ENSMODG00000004955	Kidney	Opossum	1	MaSigPro 
ENSMODG00000004966	Kidney	Opossum	1	MaSigPro 
ENSMODG00000005168	Kidney	Opossum	1	MaSigPro 
ENSMODG00000006078	Kidney	Opossum	1	MaSigPro 
ENSMODG00000006515	Kidney	Opossum	1	MaSigPro 
ENSMODG00000007360	Kidney	Opossum	1	MaSigPro 
ENSMODG00000007769	Kidney	Opossum	1	MaSigPro 
ENSMODG00000008385	Kidney	Opossum	1	MaSigPro 
ENSMODG00000008386	Kidney	Opossum	1	MaSigPro 
ENSMODG00000008503	Kidney	Opossum	1	MaSigPro 
ENSMODG00000009191	Kidney	Opossum	1	MaSigPro 
ENSMODG00000009413	Kidney	Opossum	1	MaSigPro 
ENSMODG00000009538	Kidney	Opossum	1	MaSigPro 
ENSMODG00000010452	Kidney	Opossum	1	MaSigPro 
ENSMODG00000010811	Kidney	Opossum	1	MaSigPro 
ENSMODG00000010846	Kidney	Opossum	1	MaSigPro 
ENSMODG00000011077	Kidney	Opossum	1	MaSigPro 
ENSMODG00000011467	Kidney	Opossum	1	MaSigPro 
ENSMODG00000012343	Kidney	Opossum	1	MaSigPro 
ENSMODG00000012408	Kidney	Opossum	1	MaSigPro 
ENSMODG00000012516	Kidney	Opossum	1	MaSigPro 
ENSMODG00000012909	Kidney	Opossum	1	MaSigPro 
ENSMODG00000012914	Kidney	Opossum	1	MaSigPro 
ENSMODG00000012998	Kidney	Opossum	1	MaSigPro 
ENSMODG00000013072	Kidney	Opossum	1	MaSigPro 
ENSMODG00000013711	Kidney	Opossum	1	MaSigPro 
ENSMODG00000014576	Kidney	Opossum	1	MaSigPro 
ENSMODG00000014595	Kidney	Opossum	1	MaSigPro 
ENSMODG00000015558	Kidney	Opossum	1	MaSigPro 
ENSMODG00000015560	Kidney	Opossum	1	MaSigPro 
ENSMODG00000016132	Kidney	Opossum	1	MaSigPro 
ENSMODG00000016279	Kidney	Opossum	1	MaSigPro 
ENSMODG00000016551	Kidney	Opossum	1	MaSigPro 
ENSMODG00000016712	Kidney	Opossum	1	MaSigPro 
ENSMODG00000016937	Kidney	Opossum	1	MaSigPro 
ENSMODG00000017178	Kidney	Opossum	1	MaSigPro 
ENSMODG00000017211	Kidney	Opossum	1	MaSigPro 
ENSMODG00000017256	Kidney	Opossum	1	MaSigPro 
ENSMODG00000017436	Kidney	Opossum	1	MaSigPro 
ENSMODG00000017946	Kidney	Opossum	1	MaSigPro 
ENSMODG00000018715	Kidney	Opossum	1	MaSigPro 
ENSMODG00000018829	Kidney	Opossum	1	MaSigPro 
ENSMODG00000019737	Kidney	Opossum	1	MaSigPro 
ENSMODG00000021216	Kidney	Opossum	1	MaSigPro 
ENSMODG00000021511	Kidney	Opossum	1	MaSigPro 
ENSMODG00000024469	Kidney	Opossum	1	MaSigPro 
ENSMODG00000028633	Kidney	Opossum	1	MaSigPro 
ENSMODG00000028712	Kidney	Opossum	1	MaSigPro 
ENSMODG00000029565	Kidney	Opossum	1	MaSigPro 
ENSMODG00000029629	Kidney	Opossum	1	MaSigPro 
ENSMODG00000000019	Kidney	Opossum	1	In-house 
ENSMODG00000000040	Kidney	Opossum	1	In-house 
ENSMODG00000000087	Kidney	Opossum	1	In-house 
ENSMODG00000000160	Kidney	Opossum	1	In-house 
ENSMODG00000000181	Kidney	Opossum	1	In-house 
ENSMODG00000000195	Kidney	Opossum	1	In-house 
ENSMODG00000000343	Kidney	Opossum	1	In-house 
ENSMODG00000000536	Kidney	Opossum	1	In-house 
ENSMODG00000000567	Kidney	Opossum	1	In-house 
ENSMODG00000000624	Kidney	Opossum	1	In-house 
ENSMODG00000000647	Kidney	Opossum	1	In-house 
ENSMODG00000000650	Kidney	Opossum	1	In-house 
ENSMODG00000000693	Kidney	Opossum	1	In-house 
ENSMODG00000000705	Kidney	Opossum	1	In-house 
ENSMODG00000000804	Kidney	Opossum	1	In-house 
ENSMODG00000000814	Kidney	Opossum	1	In-house 
ENSMODG00000000829	Kidney	Opossum	1	In-house 
ENSMODG00000000860	Kidney	Opossum	1	In-house 
ENSMODG00000000937	Kidney	Opossum	1	In-house 
ENSMODG00000001021	Kidney	Opossum	1	In-house 
ENSMODG00000001056	Kidney	Opossum	1	In-house 
ENSMODG00000001219	Kidney	Opossum	1	In-house 
ENSMODG00000001539	Kidney	Opossum	1	In-house 
ENSMODG00000001577	Kidney	Opossum	1	In-house 
ENSMODG00000001657	Kidney	Opossum	1	In-house 
ENSMODG00000001669	Kidney	Opossum	1	In-house 
ENSMODG00000001730	Kidney	Opossum	1	In-house 
ENSMODG00000001760	Kidney	Opossum	1	In-house 
ENSMODG00000001928	Kidney	Opossum	1	In-house 
ENSMODG00000002125	Kidney	Opossum	1	In-house 
ENSMODG00000002150	Kidney	Opossum	1	In-house 
ENSMODG00000002155	Kidney	Opossum	1	In-house 
ENSMODG00000002167	Kidney	Opossum	1	In-house 
ENSMODG00000002337	Kidney	Opossum	1	In-house 
ENSMODG00000002340	Kidney	Opossum	1	In-house 
ENSMODG00000002379	Kidney	Opossum	1	In-house 
ENSMODG00000002501	Kidney	Opossum	1	In-house 
ENSMODG00000002503	Kidney	Opossum	1	In-house 
ENSMODG00000002554	Kidney	Opossum	1	In-house 
ENSMODG00000002591	Kidney	Opossum	1	In-house 
ENSMODG00000002630	Kidney	Opossum	1	In-house 
ENSMODG00000002716	Kidney	Opossum	1	In-house 
ENSMODG00000002793	Kidney	Opossum	1	In-house 
ENSMODG00000002951	Kidney	Opossum	1	In-house 
ENSMODG00000003041	Kidney	Opossum	1	In-house 
ENSMODG00000003092	Kidney	Opossum	1	In-house 
ENSMODG00000003187	Kidney	Opossum	1	In-house 
ENSMODG00000003389	Kidney	Opossum	1	In-house 
ENSMODG00000003548	Kidney	Opossum	1	In-house 
ENSMODG00000003565	Kidney	Opossum	1	In-house 
ENSMODG00000003600	Kidney	Opossum	1	In-house 
ENSMODG00000003687	Kidney	Opossum	1	In-house 
ENSMODG00000003696	Kidney	Opossum	1	In-house 
ENSMODG00000003718	Kidney	Opossum	1	In-house 
ENSMODG00000003739	Kidney	Opossum	1	In-house 
ENSMODG00000003761	Kidney	Opossum	1	In-house 
ENSMODG00000003811	Kidney	Opossum	1	In-house 
ENSMODG00000003852	Kidney	Opossum	1	In-house 
ENSMODG00000003985	Kidney	Opossum	1	In-house 
ENSMODG00000003987	Kidney	Opossum	1	In-house 
ENSMODG00000004065	Kidney	Opossum	1	In-house 
ENSMODG00000004214	Kidney	Opossum	1	In-house 
ENSMODG00000004326	Kidney	Opossum	1	In-house 
ENSMODG00000004428	Kidney	Opossum	1	In-house 
ENSMODG00000004486	Kidney	Opossum	1	In-house 
ENSMODG00000004490	Kidney	Opossum	1	In-house 
ENSMODG00000004496	Kidney	Opossum	1	In-house 
