gene_id	tissue	species	n_pipe	pipe
ENSMODG00000009243	Liver	Opossum	3	splineR MaSigPro In-house 
ENSMODG00000020889	Liver	Opossum	3	DESeq2 MaSigPro In-house 
ENSMODG00000000421	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000000470	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000001015	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000002141	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000002278	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000002539	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000002796	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000003105	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000003963	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000004032	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000004832	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000005330	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000005421	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000005486	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000005518	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000006027	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000006078	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000006179	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000006260	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000006413	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000006732	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000006820	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000006947	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000007208	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000007562	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000007679	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000007683	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000007886	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000008076	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000008238	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000008322	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000008488	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000008518	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000008546	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000008568	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000008795	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000009895	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000010069	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000010240	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000010567	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000010844	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000011208	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000011850	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000013506	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000014107	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000014258	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000015735	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000016077	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000016635	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000017183	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000017317	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000017564	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000018066	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000018248	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000018259	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000018373	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000018750	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000019001	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000019002	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000019212	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000020529	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000022844	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000023777	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000024113	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000024253	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000025499	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000025683	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000027608	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000028278	Liver	Opossum	2	MaSigPro In-house 
ENSMODG00000000520	Liver	Opossum	2	DESeq2 In-house 
ENSMODG00000008997	Liver	Opossum	2	DESeq2 In-house 
ENSMODG00000009175	Liver	Opossum	2	DESeq2 In-house 
ENSMODG00000009370	Liver	Opossum	2	DESeq2 In-house 
ENSMODG00000011785	Liver	Opossum	2	DESeq2 In-house 
ENSMODG00000024310	Liver	Opossum	2	DESeq2 In-house 
ENSMODG00000026147	Liver	Opossum	2	DESeq2 In-house 
ENSMODG00000005735	Liver	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000015320	Liver	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000016737	Liver	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000018722	Liver	Opossum	4	DESeq2 splineR MaSigPro In-house 
XLOC_045488	Liver	Opossum	4	DESeq2 splineR MaSigPro In-house 
ENSMODG00000008731	Liver	Opossum	3	DESeq2 splineR In-house 
ENSMODG00000009860	Liver	Opossum	3	DESeq2 splineR In-house 
ENSMODG00000011337	Liver	Opossum	3	DESeq2 splineR In-house 
ENSMODG00000011547	Liver	Opossum	3	DESeq2 splineR In-house 
ENSMODG00000020772	Liver	Opossum	3	DESeq2 splineR In-house 
ENSMODG00000000640	Liver	Opossum	1	DESeq2 
ENSMODG00000002265	Liver	Opossum	1	DESeq2 
ENSMODG00000003477	Liver	Opossum	1	DESeq2 
ENSMODG00000000068	Liver	Opossum	1	MaSigPro 
ENSMODG00000000083	Liver	Opossum	1	MaSigPro 
ENSMODG00000000102	Liver	Opossum	1	MaSigPro 
ENSMODG00000000142	Liver	Opossum	1	MaSigPro 
ENSMODG00000000369	Liver	Opossum	1	MaSigPro 
ENSMODG00000000370	Liver	Opossum	1	MaSigPro 
ENSMODG00000000392	Liver	Opossum	1	MaSigPro 
ENSMODG00000000399	Liver	Opossum	1	MaSigPro 
ENSMODG00000000669	Liver	Opossum	1	MaSigPro 
ENSMODG00000000716	Liver	Opossum	1	MaSigPro 
ENSMODG00000000724	Liver	Opossum	1	MaSigPro 
ENSMODG00000000868	Liver	Opossum	1	MaSigPro 
ENSMODG00000001135	Liver	Opossum	1	MaSigPro 
ENSMODG00000001228	Liver	Opossum	1	MaSigPro 
ENSMODG00000001238	Liver	Opossum	1	MaSigPro 
ENSMODG00000001371	Liver	Opossum	1	MaSigPro 
ENSMODG00000001690	Liver	Opossum	1	MaSigPro 
ENSMODG00000001796	Liver	Opossum	1	MaSigPro 
ENSMODG00000001846	Liver	Opossum	1	MaSigPro 
ENSMODG00000001880	Liver	Opossum	1	MaSigPro 
ENSMODG00000002005	Liver	Opossum	1	MaSigPro 
ENSMODG00000002269	Liver	Opossum	1	MaSigPro 
ENSMODG00000002287	Liver	Opossum	1	MaSigPro 
ENSMODG00000002344	Liver	Opossum	1	MaSigPro 
ENSMODG00000002380	Liver	Opossum	1	MaSigPro 
ENSMODG00000002423	Liver	Opossum	1	MaSigPro 
ENSMODG00000002469	Liver	Opossum	1	MaSigPro 
ENSMODG00000002485	Liver	Opossum	1	MaSigPro 
ENSMODG00000002598	Liver	Opossum	1	MaSigPro 
ENSMODG00000002648	Liver	Opossum	1	MaSigPro 
ENSMODG00000002702	Liver	Opossum	1	MaSigPro 
ENSMODG00000002760	Liver	Opossum	1	MaSigPro 
ENSMODG00000002770	Liver	Opossum	1	MaSigPro 
ENSMODG00000002772	Liver	Opossum	1	MaSigPro 
ENSMODG00000002807	Liver	Opossum	1	MaSigPro 
ENSMODG00000002824	Liver	Opossum	1	MaSigPro 
ENSMODG00000002928	Liver	Opossum	1	MaSigPro 
ENSMODG00000003058	Liver	Opossum	1	MaSigPro 
ENSMODG00000003220	Liver	Opossum	1	MaSigPro 
ENSMODG00000003255	Liver	Opossum	1	MaSigPro 
ENSMODG00000003287	Liver	Opossum	1	MaSigPro 
ENSMODG00000003402	Liver	Opossum	1	MaSigPro 
ENSMODG00000003472	Liver	Opossum	1	MaSigPro 
ENSMODG00000003483	Liver	Opossum	1	MaSigPro 
ENSMODG00000003532	Liver	Opossum	1	MaSigPro 
ENSMODG00000003600	Liver	Opossum	1	MaSigPro 
ENSMODG00000003674	Liver	Opossum	1	MaSigPro 
ENSMODG00000003685	Liver	Opossum	1	MaSigPro 
ENSMODG00000003701	Liver	Opossum	1	MaSigPro 
ENSMODG00000003806	Liver	Opossum	1	MaSigPro 
ENSMODG00000003925	Liver	Opossum	1	MaSigPro 
ENSMODG00000004373	Liver	Opossum	1	MaSigPro 
ENSMODG00000004374	Liver	Opossum	1	MaSigPro 
ENSMODG00000004387	Liver	Opossum	1	MaSigPro 
ENSMODG00000004426	Liver	Opossum	1	MaSigPro 
ENSMODG00000004501	Liver	Opossum	1	MaSigPro 
ENSMODG00000004881	Liver	Opossum	1	MaSigPro 
ENSMODG00000005118	Liver	Opossum	1	MaSigPro 
ENSMODG00000005120	Liver	Opossum	1	MaSigPro 
ENSMODG00000005148	Liver	Opossum	1	MaSigPro 
ENSMODG00000005225	Liver	Opossum	1	MaSigPro 
ENSMODG00000005318	Liver	Opossum	1	MaSigPro 
ENSMODG00000005361	Liver	Opossum	1	MaSigPro 
