gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000010188	Brain	Rabbit	4	DESeq2 splineR MaSigPro In-house 
XLOC_042762	Brain	Rabbit	4	DESeq2 splineR MaSigPro In-house 
XLOC_042763	Brain	Rabbit	4	DESeq2 splineR MaSigPro In-house 
ENSOCUG00000000880	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005429	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000008264	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000008469	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000009873	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000011445	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000014136	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000014878	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000015741	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000015783	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000021220	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000022168	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000022871	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000024405	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000024717	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000025290	Brain	Rabbit	2	MaSigPro In-house 
ENSOCUG00000021002	Brain	Rabbit	2	splineR In-house 
ENSOCUG00000029486	Brain	Rabbit	2	splineR In-house 
ENSOCUG00000002238	Brain	Rabbit	2	DESeq2 In-house 
ENSOCUG00000029047	Brain	Rabbit	2	DESeq2 In-house 
ENSOCUG00000029605	Brain	Rabbit	2	DESeq2 In-house 
ENSOCUG00000006146	Brain	Rabbit	1	DESeq2 
ENSOCUG00000022335	Brain	Rabbit	1	splineR 
ENSOCUG00000015518	Brain	Rabbit	1	splineR 
ENSOCUG00000025488	Brain	Rabbit	1	splineR 
ENSOCUG00000022646	Brain	Rabbit	1	splineR 
ENSOCUG00000023668	Brain	Rabbit	1	splineR 
ENSOCUG00000023653	Brain	Rabbit	1	splineR 
ENSOCUG00000000005	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000020	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000081	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000127	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000133	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000146	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000163	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000170	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000173	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000182	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000197	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000328	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000336	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000353	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000358	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000359	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000367	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000425	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000478	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000482	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000510	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000518	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000578	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000583	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000588	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000614	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000619	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000635	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000653	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000676	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000717	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000731	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000780	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000910	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000921	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000947	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000000967	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000001005	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000001011	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000001048	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000001112	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000001165	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000001166	Brain	Rabbit	1	MaSigPro 
