gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000006592	Cerebellum	Rabbit	3	DESeq2 MaSigPro In-house 
ENSOCUG00000010188	Cerebellum	Rabbit	4	DESeq2 splineR MaSigPro In-house 
XLOC_042762	Cerebellum	Rabbit	4	DESeq2 splineR MaSigPro In-house 
XLOC_042763	Cerebellum	Rabbit	4	DESeq2 splineR MaSigPro In-house 
ENSOCUG00000022335	Cerebellum	Rabbit	1	splineR 
ENSOCUG00000018475	Cerebellum	Rabbit	1	splineR 
ENSOCUG00000000116	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000000304	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000000472	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000000541	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000000943	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000000947	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000001161	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000001177	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000001393	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000001587	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000002095	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000002137	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000002309	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000002378	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000002500	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000002822	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000002976	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000003082	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000003354	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000003600	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000003630	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000003796	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000004001	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000004024	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000004053	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000004292	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000004853	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000005228	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000005425	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000005562	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000005614	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000005846	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000005940	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000006053	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000006249	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000006670	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000006837	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007039	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007212	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007244	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007262	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007326	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007493	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007508	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007614	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007783	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000007820	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000008012	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000008741	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000008793	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000009479	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000009645	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000009827	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000010012	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000010030	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000010129	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000010406	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000010502	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000010906	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011044	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011279	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011389	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011433	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011591	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011665	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011744	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011746	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000011801	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000012148	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000012411	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000012700	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000012822	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000012895	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000013245	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000013267	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000013271	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000013278	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000013468	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000013834	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000014730	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000015035	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000015471	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000015526	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000015610	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000015872	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000015958	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000016826	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000017042	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000017055	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000017066	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000017325	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000017411	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000017586	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000017882	Cerebellum	Rabbit	1	MaSigPro 
ENSOCUG00000022559	Cerebellum	Rabbit	1	MaSigPro 
