gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000011227	Heart	Rabbit	2	splineR MaSigPro 
ENSOCUG00000000570	Heart	Rabbit	2	splineR MaSigPro 
ENSOCUG00000003291	Heart	Rabbit	2	splineR MaSigPro 
ENSOCUG00000006454	Heart	Rabbit	2	splineR MaSigPro 
ENSOCUG00000015214	Heart	Rabbit	2	splineR MaSigPro 
ENSOCUG00000003642	Heart	Rabbit	2	splineR MaSigPro 
ENSOCUG00000017333	Heart	Rabbit	2	splineR MaSigPro 
ENSOCUG00000008152	Heart	Rabbit	2	splineR MaSigPro 
ENSOCUG00000014748	Heart	Rabbit	3	DESeq2 MaSigPro In-house 
ENSOCUG00000024137	Heart	Rabbit	3	DESeq2 MaSigPro In-house 
ENSOCUG00000027592	Heart	Rabbit	3	DESeq2 MaSigPro In-house 
ENSOCUG00000021137	Heart	Rabbit	2	DESeq2 splineR 
ENSOCUG00000023188	Heart	Rabbit	2	DESeq2 splineR 
ENSOCUG00000027685	Heart	Rabbit	2	DESeq2 splineR 
ENSOCUG00000000286	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000000464	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000000611	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000000621	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000000696	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000001082	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000001127	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000001269	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000001833	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000001836	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000001849	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000002312	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000002613	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000002994	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000003870	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000004042	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000004502	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000004644	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005228	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005330	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005522	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005808	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005865	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000006186	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000006775	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000006785	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000007056	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000007216	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000007970	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000008004	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000008118	Heart	Rabbit	2	MaSigPro In-house 
ENSOCUG00000008341	Heart	Rabbit	2	MaSigPro In-house 
