gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000027203	Kidney	Rabbit	2	splineR MaSigPro 
ENSOCUG00000014985	Kidney	Rabbit	2	splineR MaSigPro 
ENSOCUG00000014818	Kidney	Rabbit	2	splineR MaSigPro 
ENSOCUG00000003176	Kidney	Rabbit	2	splineR MaSigPro 
ENSOCUG00000007162	Kidney	Rabbit	2	splineR MaSigPro 
ENSOCUG00000016655	Kidney	Rabbit	2	splineR MaSigPro 
ENSOCUG00000011239	Kidney	Rabbit	2	DESeq2 MaSigPro 
ENSOCUG00000001375	Kidney	Rabbit	2	DESeq2 splineR 
ENSOCUG00000008024	Kidney	Rabbit	2	DESeq2 splineR 
ENSOCUG00000012639	Kidney	Rabbit	2	DESeq2 splineR 
ENSOCUG00000002802	Kidney	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005826	Kidney	Rabbit	2	MaSigPro In-house 
ENSOCUG00000008520	Kidney	Rabbit	2	MaSigPro In-house 
ENSOCUG00000028216	Kidney	Rabbit	2	MaSigPro In-house 
ENSOCUG00000026544	Kidney	Rabbit	2	splineR In-house 
ENSOCUG00000009608	Kidney	Rabbit	2	splineR In-house 
ENSOCUG00000000017	Kidney	Rabbit	2	DESeq2 In-house 
ENSOCUG00000006592	Kidney	Rabbit	2	DESeq2 In-house 
ENSOCUG00000008553	Kidney	Rabbit	2	DESeq2 In-house 
ENSOCUG00000001372	Kidney	Rabbit	4	DESeq2 splineR MaSigPro In-house 
ENSOCUG00000010188	Kidney	Rabbit	4	DESeq2 splineR MaSigPro In-house 
ENSOCUG00000012397	Kidney	Rabbit	4	DESeq2 splineR MaSigPro In-house 
XLOC_042762	Kidney	Rabbit	4	DESeq2 splineR MaSigPro In-house 
XLOC_042763	Kidney	Rabbit	4	DESeq2 splineR MaSigPro In-house 
ENSOCUG00000004750	Kidney	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000003801	Kidney	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000007282	Kidney	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000012338	Kidney	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000014741	Kidney	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000015999	Kidney	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000000775	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000001030	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000001049	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000001201	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000001701	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000001785	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000001995	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000002672	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000002750	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000003269	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000003707	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000003876	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000004620	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000004959	Kidney	Rabbit	1	DESeq2 
ENSOCUG00000005549	Kidney	Rabbit	1	DESeq2 
