gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000011713	Liver	Rabbit	2	splineR MaSigPro 
ENSOCUG00000003928	Liver	Rabbit	2	splineR MaSigPro 
ENSOCUG00000008858	Liver	Rabbit	2	splineR MaSigPro 
ENSOCUG00000025032	Liver	Rabbit	2	splineR MaSigPro 
ENSOCUG00000016610	Liver	Rabbit	2	splineR MaSigPro 
ENSOCUG00000009086	Liver	Rabbit	2	splineR MaSigPro 
ENSOCUG00000000066	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000000754	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000001164	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000001249	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005398	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000005854	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000006892	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000008826	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000011099	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000017797	Liver	Rabbit	2	MaSigPro In-house 
ENSOCUG00000010188	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000006992	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000025893	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000014741	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000014929	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000027182	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000009458	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000001569	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000003084	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000022117	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000013646	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000024583	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000012480	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000001883	Liver	Rabbit	2	splineR In-house 
ENSOCUG00000001833	Liver	Rabbit	2	DESeq2 In-house 
ENSOCUG00000021197	Liver	Rabbit	2	DESeq2 In-house 
ENSOCUG00000027501	Liver	Rabbit	2	DESeq2 In-house 
ENSOCUG00000027591	Liver	Rabbit	2	DESeq2 In-house 
ENSOCUG00000007643	Liver	Rabbit	4	DESeq2 splineR MaSigPro In-house 
ENSOCUG00000025884	Liver	Rabbit	4	DESeq2 splineR MaSigPro In-house 
XLOC_042762	Liver	Rabbit	4	DESeq2 splineR MaSigPro In-house 
XLOC_042763	Liver	Rabbit	4	DESeq2 splineR MaSigPro In-house 
ENSOCUG00000005979	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000001627	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000020992	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000007759	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000007888	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000021126	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000012948	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000007699	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000007990	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000021209	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000029235	Liver	Rabbit	3	splineR MaSigPro In-house 
ENSOCUG00000012338	Liver	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000021923	Liver	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000025657	Liver	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000029605	Liver	Rabbit	3	DESeq2 splineR In-house 
ENSOCUG00000008378	Liver	Rabbit	1	DESeq2 
ENSOCUG00000010229	Liver	Rabbit	1	DESeq2 
ENSOCUG00000011861	Liver	Rabbit	1	DESeq2 
ENSOCUG00000012165	Liver	Rabbit	1	splineR 
ENSOCUG00000024183	Liver	Rabbit	1	splineR 
ENSOCUG00000026216	Liver	Rabbit	1	splineR 
ENSOCUG00000004337	Liver	Rabbit	1	splineR 
ENSOCUG00000004871	Liver	Rabbit	1	splineR 
ENSOCUG00000000736	Liver	Rabbit	1	splineR 
ENSOCUG00000011805	Liver	Rabbit	1	splineR 
ENSOCUG00000027635	Liver	Rabbit	1	splineR 
ENSOCUG00000000594	Liver	Rabbit	1	splineR 
ENSOCUG00000006124	Liver	Rabbit	1	splineR 
ENSOCUG00000016336	Liver	Rabbit	1	splineR 
ENSOCUG00000026068	Liver	Rabbit	1	splineR 
ENSOCUG00000005074	Liver	Rabbit	1	splineR 
ENSOCUG00000000714	Liver	Rabbit	1	splineR 
ENSOCUG00000013336	Liver	Rabbit	1	splineR 
ENSOCUG00000000030	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000076	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000157	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000178	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000268	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000277	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000310	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000377	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000404	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000598	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000717	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000718	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000730	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000758	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000795	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000866	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000000898	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001032	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001036	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001113	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001179	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001208	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001251	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001284	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001316	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001343	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001488	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001532	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001545	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001590	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001655	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001683	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001813	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001820	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001829	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000001847	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002011	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002021	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002180	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002243	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002387	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002480	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002483	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002727	Liver	Rabbit	1	MaSigPro 
ENSOCUG00000002791	Liver	Rabbit	1	MaSigPro 
