gene_id	tissue	species	n_pipe	pipe
ENSRNOG00000002501	Brain	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000002662	Brain	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000003426	Brain	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000006186	Brain	Rat	4	DESeq2 splineR MaSigPro In-house 
XLOC_048817	Brain	Rat	3	DESeq2 splineR In-house 
XLOC_049543	Brain	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000004127	Brain	Rat	1	DESeq2 
ENSRNOG00000011672	Brain	Rat	1	DESeq2 
ENSRNOG00000014782	Brain	Rat	1	DESeq2 
ENSRNOG00000016355	Brain	Rat	1	DESeq2 
ENSRNOG00000030879	Brain	Rat	1	DESeq2 
ENSRNOG00000045814	Brain	Rat	1	DESeq2 
ENSRNOG00000045928	Brain	Rat	1	DESeq2 
ENSRNOG00000046828	Brain	Rat	1	DESeq2 
ENSRNOG00000046885	Brain	Rat	1	DESeq2 
ENSRNOG00000046962	Brain	Rat	1	DESeq2 
ENSRNOG00000047124	Brain	Rat	1	DESeq2 
ENSRNOG00000049255	Brain	Rat	1	DESeq2 
ENSRNOG00000049965	Brain	Rat	1	DESeq2 
ENSRNOG00000050121	Brain	Rat	1	DESeq2 
ENSRNOG00000050940	Brain	Rat	1	DESeq2 
ENSRNOG00000051308	Brain	Rat	1	DESeq2 
ENSRNOG00000023899	Brain	Rat	1	splineR 
ENSRNOG00000026051	Brain	Rat	1	splineR 
ENSRNOG00000000451	Brain	Rat	1	MaSigPro 
ENSRNOG00000000493	Brain	Rat	1	MaSigPro 
ENSRNOG00000000517	Brain	Rat	1	MaSigPro 
ENSRNOG00000000539	Brain	Rat	1	MaSigPro 
ENSRNOG00000000640	Brain	Rat	1	MaSigPro 
ENSRNOG00000000763	Brain	Rat	1	MaSigPro 
ENSRNOG00000000795	Brain	Rat	1	MaSigPro 
ENSRNOG00000000799	Brain	Rat	1	MaSigPro 
ENSRNOG00000000989	Brain	Rat	1	MaSigPro 
ENSRNOG00000001010	Brain	Rat	1	MaSigPro 
ENSRNOG00000001229	Brain	Rat	1	MaSigPro 
ENSRNOG00000001259	Brain	Rat	1	MaSigPro 
ENSRNOG00000001272	Brain	Rat	1	MaSigPro 
ENSRNOG00000001616	Brain	Rat	1	MaSigPro 
ENSRNOG00000002368	Brain	Rat	1	MaSigPro 
ENSRNOG00000002525	Brain	Rat	1	MaSigPro 
ENSRNOG00000002543	Brain	Rat	1	MaSigPro 
ENSRNOG00000002773	Brain	Rat	1	MaSigPro 
ENSRNOG00000002851	Brain	Rat	1	MaSigPro 
ENSRNOG00000003049	Brain	Rat	1	MaSigPro 
ENSRNOG00000003800	Brain	Rat	1	MaSigPro 
ENSRNOG00000003956	Brain	Rat	1	MaSigPro 
ENSRNOG00000004011	Brain	Rat	1	MaSigPro 
ENSRNOG00000004040	Brain	Rat	1	MaSigPro 
ENSRNOG00000004289	Brain	Rat	1	MaSigPro 
ENSRNOG00000004309	Brain	Rat	1	MaSigPro 
ENSRNOG00000004527	Brain	Rat	1	MaSigPro 
ENSRNOG00000004540	Brain	Rat	1	MaSigPro 
ENSRNOG00000004742	Brain	Rat	1	MaSigPro 
ENSRNOG00000004776	Brain	Rat	1	MaSigPro 
ENSRNOG00000005046	Brain	Rat	1	MaSigPro 
ENSRNOG00000005286	Brain	Rat	1	MaSigPro 
ENSRNOG00000005355	Brain	Rat	1	MaSigPro 
ENSRNOG00000005438	Brain	Rat	1	MaSigPro 
ENSRNOG00000005504	Brain	Rat	1	MaSigPro 
ENSRNOG00000005558	Brain	Rat	1	MaSigPro 
ENSRNOG00000005883	Brain	Rat	1	MaSigPro 
ENSRNOG00000005888	Brain	Rat	1	MaSigPro 
ENSRNOG00000005970	Brain	Rat	1	MaSigPro 
ENSRNOG00000006009	Brain	Rat	1	MaSigPro 
ENSRNOG00000006185	Brain	Rat	1	MaSigPro 
ENSRNOG00000006305	Brain	Rat	1	MaSigPro 
ENSRNOG00000006450	Brain	Rat	1	MaSigPro 
ENSRNOG00000006645	Brain	Rat	1	MaSigPro 
ENSRNOG00000006717	Brain	Rat	1	MaSigPro 
ENSRNOG00000006853	Brain	Rat	1	MaSigPro 
ENSRNOG00000006870	Brain	Rat	1	MaSigPro 
ENSRNOG00000007066	Brain	Rat	1	MaSigPro 
ENSRNOG00000007131	Brain	Rat	1	MaSigPro 
ENSRNOG00000007514	Brain	Rat	1	MaSigPro 
ENSRNOG00000008011	Brain	Rat	1	MaSigPro 
ENSRNOG00000008088	Brain	Rat	1	MaSigPro 
ENSRNOG00000008312	Brain	Rat	1	MaSigPro 
ENSRNOG00000008428	Brain	Rat	1	MaSigPro 
ENSRNOG00000008686	Brain	Rat	1	MaSigPro 
ENSRNOG00000008806	Brain	Rat	1	MaSigPro 
ENSRNOG00000008834	Brain	Rat	1	MaSigPro 
ENSRNOG00000008943	Brain	Rat	1	MaSigPro 
ENSRNOG00000009037	Brain	Rat	1	MaSigPro 
ENSRNOG00000009208	Brain	Rat	1	MaSigPro 
ENSRNOG00000009299	Brain	Rat	1	MaSigPro 
ENSRNOG00000009333	Brain	Rat	1	MaSigPro 
ENSRNOG00000009506	Brain	Rat	1	MaSigPro 
ENSRNOG00000009799	Brain	Rat	1	MaSigPro 
ENSRNOG00000010011	Brain	Rat	1	MaSigPro 
ENSRNOG00000010107	Brain	Rat	1	MaSigPro 
ENSRNOG00000010121	Brain	Rat	1	MaSigPro 
ENSRNOG00000010165	Brain	Rat	1	MaSigPro 
ENSRNOG00000010574	Brain	Rat	1	MaSigPro 
ENSRNOG00000010597	Brain	Rat	1	MaSigPro 
ENSRNOG00000010804	Brain	Rat	1	MaSigPro 
ENSRNOG00000010974	Brain	Rat	1	MaSigPro 
ENSRNOG00000011310	Brain	Rat	1	MaSigPro 
ENSRNOG00000011316	Brain	Rat	1	MaSigPro 
ENSRNOG00000011423	Brain	Rat	1	MaSigPro 
ENSRNOG00000011491	Brain	Rat	1	MaSigPro 
ENSRNOG00000011627	Brain	Rat	1	MaSigPro 
ENSRNOG00000011856	Brain	Rat	1	MaSigPro 
ENSRNOG00000011914	Brain	Rat	1	MaSigPro 
ENSRNOG00000012428	Brain	Rat	1	MaSigPro 
ENSRNOG00000012920	Brain	Rat	1	MaSigPro 
ENSRNOG00000012937	Brain	Rat	1	MaSigPro 
ENSRNOG00000013013	Brain	Rat	1	MaSigPro 
ENSRNOG00000013215	Brain	Rat	1	MaSigPro 
ENSRNOG00000013252	Brain	Rat	1	MaSigPro 
ENSRNOG00000013282	Brain	Rat	1	MaSigPro 
ENSRNOG00000013306	Brain	Rat	1	MaSigPro 
ENSRNOG00000013336	Brain	Rat	1	MaSigPro 
ENSRNOG00000013380	Brain	Rat	1	MaSigPro 
ENSRNOG00000013436	Brain	Rat	1	MaSigPro 
ENSRNOG00000014002	Brain	Rat	1	MaSigPro 
ENSRNOG00000014004	Brain	Rat	1	MaSigPro 
ENSRNOG00000014048	Brain	Rat	1	MaSigPro 
ENSRNOG00000014098	Brain	Rat	1	MaSigPro 
ENSRNOG00000014153	Brain	Rat	1	MaSigPro 
ENSRNOG00000014259	Brain	Rat	1	MaSigPro 
ENSRNOG00000014290	Brain	Rat	1	MaSigPro 
ENSRNOG00000014341	Brain	Rat	1	MaSigPro 
ENSRNOG00000014358	Brain	Rat	1	MaSigPro 
ENSRNOG00000014373	Brain	Rat	1	MaSigPro 
ENSRNOG00000014543	Brain	Rat	1	MaSigPro 
ENSRNOG00000014761	Brain	Rat	1	MaSigPro 
ENSRNOG00000014789	Brain	Rat	1	MaSigPro 
ENSRNOG00000014801	Brain	Rat	1	MaSigPro 
ENSRNOG00000014886	Brain	Rat	1	MaSigPro 
ENSRNOG00000014917	Brain	Rat	1	MaSigPro 
ENSRNOG00000014970	Brain	Rat	1	MaSigPro 
ENSRNOG00000014980	Brain	Rat	1	MaSigPro 
ENSRNOG00000015476	Brain	Rat	1	MaSigPro 
ENSRNOG00000015616	Brain	Rat	1	MaSigPro 
ENSRNOG00000015911	Brain	Rat	1	MaSigPro 
ENSRNOG00000016037	Brain	Rat	1	MaSigPro 
ENSRNOG00000016165	Brain	Rat	1	MaSigPro 
ENSRNOG00000016220	Brain	Rat	1	MaSigPro 
ENSRNOG00000016392	Brain	Rat	1	MaSigPro 
ENSRNOG00000016446	Brain	Rat	1	MaSigPro 
ENSRNOG00000016846	Brain	Rat	1	MaSigPro 
ENSRNOG00000016849	Brain	Rat	1	MaSigPro 
ENSRNOG00000016930	Brain	Rat	1	MaSigPro 
ENSRNOG00000016955	Brain	Rat	1	MaSigPro 
ENSRNOG00000016962	Brain	Rat	1	MaSigPro 
ENSRNOG00000017833	Brain	Rat	1	MaSigPro 
ENSRNOG00000018094	Brain	Rat	1	MaSigPro 
ENSRNOG00000018107	Brain	Rat	1	MaSigPro 
ENSRNOG00000018247	Brain	Rat	1	MaSigPro 
ENSRNOG00000018377	Brain	Rat	1	MaSigPro 
ENSRNOG00000018627	Brain	Rat	1	MaSigPro 
ENSRNOG00000018631	Brain	Rat	1	MaSigPro 
ENSRNOG00000018665	Brain	Rat	1	MaSigPro 
ENSRNOG00000018723	Brain	Rat	1	MaSigPro 
ENSRNOG00000018729	Brain	Rat	1	MaSigPro 
ENSRNOG00000018753	Brain	Rat	1	MaSigPro 
ENSRNOG00000018784	Brain	Rat	1	MaSigPro 
ENSRNOG00000018914	Brain	Rat	1	MaSigPro 
ENSRNOG00000019434	Brain	Rat	1	MaSigPro 
ENSRNOG00000019653	Brain	Rat	1	MaSigPro 
ENSRNOG00000020118	Brain	Rat	1	MaSigPro 
ENSRNOG00000020339	Brain	Rat	1	MaSigPro 
ENSRNOG00000020354	Brain	Rat	1	MaSigPro 
ENSRNOG00000020524	Brain	Rat	1	MaSigPro 
ENSRNOG00000020533	Brain	Rat	1	MaSigPro 
ENSRNOG00000020595	Brain	Rat	1	MaSigPro 
