gene_id	tissue	species	n_pipe	pipe
ENSRNOG00000006186	Cerebellum	Rat	3	DESeq2 MaSigPro In-house 
ENSRNOG00000002662	Cerebellum	Rat	2	MaSigPro In-house 
ENSRNOG00000003792	Cerebellum	Rat	2	MaSigPro In-house 
ENSRNOG00000002501	Cerebellum	Rat	4	DESeq2 splineR MaSigPro In-house 
XLOC_048817	Cerebellum	Rat	3	DESeq2 splineR In-house 
XLOC_049543	Cerebellum	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000003899	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000007987	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000015542	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000020771	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000021688	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000024889	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000026670	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000029074	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000029734	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000046120	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000048082	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000048312	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000048610	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000050800	Cerebellum	Rat	1	DESeq2 
ENSRNOG00000005743	Cerebellum	Rat	1	splineR 
ENSRNOG00000000164	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000000500	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000000568	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000000937	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001055	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001141	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001191	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001242	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001285	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001294	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001627	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001699	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000001873	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002028	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002210	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002373	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002397	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002450	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002456	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002467	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002773	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000002922	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003078	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003191	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003223	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003307	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003310	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003508	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003611	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003635	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003653	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003773	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000003846	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000004482	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000004688	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000004742	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000004846	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000005308	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000005884	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000006082	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000006545	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000006719	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000006989	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000007030	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000007316	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000007329	Cerebellum	Rat	1	MaSigPro 
ENSRNOG00000007766	Cerebellum	Rat	1	MaSigPro 
