gene_id	tissue	species	n_pipe	pipe
ENSRNOG00000010917	Heart	Rat	2	DESeq2 MaSigPro 
ENSRNOG00000032844	Heart	Rat	2	DESeq2 MaSigPro 
ENSRNOG00000000442	Heart	Rat	2	MaSigPro In-house 
ENSRNOG00000002653	Heart	Rat	2	MaSigPro In-house 
ENSRNOG00000011683	Heart	Rat	2	MaSigPro In-house 
ENSRNOG00000029394	Heart	Rat	2	MaSigPro In-house 
ENSRNOG00000029980	Heart	Rat	2	MaSigPro In-house 
ENSRNOG00000042912	Heart	Rat	2	MaSigPro In-house 
ENSRNOG00000050090	Heart	Rat	2	MaSigPro In-house 
ENSRNOG00000020998	Heart	Rat	2	splineR In-house 
ENSRNOG00000000564	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000001591	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000005700	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000008919	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000011484	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000020860	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000023881	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000026051	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000030269	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000031967	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000042071	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000042249	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000042690	Heart	Rat	2	DESeq2 In-house 
ENSRNOG00000002501	Heart	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000002662	Heart	Rat	4	DESeq2 splineR MaSigPro In-house 
XLOC_048817	Heart	Rat	4	DESeq2 splineR MaSigPro In-house 
XLOC_049543	Heart	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000003426	Heart	Rat	3	DESeq2 MaSigPro In-house 
ENSRNOG00000003792	Heart	Rat	3	DESeq2 MaSigPro In-house 
ENSRNOG00000004289	Heart	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000006186	Heart	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000000451	Heart	Rat	1	DESeq2 
ENSRNOG00000000655	Heart	Rat	1	DESeq2 
ENSRNOG00000000694	Heart	Rat	1	DESeq2 
ENSRNOG00000001157	Heart	Rat	1	DESeq2 
ENSRNOG00000001989	Heart	Rat	1	DESeq2 
ENSRNOG00000002042	Heart	Rat	1	DESeq2 
ENSRNOG00000002202	Heart	Rat	1	DESeq2 
ENSRNOG00000002540	Heart	Rat	1	DESeq2 
ENSRNOG00000003094	Heart	Rat	1	DESeq2 
ENSRNOG00000003158	Heart	Rat	1	DESeq2 
ENSRNOG00000003298	Heart	Rat	1	DESeq2 
ENSRNOG00000004018	Heart	Rat	1	DESeq2 
ENSRNOG00000004409	Heart	Rat	1	DESeq2 
ENSRNOG00000004623	Heart	Rat	1	DESeq2 
ENSRNOG00000004630	Heart	Rat	1	DESeq2 
ENSRNOG00000004839	Heart	Rat	1	DESeq2 
ENSRNOG00000004998	Heart	Rat	1	DESeq2 
ENSRNOG00000005365	Heart	Rat	1	DESeq2 
ENSRNOG00000005872	Heart	Rat	1	DESeq2 
ENSRNOG00000006037	Heart	Rat	1	DESeq2 
ENSRNOG00000006079	Heart	Rat	1	DESeq2 
ENSRNOG00000006263	Heart	Rat	1	DESeq2 
ENSRNOG00000006311	Heart	Rat	1	DESeq2 
ENSRNOG00000006604	Heart	Rat	1	DESeq2 
ENSRNOG00000006732	Heart	Rat	1	DESeq2 
ENSRNOG00000006860	Heart	Rat	1	DESeq2 
ENSRNOG00000006932	Heart	Rat	1	DESeq2 
ENSRNOG00000007012	Heart	Rat	1	DESeq2 
ENSRNOG00000007178	Heart	Rat	1	DESeq2 
ENSRNOG00000007200	Heart	Rat	1	DESeq2 
ENSRNOG00000008057	Heart	Rat	1	DESeq2 
ENSRNOG00000008615	Heart	Rat	1	DESeq2 
ENSRNOG00000009074	Heart	Rat	1	DESeq2 
ENSRNOG00000009274	Heart	Rat	1	DESeq2 
ENSRNOG00000009705	Heart	Rat	1	DESeq2 
ENSRNOG00000010121	Heart	Rat	1	DESeq2 
ENSRNOG00000010210	Heart	Rat	1	DESeq2 
ENSRNOG00000010681	Heart	Rat	1	DESeq2 
ENSRNOG00000011172	Heart	Rat	1	DESeq2 
ENSRNOG00000011550	Heart	Rat	1	DESeq2 
ENSRNOG00000012450	Heart	Rat	1	DESeq2 
ENSRNOG00000012697	Heart	Rat	1	DESeq2 
ENSRNOG00000013502	Heart	Rat	1	DESeq2 
ENSRNOG00000013615	Heart	Rat	1	DESeq2 
ENSRNOG00000013914	Heart	Rat	1	DESeq2 
ENSRNOG00000014312	Heart	Rat	1	DESeq2 
ENSRNOG00000014313	Heart	Rat	1	DESeq2 
ENSRNOG00000014367	Heart	Rat	1	DESeq2 
ENSRNOG00000014979	Heart	Rat	1	DESeq2 
ENSRNOG00000015468	Heart	Rat	1	DESeq2 
ENSRNOG00000015616	Heart	Rat	1	DESeq2 
ENSRNOG00000015773	Heart	Rat	1	DESeq2 
ENSRNOG00000015821	Heart	Rat	1	DESeq2 
ENSRNOG00000015945	Heart	Rat	1	DESeq2 
ENSRNOG00000015994	Heart	Rat	1	DESeq2 
ENSRNOG00000016069	Heart	Rat	1	DESeq2 
ENSRNOG00000016782	Heart	Rat	1	DESeq2 
ENSRNOG00000016978	Heart	Rat	1	DESeq2 
ENSRNOG00000016995	Heart	Rat	1	DESeq2 
ENSRNOG00000017178	Heart	Rat	1	DESeq2 
ENSRNOG00000017429	Heart	Rat	1	DESeq2 
ENSRNOG00000017713	Heart	Rat	1	DESeq2 
