gene_id	tissue	species	n_pipe	pipe
ENSRNOG00000018033	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000007415	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000008167	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000017195	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000005887	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000010922	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000015970	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000019955	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000001232	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000008474	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000032055	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000050898	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000010794	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000030235	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000043498	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000036816	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000034116	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000002826	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000026177	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000023195	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000019496	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000014576	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000013836	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000012641	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000004524	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000018796	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000020298	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000005272	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000004813	Kidney	Rat	2	splineR MaSigPro 
ENSRNOG00000032508	Kidney	Rat	2	splineR MaSigPro 
