gene_id	tissue	species	n_pipe	pipe
ENSRNOG00000032618	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000015562	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000018824	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000005861	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000046515	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000032058	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000009730	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000019737	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000024595	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000018077	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000010238	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000002618	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000025151	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000007426	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000020185	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000030486	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000018131	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000000604	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000038361	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000019009	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000047545	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000047945	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000017473	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000008051	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000000969	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000008178	Liver	Rat	2	splineR MaSigPro 
ENSRNOG00000033412	Liver	Rat	2	DESeq2 MaSigPro 
ENSRNOG00000001115	Liver	Rat	2	DESeq2 splineR 
ENSRNOG00000007508	Liver	Rat	2	DESeq2 splineR 
ENSRNOG00000020706	Liver	Rat	2	DESeq2 splineR 
ENSRNOG00000003576	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000003749	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000004089	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000004588	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000007419	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000007947	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000008050	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000010079	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000010291	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000010859	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000013017	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000014135	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000016358	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000017115	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000019000	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000020167	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000025882	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000026577	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000027747	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000028534	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000029292	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000029535	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000031232	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000033010	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000033466	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000036866	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000037919	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000038868	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000042978	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000046662	Liver	Rat	2	MaSigPro In-house 
ENSRNOG00000042543	Liver	Rat	2	splineR In-house 
ENSRNOG00000050595	Liver	Rat	2	splineR In-house 
ENSRNOG00000050117	Liver	Rat	2	splineR In-house 
ENSRNOG00000051227	Liver	Rat	2	splineR In-house 
ENSRNOG00000051118	Liver	Rat	2	splineR In-house 
ENSRNOG00000047613	Liver	Rat	2	splineR In-house 
ENSRNOG00000047520	Liver	Rat	2	splineR In-house 
ENSRNOG00000050682	Liver	Rat	2	splineR In-house 
ENSRNOG00000009273	Liver	Rat	2	splineR In-house 
ENSRNOG00000030866	Liver	Rat	2	splineR In-house 
ENSRNOG00000049727	Liver	Rat	2	splineR In-house 
ENSRNOG00000012205	Liver	Rat	2	splineR In-house 
ENSRNOG00000001259	Liver	Rat	2	splineR In-house 
ENSRNOG00000033130	Liver	Rat	2	splineR In-house 
ENSRNOG00000019417	Liver	Rat	2	splineR In-house 
ENSRNOG00000046529	Liver	Rat	2	splineR In-house 
ENSRNOG00000050859	Liver	Rat	2	splineR In-house 
ENSRNOG00000046247	Liver	Rat	2	splineR In-house 
ENSRNOG00000015401	Liver	Rat	2	splineR In-house 
ENSRNOG00000005471	Liver	Rat	2	splineR In-house 
ENSRNOG00000043131	Liver	Rat	2	splineR In-house 
ENSRNOG00000040215	Liver	Rat	2	splineR In-house 
ENSRNOG00000042721	Liver	Rat	2	splineR In-house 
ENSRNOG00000033415	Liver	Rat	2	splineR In-house 
ENSRNOG00000051112	Liver	Rat	2	splineR In-house 
ENSRNOG00000015763	Liver	Rat	2	splineR In-house 
ENSRNOG00000047108	Liver	Rat	2	splineR In-house 
ENSRNOG00000051074	Liver	Rat	2	splineR In-house 
ENSRNOG00000050243	Liver	Rat	2	splineR In-house 
ENSRNOG00000029844	Liver	Rat	2	splineR In-house 
ENSRNOG00000051081	Liver	Rat	2	splineR In-house 
ENSRNOG00000028092	Liver	Rat	2	splineR In-house 
ENSRNOG00000011250	Liver	Rat	2	splineR In-house 
ENSRNOG00000003635	Liver	Rat	2	splineR In-house 
ENSRNOG00000017964	Liver	Rat	2	splineR In-house 
ENSRNOG00000039390	Liver	Rat	2	splineR In-house 
ENSRNOG00000017006	Liver	Rat	2	splineR In-house 
ENSRNOG00000042884	Liver	Rat	2	splineR In-house 
ENSRNOG00000012199	Liver	Rat	2	splineR In-house 
ENSRNOG00000042630	Liver	Rat	2	splineR In-house 
ENSRNOG00000046440	Liver	Rat	2	splineR In-house 
ENSRNOG00000016258	Liver	Rat	2	splineR In-house 
ENSRNOG00000017613	Liver	Rat	2	splineR In-house 
ENSRNOG00000004869	Liver	Rat	2	splineR In-house 
ENSRNOG00000013410	Liver	Rat	2	splineR In-house 
ENSRNOG00000008937	Liver	Rat	2	splineR In-house 
ENSRNOG00000007585	Liver	Rat	2	splineR In-house 
ENSRNOG00000018052	Liver	Rat	2	splineR In-house 
ENSRNOG00000017727	Liver	Rat	2	splineR In-house 
ENSRNOG00000023383	Liver	Rat	2	splineR In-house 
ENSRNOG00000004821	Liver	Rat	2	splineR In-house 
ENSRNOG00000039543	Liver	Rat	2	splineR In-house 
ENSRNOG00000012629	Liver	Rat	2	splineR In-house 
ENSRNOG00000021663	Liver	Rat	3	DESeq2 splineR MaSigPro 
ENSRNOG00000030868	Liver	Rat	3	DESeq2 splineR MaSigPro 
ENSRNOG00000037753	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000004294	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000018086	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000001830	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000009074	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000030616	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000029330	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000030316	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000011269	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000004036	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000016750	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000049053	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000030154	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000013907	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000002149	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000010922	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000047172	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000010634	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000008440	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000001351	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000016598	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000019470	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000019036	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000014171	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000008054	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000002553	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000017601	Liver	Rat	3	splineR MaSigPro In-house 
ENSRNOG00000002922	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000003098	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000003792	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000004289	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000010463	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000011139	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000012896	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000013953	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000014711	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000017531	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000020817	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000021553	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000025648	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000038331	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000042888	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000043154	Liver	Rat	3	DESeq2 splineR In-house 
ENSRNOG00000001957	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000002501	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000002662	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000004171	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000004692	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000006186	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000008570	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000010725	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000011696	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000012862	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000013251	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000013925	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000026051	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000027179	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000033192	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000037549	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
ENSRNOG00000039153	Liver	Rat	4	DESeq2 splineR MaSigPro In-house 
