id,group,tissue,sex,timePoint
Brain.4wpc.1,4wpc,Brain,Male,-14
Brain.4wpc.2,4wpc,Brain,Male,-14
Brain.4wpc.3,4wpc,Brain,Male,-14
Brain.5wpc.4,5wpc,Brain,Female,-13
Brain.5wpc.5,5wpc,Brain,Male,-13
Cerebellum.6wpc.6,6wpc,Cerebellum,Female,-12
Cerebellum.6wpc.7,6wpc,Cerebellum,Female,-12
Brain.7wpc.6,7wpc,Brain,Female,-11
Brain.7wpc.7,7wpc,Brain,Male,-11
Brain.7wpc.8,7wpc,Brain,Male,-11
Brain.8wpc.9,8wpc,Brain,Female,-10
Brain.8wpc.10,8wpc,Brain,Female,-10
Brain.8wpc.11,8wpc,Brain,Male,-10
Brain.8wpc.12,8wpc,Brain,Male,-10
Brain.9wpc.13,9wpc,Brain,Female,-9
Brain.9wpc.14,9wpc,Brain,Male,-9
Brain.9wpc.15,9wpc,Brain,Male,-9
Brain.10wpc.16,10wpc,Brain,Female,-8
Brain.11wpc.17,11wpc,Brain,Female,-7
Brain.11wpc.18,11wpc,Brain,Male,-7
Brain.11wpc.19,11wpc,Brain,Male,-7
Brain.11wpc.20,11wpc,Brain,Male,-7
Brain.12wpc.21,12wpc,Brain,Male,-6
Brain.13wpc.22,13wpc,Brain,Female,-5
Brain.13wpc.23,13wpc,Brain,Male,-5
Brain.13wpc.24,13wpc,Brain,Male,-5
Brain.16wpc.25,16wpc,Brain,Female,-4
Brain.16wpc.26,16wpc,Brain,Male,-4
Brain.18wpc.27,18wpc,Brain,Male,-3
Brain.19wpc.28,19wpc,Brain,Female,-2
Brain.19wpc.29,19wpc,Brain,Male,-2
Brain.19wpc.30,19wpc,Brain,Male,-2
Brain.20wpc.31,20wpc,Brain,Male,-1
Brain.20wpc.32,20wpc,Brain,Female,-1
Brain.newborn.33,newborn,Brain,Male,0
Brain.newborn.34,newborn,Brain,Female,0
Brain.newborn.35,newborn,Brain,Female,0
Brain.infant.37,infant,Brain,Male,1
Brain.toddler.38,toddler,Brain,Female,2
Brain.toddler.39,toddler,Brain,Male,2
Brain.toddler.40,toddler,Brain,Male,2
Brain.school.41,school,Brain,Male,3
Brain.school.42,school,Brain,Male,3
Brain.teenager.43,teenager,Brain,Male,4
Brain.teenager.44,teenager,Brain,Male,4
Brain.teenager.45,teenager,Brain,Male,4
Brain.youngAdult.47,youngAdult,Brain,Male,5
Brain.youngAdult.48,youngAdult,Brain,Male,5
Brain.youngAdult.49,youngAdult,Brain,Male,5
Brain.youngMidAge.50,youngMidAge,Brain,Male,6
Brain.youngMidAge.51,youngMidAge,Brain,Male,6
Brain.olderMidAge.52,olderMidAge,Brain,Male,7
Brain.olderMidAge.53,olderMidAge,Brain,Male,7
Brain.senior.54,senior,Brain,Male,8
Brain.senior.55,senior,Brain,Male,8
Cerebellum.4wpc.1,4wpc,Cerebellum,Female,-14
Cerebellum.4wpc.2,4wpc,Cerebellum,Male,-14
Cerebellum.4wpc.3,4wpc,Cerebellum,Male,-14
Cerebellum.5wpc.4,5wpc,Cerebellum,Female,-13
Cerebellum.5wpc.5,5wpc,Cerebellum,Male,-13
Cerebellum.6wpc.8,6wpc,Cerebellum,Male,-12
Cerebellum.6wpc.9,6wpc,Cerebellum,Male,-12
Cerebellum.7wpc.10,7wpc,Cerebellum,Female,-11
Cerebellum.7wpc.11,7wpc,Cerebellum,Male,-11
Cerebellum.7wpc.12,7wpc,Cerebellum,Male,-11
Cerebellum.8wpc.13,8wpc,Cerebellum,Female,-10
Cerebellum.8wpc.14,8wpc,Cerebellum,Female,-10
Cerebellum.8wpc.15,8wpc,Cerebellum,Male,-10
Cerebellum.8wpc.16,8wpc,Cerebellum,Male,-10
Cerebellum.9wpc.17,9wpc,Cerebellum,Female,-9
Cerebellum.9wpc.18,9wpc,Cerebellum,Male,-9
Cerebellum.10wpc.19,10wpc,Cerebellum,Female,-8
Cerebellum.10wpc.20,10wpc,Cerebellum,Male,-8
Cerebellum.11wpc.21,11wpc,Cerebellum,Female,-7
Cerebellum.11wpc.22,11wpc,Cerebellum,Male,-7
Cerebellum.11wpc.23,11wpc,Cerebellum,Male,-7
Cerebellum.11wpc.24,11wpc,Cerebellum,Male,-7
Cerebellum.12wpc.25,12wpc,Cerebellum,Female,-6
Cerebellum.12wpc.26,12wpc,Cerebellum,Male,-6
