id,group,tissue,sex,timePoint
Brain.e12.1,12,Brain,Female,-11
Brain.e12.2,12,Brain,Female,-11
Brain.e12.3,12,Brain,Male,-11
Brain.e12.4,12,Brain,Male,-11
Brain.e13.1,13,Brain,Female,-10
Brain.e13.2,13,Brain,Female,-10
Brain.e13.3,13,Brain,Male,-10
Brain.e13.4,13,Brain,Male,-10
Brain.e14.1,14,Brain,Female,-9
Brain.e14.2,14,Brain,Female,-9
Brain.e14.3,14,Brain,Male,-9
Brain.e14.4,14,Brain,Male,-9
Brain.e15.5.1,15.5,Brain,Female,-8
Brain.e15.5.2,15.5,Brain,Female,-8
Brain.e15.5.3,15.5,Brain,Male,-8
Brain.e15.5.4,15.5,Brain,Male,-8
Brain.e16.5.1,16.5,Brain,Female,-7
Brain.e16.5.2,16.5,Brain,Female,-7
Brain.e16.5.3,16.5,Brain,Male,-7
Brain.e16.5.4,16.5,Brain,Male,-7
Brain.e18.1,18,Brain,Female,-6
Brain.e18.2,18,Brain,Female,-6
Brain.e18.3,18,Brain,Male,-6
Brain.e18.4,18,Brain,Male,-6
Brain.e19.5.1,19.5,Brain,Female,-5
Brain.e19.5.2,19.5,Brain,Female,-5
Brain.e19.5.3,19.5,Brain,Male,-5
Brain.e19.5.4,19.5,Brain,Male,-5
Brain.e21.1,21,Brain,Female,-4
Brain.e21.2,21,Brain,Female,-4
Brain.e21.3,21,Brain,Male,-4
Brain.e21.4,21,Brain,Male,-4
Brain.e23.1,23,Brain,Female,-3
Brain.e23.2,23,Brain,Female,-3
Brain.e23.3,23,Brain,Male,-3
Brain.e23.4,23,Brain,Male,-3
Brain.e24.1,24,Brain,Female,-2
Brain.e24.2,24,Brain,Female,-2
Brain.e27.1,27,Brain,Female,-1
Brain.e27.2,27,Brain,Female,-1
Brain.e27.3,27,Brain,Male,-1
Brain.e27.4,27,Brain,Male,-1
Brain.P0.1,30,Brain,Female,0
Brain.P0.2,30,Brain,Female,0
Brain.P0.3,30,Brain,Male,0
Brain.P0.4,30,Brain,Male,0
Brain.P14.1,44,Brain,Female,1
Brain.P14.2,44,Brain,Female,1
Brain.P14.3,44,Brain,Male,1
Brain.P84.1,114,Brain,Female,2
Brain.P84.2,114,Brain,Female,2
Brain.P84.3,114,Brain,Male,2
Brain.P84.4,114,Brain,Male,2
Brain.P186.1,216,Brain,Female,3
Brain.P186.2,216,Brain,Female,3
Brain.P186.3,216,Brain,Male,3
Brain.P186.4,216,Brain,Male,3
Cerebellum.e15.5.1,15.5,Cerebellum,Female,-8
Cerebellum.e15.5.2,15.5,Cerebellum,Female,-8
Cerebellum.e15.5.3,15.5,Cerebellum,Male,-8
Cerebellum.e15.5.4,15.5,Cerebellum,Male,-8
Cerebellum.e16.5.1,16.5,Cerebellum,Female,-7
Cerebellum.e16.5.2,16.5,Cerebellum,Female,-7
Cerebellum.e16.5.3,16.5,Cerebellum,Male,-7
Cerebellum.e16.5.4,16.5,Cerebellum,Male,-7
Cerebellum.e18.1,18,Cerebellum,Female,-6
Cerebellum.e18.2,18,Cerebellum,Female,-6
Cerebellum.e18.3,18,Cerebellum,Male,-6
Cerebellum.e18.4,18,Cerebellum,Male,-6
Cerebellum.e19.5.1,19.5,Cerebellum,Female,-5
Cerebellum.e19.5.2,19.5,Cerebellum,Female,-5
Cerebellum.e19.5.3,19.5,Cerebellum,Male,-5
Cerebellum.e19.5.4,19.5,Cerebellum,Male,-5
Cerebellum.e21.1,21,Cerebellum,Female,-4
Cerebellum.e21.2,21,Cerebellum,Female,-4
Cerebellum.e21.3,21,Cerebellum,Male,-4
Cerebellum.e23.1,23,Cerebellum,Female,-3
Cerebellum.e23.2,23,Cerebellum,Female,-3
Cerebellum.e23.3,23,Cerebellum,Male,-3
Cerebellum.e23.4,23,Cerebellum,Male,-3
Cerebellum.e24.1,24,Cerebellum,Female,-2
Cerebellum.e24.2,24,Cerebellum,Female,-2
Cerebellum.e27.1,27,Cerebellum,Female,-1
Cerebellum.e27.2,27,Cerebellum,Female,-1
Cerebellum.e27.3,27,Cerebellum,Male,-1
Cerebellum.e27.4,27,Cerebellum,Male,-1
Cerebellum.P0.1,30,Cerebellum,Female,0
Cerebellum.P0.2,30,Cerebellum,Female,0
Cerebellum.P0.3,30,Cerebellum,Male,0
Cerebellum.P0.4,30,Cerebellum,Male,0
Cerebellum.P14.1,44,Cerebellum,Female,1
Cerebellum.P14.2,44,Cerebellum,Female,1
Cerebellum.P14.3,44,Cerebellum,Male,1
Cerebellum.P14.4,44,Cerebellum,Male,1
Cerebellum.P84.1,114,Cerebellum,Female,2
Cerebellum.P84.2,114,Cerebellum,Female,2
Cerebellum.P84.3,114,Cerebellum,Male,2
Cerebellum.P84.4,114,Cerebellum,Male,2
Cerebellum.P186.1,216,Cerebellum,Female,3
Cerebellum.P186.2,216,Cerebellum,Female,3
Cerebellum.P186.3,216,Cerebellum,Male,3
Cerebellum.P186.4,216,Cerebellum,Male,3
Heart.e12.1,12,Heart,Female,-11
Heart.e12.2,12,Heart,Female,-11
Heart.e12.3,12,Heart,Male,-11
Heart.e12.4,12,Heart,Male,-11
Heart.e13.1,13,Heart,Female,-10
Heart.e13.2,13,Heart,Male,-10
Heart.e13.3,13,Heart,Male,-10
Heart.e14.1,14,Heart,Female,-9
Heart.e14.2,14,Heart,Male,-9
Heart.e14.3,14,Heart,Male,-9
Heart.e15.5.1,15.5,Heart,Female,-8
Heart.e15.5.2,15.5,Heart,Female,-8
Heart.e15.5.3,15.5,Heart,Male,-8
Heart.e15.5.4,15.5,Heart,Male,-8
Heart.e16.5.1,16.5,Heart,Female,-7
Heart.e16.5.2,16.5,Heart,Female,-7
Heart.e16.5.3,16.5,Heart,Male,-7
Heart.e16.5.4,16.5,Heart,Male,-7
Heart.e18.1,18,Heart,Female,-6
Heart.e18.2,18,Heart,Female,-6
Heart.e18.3,18,Heart,Male,-6
Heart.e18.4,18,Heart,Male,-6
Heart.e19.5.1,19.5,Heart,Female,-5
Heart.e19.5.2,19.5,Heart,Female,-5
Heart.e19.5.3,19.5,Heart,Male,-5
Heart.e19.5.4,19.5,Heart,Male,-5
Heart.e21.1,21,Heart,Female,-4
Heart.e21.2,21,Heart,Female,-4
Heart.e21.3,21,Heart,Male,-4
Heart.e21.4,21,Heart,Male,-4
Heart.e23.1,23,Heart,Female,-3
Heart.e23.2,23,Heart,Female,-3
Heart.e23.3,23,Heart,Male,-3
Heart.e23.4,23,Heart,Male,-3
Heart.e24.1,24,Heart,Female,-2
Heart.e24.2,24,Heart,Female,-2
Heart.e24.3,24,Heart,Male,-2
Heart.e24.4,24,Heart,Male,-2
Heart.e27.1,27,Heart,Female,-1
Heart.e27.2,27,Heart,Female,-1
Heart.e27.3,27,Heart,Male,-1
Heart.e27.4,27,Heart,Male,-1
Heart.P0.1,30,Heart,Female,0
Heart.P0.2,30,Heart,Female,0
Heart.P0.3,30,Heart,Male,0
Heart.P0.4,30,Heart,Male,0
Heart.P14.1,44,Heart,Female,1
Heart.P14.2,44,Heart,Female,1
Heart.P14.3,44,Heart,Male,1
Heart.P14.4,44,Heart,Male,1
Heart.P84.1,114,Heart,Female,2
Heart.P84.2,114,Heart,Male,2
Heart.P186.1,216,Heart,Female,3
Heart.P186.2,216,Heart,Female,3
Heart.P186.3,216,Heart,Male,3
Heart.P186.4,216,Heart,Male,3
Kidney.e15.5.1,15.5,Kidney,Female,-8
Kidney.e15.5.2,15.5,Kidney,Female,-8
Kidney.e15.5.3,15.5,Kidney,Male,-8
Kidney.e15.5.4,15.5,Kidney,Male,-8
Kidney.e16.5.1,16.5,Kidney,Female,-7
Kidney.e16.5.2,16.5,Kidney,Female,-7
Kidney.e16.5.3,16.5,Kidney,Male,-7
Kidney.e16.5.4,16.5,Kidney,Male,-7
Kidney.e18.1,18,Kidney,Female,-6
Kidney.e18.2,18,Kidney,Female,-6
Kidney.e18.3,18,Kidney,Male,-6
Kidney.e18.4,18,Kidney,Male,-6
Kidney.e19.5.1,19.5,Kidney,Female,-5
Kidney.e19.5.2,19.5,Kidney,Female,-5
Kidney.e19.5.3,19.5,Kidney,Male,-5
Kidney.e19.5.4,19.5,Kidney,Male,-5
Kidney.e21.1,21,Kidney,Female,-4
Kidney.e21.2,21,Kidney,Female,-4
Kidney.e21.3,21,Kidney,Male,-4
Kidney.e21.4,21,Kidney,Male,-4
Kidney.e23.1,23,Kidney,Female,-3
Kidney.e23.2,23,Kidney,Female,-3
Kidney.e23.3,23,Kidney,Male,-3
Kidney.e23.4,23,Kidney,Male,-3
Kidney.e24.1,24,Kidney,Female,-2
Kidney.e24.2,24,Kidney,Female,-2
Kidney.e24.3,24,Kidney,Male,-2
Kidney.e24.4,24,Kidney,Male,-2
Kidney.e27.1,27,Kidney,Female,-1
Kidney.e27.2,27,Kidney,Female,-1
Kidney.e27.3,27,Kidney,Male,-1
Kidney.e27.4,27,Kidney,Male,-1
Kidney.P0.1,30,Kidney,Female,0
Kidney.P0.2,30,Kidney,Female,0
Kidney.P0.3,30,Kidney,Male,0
Kidney.P0.4,30,Kidney,Male,0
Kidney.P14.1,44,Kidney,Female,1
Kidney.P14.2,44,Kidney,Female,1
Kidney.P14.3,44,Kidney,Male,1
Kidney.P14.4,44,Kidney,Male,1
Kidney.P84.1,114,Kidney,Female,2
Kidney.P84.2,114,Kidney,Female,2
Kidney.P84.3,114,Kidney,Male,2
Kidney.P84.4,114,Kidney,Male,2
Kidney.P186.1,216,Kidney,Female,3
Kidney.P186.2,216,Kidney,Female,3
Kidney.P186.3,216,Kidney,Male,3
Kidney.P186.4,216,Kidney,Male,3
Liver.e13.1,13,Liver,Female,-10
Liver.e13.2,13,Liver,Female,-10
Liver.e13.3,13,Liver,Male,-10
Liver.e13.4,13,Liver,Male,-10
Liver.e14.1,14,Liver,Female,-9
Liver.e14.2,14,Liver,Female,-9
Liver.e14.3,14,Liver,Male,-9
Liver.e14.4,14,Liver,Male,-9
Liver.e15.5.1,15.5,Liver,Female,-8
Liver.e15.5.2,15.5,Liver,Female,-8
