-4	-3	-2	-1	0	1	2	3	4	V1	V2	V3	V4	V5	V6	V7	V8	V9
ENSGALG00000000004	0.544882808313304	0.431590126067256	0.445934181874762	0.543849027164477	0.211203024258953	0.239718558631708	0.31226448296137	0.463597665389832	0.715290455346834	0	0	0	0	0	0	0	0	0
ENSGALG00000000140	-3.20743670757611	-2.95705441951771	-2.55181694749219	-2.64868083006498	-2.59655947070406	-2.43837670057502	-2.56630659552741	-2.46496784073677	-2.30547605145674	0	0	0	0	0	0	0	0	0
ENSGALG00000000171	-0.15092525317928	-0.259271171199037	-0.294377382337541	-0.109138167828849	-0.283709295194357	-0.336105536769761	-0.273904521262867	-0.451680825349422	-0.128889532882781	0	0	0	0	0	0	0	0	0
ENSGALG00000000187	-0.444261561813768	-0.731576172284441	-0.125876271902418	-1.08082380700291	-2.06127997788752	-1.41056282012967	-1.34888617318844	-2.18268332232637	0.0535233144632894	0	0	0	0	0	0	0	0	0
ENSGALG00000000189	0.930567513770938	0.650927714702548	0.931183641429392	0.836622546407368	0.857643756473284	0.804195680419267	0.709187610831773	0.927566927422309	1.00084425466848	0	0	0	0	0	0	0	0	0
ENSGALG00000000208	0.197425650827618	0.418746126946613	0.185557947711763	0.245580331098099	0.320992850511462	0.47655765536733	0.0644576230100933	0.435209563500772	0.474196353663292	0	0	0	0	0	0	0	0	0
ENSGALG00000000215	0.718097307596671	0.584583893937358	0.540259377746135	0.781233734545962	0.793835082591347	0.740600997250531	0.847968865574558	0.972546370058247	0.875285910679407	0	0	0	0	0	0	0	0	0
ENSGALG00000000218	1.17014885579424	0.838476326682452	0.899256279623183	0.901773578414605	0.710021417675444	0.891461153867292	0.975594498966674	0.849824495962833	1.06969157299161	0	0	0	0	0	0	0	0	0
ENSGALG00000000220	0.641252936458301	0.198598532078938	0.0798793192837479	0.418354901589723	0.410928199065282	0.508955421595259	0.480328416714707	0.935749667652265	0.542514111477741	0	0	0	0	0	0	0	0	0
ENSGALG00000000234	0.320917695411827	0.675099202172212	0.215820967342034	0.506227762145186	0.583469714880223	0.778836258621328	0.411950714703119	0.243173900450229	0.268226035555259	0	0	0	0	0	0	0	0	0
ENSGALG00000000241	0.988050114140446	1.04479030270205	0.600802375724374	0.658229291085926	0.83817266009209	0.726712362143867	0.808324427087271	1.57775284121638	0.974841914323055	0	0	0	0	0	0	0	0	0
ENSGALG00000000247	0.913429051308492	0.737993383294817	0.821713660446283	0.742566143661988	0.784319255668043	0.778216358345976	0.922823218717436	0.885821894200087	1.00814651459255	0	0	0	0	0	0	0	0	0
ENSGALG00000000253	0.33103779775346	0.270021789714217	-0.0398319861611753	-0.0656216540191856	0.126845696886219	0.0752501234116227	0.0759486932090869	0.3343093524082	0.382109067134255	0	0	0	0	0	0	0	0	0
ENSGALG00000000255	0.34145226331716	0.22779906820138	0.00315013846036738	0.19710418839537	0.102880892090937	0.343285129297534	0.163776514701718	0.616819056507509	0.686517775310097	0	0	0	0	0	0	0	0	0
ENSGALG00000000264	0.421600278055012	0.376205804249578	0.14071382556216	0.0029111254094083	-0.013487787191055	0.162160453927357	0.260085014453582	0.586453495227678	0.358889477547327	0	0	0	0	0	0	0	0	0
ENSGALG00000000273	0.595832030525326	0.536363971735651	0.196739915843854	0.570360522798895	0.632273290069048	0.509799217009583	0.36270759423934	0.853501302542356	0.594927703593393	0	0	0	0	0	0	0	0	0
ENSGALG00000000276	0.101690145064382	0.335197088238779	0.105999238549629	0.27781889196854	-0.0703629617933101	0.115398779465712	0.215467814959817	0.535947306479037	0.402065985256176	0	0	0	0	0	0	0	0	0
ENSGALG00000000336	-0.0553198812849747	-0.00131594544118485	0.0935784785889062	-0.0783716006674195	0.0327956405881551	0.124161844145535	0.588463054614348	0.895807640682271	0.121792760484507	0	0	0	0	0	0	0	0	0
ENSGALG00000000386	-6.4986654821036	-6.50123851331338	-6.35230377944504	-6.59735811486161	-6.73562174240142	-6.86596048850709	-6.68814541638044	-6.15675821315363	-6.58236629173455	0	0	0	0	0	0	0	0	0
