-4	-3	-2	-1	0	1	2	3	4	V1	V2	V3	V4	V5	V6	V7	V8	V9
ENSGALG00000000004	0.844354521691822	0.498078788872421	0.441114263195679	0.291245295033667	0.451410078277564	0.304509500290888	0.519424970675161	0.563655552955508	0.324483164845536	0	0	0	0	0	0	0	0	0
ENSGALG00000000140	-2.72103579411593	-2.96550923008033	-2.84202357678643	-2.75733653414601	-2.68952588983588	-2.69417160584091	-2.48901394818448	-2.38234762778372	-2.52458874243503	0	0	0	0	0	0	0	0	0
ENSGALG00000000151	0.951867751302657	0.662437812789601	0.587951869248919	0.543999611559943	0.407605398222092	0.160552034236304	0.428062841557361	0.154412561479689	0.527481637178155	0	0	0	0	0	0	0	0	0
ENSGALG00000000189	1.058706498267	0.694329885163503	0.897095093419761	0.8925684900165	0.790206326555825	0.701795686075125	0.846304414064643	0.875716088354102	0.674123926758261	0	0	0	0	0	0	0	0	0
ENSGALG00000000208	0.407294243363385	0.312913643713898	0.530190797963217	0.543280365032258	0.469091155354207	0.373232486865176	0.472544737759009	0.470350448343233	-0.00510526977573944	0	0	0	0	0	0	0	0	0
ENSGALG00000000215	0.70849695253349	0.498975238964387	0.721606961768889	0.575719163331832	0.635426279070279	0.385117791491112	0.652261439414044	0.857916111188731	0.410611023656054	0	0	0	0	0	0	0	0	0
ENSGALG00000000218	1.00248403456421	0.769069067050871	0.857783088771933	0.970253108018542	1.05803984615982	1.14009993389457	0.827443184622547	0.868302893086904	0.815865674013544	0	0	0	0	0	0	0	0	0
ENSGALG00000000220	0.915428014887864	0.319545733244587	0.818408151211701	0.423799931700906	0.690718081767597	0.608490921827924	0.69269005579455	0.719117210311111	0.432341987817399	0	0	0	0	0	0	0	0	0
ENSGALG00000000234	0.539972155265704	0.190992588427251	0.390059688560148	0.355544644185586	0.435956944767988	0.523577193848791	0.112276857603239	0.44625963994421	0.28561076206751	0	0	0	0	0	0	0	0	0
ENSGALG00000000241	1.03261950620909	1.18417352199734	0.61965308642541	0.597439137286077	0.939335919730392	0.756381015734445	0.877817307256957	0.563093189726596	0.404116373595159	0	0	0	0	0	0	0	0	0
ENSGALG00000000244	0.216251602451208	0.296500826439993	0.380577438369716	0.240495804488631	0.363460036329988	0.203813999884224	0.676952551741379	0.36023443754368	-0.393069533327399	0	0	0	0	0	0	0	0	0
ENSGALG00000000247	1.13297248721503	0.848953140217574	1.00248540998304	0.994800445975812	1.04313663385982	0.891584091578927	0.9319305155186	0.881793190514238	0.918361294888462	0	0	0	0	0	0	0	0	0
ENSGALG00000000253	0.47627431800796	0.372101071364662	0.332294615758535	0.352926629561031	0.393014822033503	0.272090488323924	0.185247945277028	0.434431266648297	0.201669360263506	0	0	0	0	0	0	0	0	0
ENSGALG00000000264	0.848956784475519	0.688078585391989	0.672044256558637	0.610633408707695	0.723560211890792	0.689377019361427	0.743981613497695	0.78483182819525	0.533818088298537	0	0	0	0	0	0	0	0	0
ENSGALG00000000273	0.796608152927496	0.457217620046867	0.505473112358484	0.519069909424019	0.691219288829266	0.360355296578841	0.454000824680121	0.623493717541316	0.453086775014407	0	0	0	0	0	0	0	0	0
ENSGALG00000000276	0.33838436481604	0.198538761433495	0.0940191938792552	0.272445828702057	0.410749610947166	0.323907571614248	0.315875158323756	0.282962300951381	0.309259551255733	0	0	0	0	0	0	0	0	0
ENSGALG00000000386	-6.64177738660122	-6.51168468108533	-6.56062302519894	-6.46333605325744	-6.76610685704705	-7.01800064675487	-6.6844431005934	-6.64751055910469	-6.53589570493931	0	0	0	0	0	0	0	0	0
