-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
ENSMUSG00000000787	-0.579435733001651	0.0545141123671051	-0.489085403287373	-0.35864663273699	-0.292583231649013	-0.0757263994322059	-0.237661585024426	-0.462215808907123	-0.545304947842038	0.147737820902844	-0.353059448151232	-0.439560750918915	-0.416947800657253	-0.680219262369397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003477	0	0.00619640075665068	-0.0488977340140373	-0.0316738566812444	-0.0583187120400223	-0.0358755220680854	0.243936931498119	0.0239260343419439	-0.0445803626884516	0	-0.285056663564239	-0.0899949518285562	1.12753722798251	3.20159830049359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018986	-0.416208602743223	-0.525423837698365	-0.355123922536386	-0.135115209914776	-0.655115010620314	0.590991102423899	-0.269640781427039	0.0112636228792273	-0.0717274067143867	-0.227899754256464	-0.145071823847913	-0.198360670088616	0.173714653667699	-1.10990235540663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021758	0.315758332785388	1.07999986184183	0.712816044973333	0.314702759863314	0.181896159304414	0.670275370618787	0.10209861902734	0.239209788773364	0.32936907035397	0.284842840770937	0.0193085732170252	0.175944494173973	0.0274951627170554	0.213725278580688	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025332	0.219015106255183	-0.32909319854453	-0.503696476945734	-0.557270998081441	-0.4284880561351	-0.563752331425842	-0.570694555000362	-0.575213669293148	-0.706855774788809	-0.242196140940814	-0.485288145562699	-0.634549730372536	-0.624546907597656	-0.746042385133814	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027750	-1.34097917555773	-1.48950202604019	-0.684218576128561	0.0122841664587874	-0.0371963585506094	0.290231127200245	-0.504320694098489	0.0230216874383355	-0.405018644850056	0.0387759317138752	0.0414824309440629	0.430877350683796	-0.331431559057335	-2.34609984332992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030208	-1.15836330439312	-1.37412009470234	-0.631903973251204	0.141236997997072	-0.0179515008464968	0.2314177063108	0.375698616480324	-0.0295276581886457	-0.354105747881619	0.0665009040938145	-0.0160488701721491	0.354136958310482	-0.124271143191478	-1.07724782786428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031226	-0.442998879288957	-0.0776336027454381	-0.284555870840355	-0.481524465795781	-0.517044371317867	-0.447419299551871	-0.403989687798621	-0.598166228274208	-0.876126125647607	0.0733251059060107	-0.500942404800342	-0.137601066022747	-0.493178219661169	-0.63427333400675	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032557	0.07720706613694	0.201832637387835	0.507032648061571	0.443168191433418	0.610327132561567	0.556077033656219	0.546847751107221	0.532267216525414	0.26259557645509	0.456570271491328	0.529614876893	0.442709717287854	0.306893859724887	0.345589971168423	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035150	-0.0683350467236288	-0.468598392175195	-0.66531531634956	-0.741454664662997	-0.854453356582159	-0.809499519747332	-0.730002602721599	-0.761993065755603	-0.412878310560874	-1.65549460613745	-0.617407886857247	-0.733892910963609	-0.820105653079709	-0.642955325395562	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037369	-0.820496387463606	-0.421967519667193	-0.83298957072761	-0.6058901752511	-0.66509050967708	-0.531633327504153	-0.58966232746006	-0.787304115379331	-0.883068149357479	-0.113955475048085	-0.640953344831875	-0.861331433023818	-0.860183935284953	-1.0846185928075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037406	0	-0.0374499209865496	0.128740882260427	-0.0760639383510218	-0.057744339654245	-0.0541064911002028	-0.38184511211336	-0.158091269368504	0.20856277171793	-0.0431377908666876	-0.0725547956916304	-0.369260262966264	-0.60912605579925	-1.0280035285576	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043336	-1.01516186928121	-0.352533884822916	-0.396906850506799	0.131834624783423	0.109648823573475	0.0984771970820137	-0.319795071373305	-0.116894286948525	-0.51634573848303	0.00414494237748464	-0.0863121908358249	0.114367056893085	-0.156838950841318	-0.611391184305962	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051412	-1.78345493885455	-0.0721225815805528	-0.842207986122109	-0.236099079112309	-0.398750797164027	0.0371557829170666	-0.100655124321831	-0.396380788855166	-0.498501450755208	0.409077285434125	-0.215952982388398	-0.44972536821423	-0.25979390608343	-0.64473306681739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054203	0.19295307733121	0	0.0330480647065281	-0.0476021200994235	-0.00223276146302677	0.223729210814633	0.152509712334325	0.154394318818904	0.175691187452833	-0.0642969383165814	-0.0466772632871277	-0.0710941093962864	0.650309102392174	2.83796471644817	0	0	0	0	0	0	0	0	0	0	0	0	0	0
