-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
ENSMUSG00000000028	-0.00430565471187272	0.0619988236853377	-0.120822696800579	0.0916810069854961	-0.194801718144689	0.0229993213169815	0.0617640467727716	0.00523562284781143	-0.0694309298619871	0.00421726394481592	0.296928474679401	0.454964519764672	0.943320140265131	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000325	-0.343138178797525	0.110708458146525	-0.0523105589710413	-0.318872517920899	-0.0849764535631437	0.0167056946870296	0.125678506325682	0.229879635190174	0.126592734994359	-0.106480342029574	-0.297957982745095	-1.51097417217103	-1.46331931924241	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	-0.179364077345395	0.0432287850894184	-0.241738033041271	-0.041765733988016	0.232593189117628	0.0106360828897678	0.0330229958611854	0.0667116617445629	0.179111785699068	0.121619618981822	-0.111268986900267	-0.94856895957486	-1.5429692718401	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000420	0.169798732858523	0.0107546485201029	-0.0636222105478002	0.0521330508093074	0.136614723647354	0.140621974855176	-0.0466847554700571	-0.0695181290566351	0.243497539356419	0.170234883000308	0.102432913372617	1.43655268315103	1.6635119244182	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000441	-0.0591596480398193	0.0512379876804943	-0.0605240452837243	0.140638256078919	0.000210720276004217	0.0669647628157364	0.0559979672337434	0.0230760283353355	0.0442772769908233	0.0445734058342975	-0.105998392181485	0.55640156568202	0.704240428238866	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000690	-0.22890983717253	0.0134254948027159	-0.142179659998289	-0.0248358338410561	-0.614187106578733	-0.162389642337662	-0.146102464187097	0.287989996988713	-0.0905709935477734	-0.280336749725471	-0.0941831967258144	-0.750912432598733	-1.43438272894781	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708	0.12252011063001	-0.00863976070464112	-0.192685305988444	-0.0526454547318371	0.168826108450894	0.00393192063952164	-0.190704496492496	0.101043503240824	0.146285265484339	-0.0265589237599162	-0.0992151101085188	0.579084919899856	0.858325360722353	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000787	0.0240777524936622	-0.23134985148209	-0.459394738296824	-0.148375550740321	-0.149447659309494	-0.182699186743411	-0.371057131377851	-0.281245645106317	-0.137336694150619	-0.208787182301563	-0.402895847864489	-0.0456548842865772	-0.302949966591862	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000805	-0.478396059022705	-0.0226862886410251	0.374328826395178	0.0758790792975272	-0.0216756868513786	-0.0419246346129052	0.193898476436356	0.0263104429794714	0.852145885995352	0.265214633156545	0.127065675817828	1.28471821280284	1.73401731536224	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000876	-0.187636008688272	0.0340207143603477	0.235790530499752	0.0394738273164634	0.069160439328515	0.00521864792530735	-0.00411509674621247	-0.0129168063012415	0.317912843189645	0.106134137602347	0.0845900751771254	0.76287163262877	0.42872044162699	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000881	0.00795333983068502	-0.0244536237676831	-0.155371127985115	0.0185665607683623	-0.0539773292300243	-0.0225906389386781	-0.110233468568913	-0.00552437454697419	0.0559544694505769	0.0126694868631194	-0.107254728183356	-0.307429342992894	-0.497833362179495	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001054	-0.100130676840307	0.0607312647666474	-0.065067092297368	0.00987591018992973	-0.000507898720879751	0.145603740759926	-0.0511275313931838	-0.0410383202080364	0.0916735927550336	0.0191137551798857	-0.17878963327616	0.765726756262072	0.863564192585957	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001056	-0.0856626493539228	0.0988477398338308	0.0996897528270004	-0.055128737213785	-0.292341288276654	0.0669422084410041	-0.0307746146162877	-0.0210749432325761	-0.0590781102020488	-0.123266834030876	0.125243423927711	1.47890698289744	1.92782536535229	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001120	-0.237989401618407	0.0252911373582814	-0.262696781128002	-0.451259385746232	0.0774595955585591	0.0496699320582792	0.0822487986270311	0.124598549098981	-0.0120011103916511	0.222003329460716	0.153604777127916	0.666468570531191	0.841615480775396	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001300	-0.0129644756890652	-0.017662769459486	0.143209046241723	0.0694445726454518	-0.0047993659443728	0.00145650646944961	-0.0641122632043487	0.0487249650319619	-0.117812527911155	0.00175218355565843	0.109496867894651	-0.597978918267104	-0.914897380168582	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001376	0.345465560819512	-0.0464834923855477	-0.088845846955488	0.187649991825288	0.0939075959058222	0.134350247182317	-0.0485402657313498	-0.103073867146356	0.0102072044013211	0.0340753465561132	-0.0650334134846364	0.557633538215767	0.532544062763737	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001380	0.101309799153175	0.00852618788816351	0.0601350999554437	0.0221777522998838	-0.0128095872045924	0.0689709227731816	-0.103191032331708	0.0648733004638586	0.0277432832066697	0.016466583511491	0.1249647958012	0.226399756588147	0.573306355843698	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001416	0.192808803399	0.0355324563276032	0.0680185698045737	0.0533183196515878	0.0120741666772837	0.114444944533493	0.0396792139231446	-0.0725790675925992	5.96443376466027e-05	0.113012914294361	-0.0475144463287602	0.518709969641783	0.695601727088833	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001418	-0.121489126976086	0.111387250197323	0.127889372132266	-0.106602072179245	0.12158411521141	0.039414151096655	0.0886032090901487	-0.00457756466449055	0.275394867271922	0.204294907682101	-0.0477968733546055	0.363314175680066	0.628294572118477	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001435	-0.39799344539006	0.106532986648142	0.160404931708694	-0.123256420115423	-0.129768400846261	-0.0979021977056931	0.11895733691283	0.138131759772259	0.103440124770618	0.0184380256277255	-0.327044612945302	-0.798169653609549	-1.31429294974442	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001482	-0.169417086807595	-0.0265535385985523	-0.00648326698340629	-0.0429878824303174	0.110219105247859	0.10510389697466	0.119883319241954	-0.0150252307172458	0.389528842185753	0.20553552818802	0.0016638750056277	0.983003085905718	0.948138723522487	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001504	-0.781727885719241	0.249747362616454	0.322464702348052	0.111464096914142	-0.407186935943987	-0.193585731439585	-0.10168677288572	0.197336856053386	-0.0874385522421708	-0.345197336060282	-0.177907256055512	-0.58631588302053	-1.16277696020025	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001507	-0.266181055312774	0.105993405014309	-0.022033264967142	0.0589223157397489	-0.0534522359883214	-0.0584846178420886	0.0871196673784915	0.03986725480266	0.147869285259655	0.0021229080777232	-0.170433533548844	-0.516666034735891	-0.620152995124742	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001521	-0.00425308558148707	-0.11844860862495	0.0240372309036028	0.035388336438178	0.106890972428778	0.0954202620722597	0.147940981710276	0.0412912860691224	-0.0146388315200427	0.0235957501067023	-0.0205519627104715	0.717609579532742	1.02259938218805	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001576	0.0210430307692571	0.059814762804443	0.029675752134203	0.00691076763210585	0.0333256762493077	0.0791639352039564	0.193520625526883	-0.0692918248923338	-0.0584283853737961	0.0808177168939661	0.126412491857769	0.631602217887693	0.893579127858928	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001755	-0.136637930857932	0.0394274158315948	-0.09163546271885	-0.0154635564714898	-0.0470735987673141	0.0672743778823008	0.124530479448667	0.0664859130699869	0.568788159011897	0.190069966573759	-0.111419095651203	1.13120084185626	1.56992926574538	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001783	0.109342941576241	0.0213201918451702	-0.040118750836827	0.0565157800823082	-0.030158148057823	0.0620112573126761	-0.0558046493752471	-0.0376673139367885	0.0337041752887206	0.115791592967777	-0.017550339472244	0.39808511179028	0.484188806219038	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001786	0.0282078316827903	0.0595302215270648	0.124293942885187	0.149035979417482	0.126515027398125	-0.00560001120265952	0.146887077909645	-0.0309007524497389	0.11244627343501	0.0877975890909735	-0.111758884041969	0.780620931652331	0.885209440103418	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001802	-0.248377450112697	0.354103006728366	-0.205358856544194	-0.0793922003796945	-0.031721209945422	0.21421441697078	0.0570613241716931	0.15336432748972	-0.102545462146924	-0.0017094158497688	-0.220557716618019	-0.483667666242825	-0.771813713124725	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001891	0.274119648598266	-0.0151852549151235	-0.0105364504611831	0.131663525202085	0.221330931993099	0.137610804778403	-0.0379194040580195	-0.11639533075653	0.262448034077926	0.140713902243463	0.208323749584142	0.349700679261058	0.38815373060303	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002015	0.0955855776594072	-0.0195901134740541	-0.0351267192305862	0.0107351486652112	0.000491943136866624	0.10245276843544	-0.0477959620921284	-0.00999627061965302	-0.0324370416360074	-0.0154314892258531	-0.0014755200441039	0.379993025026018	0.511324854671698	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002059	-0.154764441947895	0.0360997704193426	0.0518932628272033	0.160095129774994	-0.0870962687755004	0.134224600249135	0.0626558388069522	0.036705842769222	0.13501286635969	-2.41532871276817e-05	-0.110842831342615	0.427603417438991	0.614813746880014	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002076	-0.127461273279764	0.132506658127016	-0.161865550924136	0.251836068219719	0.0993031488337776	-0.00365538300926005	0.117928844232674	0.102086169165021	-0.0487503168843355	0.359686325159081	-0.180787825229264	2.09832136094072	2.33279171994237	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002105	-0.159272346771512	0.151242143161788	-0.00419597223746937	0.0632280260292886	0.0791011472892116	0.0911233398190179	0.162008190131111	0.0629004216834907	0.0642835734109326	-0.0373925890190572	-0.204521782266076	-0.63577626309022	-0.712334455576601	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002228	-0.2163771627399	-0.0306011259049508	-0.288047974176758	0.120910500584469	-0.425235456130473	-0.0310830135637103	0.020219428998689	-0.0353744099683051	0.045613741790997	-0.190776430745767	-0.0898424348490865	0.693487445474555	1.84707954649321	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002233	-0.171659869658908	0.0678544729171451	0.119707278050242	-0.15270415684435	0.0150198540258195	-0.0522804919747095	-0.0783806466302561	-0.0167303686889806	0.132720549213501	0.135216107538096	0.0496238612992013	0.716777566836699	1.19412844768562	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002257	-0.440789070025408	0.193001901319057	-0.0177801822053048	0.255572161661237	-0.171103780206672	0.00409219975305586	0.270376444536937	0.137312366618382	-0.0680422757522967	-0.209351344606836	-0.0437079651658321	-0.737868690815652	-0.666125331063421	0	0	0	0	0	0	0	0	0	0	0	0	0
