-1	0	1	2	3	4	6	7	8	10	11	12	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
ENSMODG00000000067	0.0302967346352423	-0.0283853275029102	0.128686292142221	-0.109466055033448	0.0478019010634982	0.131104992780952	0.0628380361048579	0.447072417071454	0.402896819681955	-0.0104662686452563	0.235329780446463	0.474928762980728	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000268	0.099485634966781	-0.160505967264011	-0.0726150863625836	0.312401286782174	0.243856619922347	0.0198183166994599	0.187536326550975	0.321708504468492	0.210786680637936	0.233947762269445	0.73834922728725	0.310141163187814	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000001715	-0.315103231178627	0.681841179263482	0.630334403053819	0.102366745699656	0.307159232782051	0.401836460622346	0.0393383642382488	1.67173818154863	3.51966187347209	-1.26561198557231	1.98432967060084	4.29999060484379	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000002161	-0.0699104328418514	0.300338229826132	-0.0481297105052239	0.337972196479543	0.2313466935982	-0.285045793666041	0.00790973003849338	-0.0749593185562256	0.544814224949442	0.0904060642127109	0.622836921808692	0.991326513305742	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000002238	0.0985476188144681	0.394013779575729	-0.0841042501472256	0.192675249426021	0.113688263675908	0.38489355485111	0.0422841618697118	0.131740165412433	0.587532376830878	0.224160106584657	0.00953410544819366	0.256252613569947	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000002825	0.102884265194775	-0.019576682261278	-0.0260207534566117	-0.161295762007437	-0.116721268254738	-0.190171117961001	0.663997229874393	1.1470198661416	-0.3072738858265	1.51662560432933	0.722215805704893	3.35799384473533	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000003407	0.556588681445635	-0.196567189696939	-0.0864143845348924	-0.032386800192163	-0.192790167993291	-0.54389400313964	-0.294675986087237	-1.11479702885651	-0.494651410464997	0.22801279944164	-0.344734468263545	-1.0200358433606	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000003899	0.0821207194513569	-0.173046171948871	0.0372220244530514	0.0242870922408427	0.00764866770613093	0.103692757219174	0.330880005906324	0.480417776046973	0.0895289829489836	0.198248938755554	0.0707621146192681	0.301666472105082	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000004227	-0.0741970989437615	0.452442838996415	-0.0629457908560069	-0.108383398331643	0.449200759878415	0.0595030295832548	-0.419890601989875	0.60371823634877	-0.0527068308931549	-0.00308344570897345	1.03665290566881	1.57575632348113	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000004294	0.343573041725575	0.561287626628216	0.0337062856360442	0.718703059735367	0.248719776155394	-0.127966125850091	-0.375814940154809	0.282264970830833	0.291498996138157	0.0820182552638564	0.620023059950743	1.36383846184512	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000005477	-0.154213910334219	-0.1179285150461	-0.0349967723650124	0.0228650669694725	0.0845881886507973	0.274117047162537	0.28672307438981	0.228658796356336	0.350495258945222	0.328501386752958	0.250985105242897	0.112059449455866	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000005628	-0.493850991063438	-0.323416002356042	0.160581178630349	0.126494702240634	-0.236902148771404	0.120777267358485	-0.121211585557904	-0.556909982284926	-0.248705108628919	-0.292455780156058	-0.538055462904719	-0.333471350254703	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000005735	-1.58580161318404	-1.89748435436285	-2.03977992048224	-1.87474882772397	-1.97379420886685	-1.74868029115727	-1.43172298914392	-1.37086896096054	-0.511192391909347	-1.298575315497	-1.22684065494311	-1.26924498865212	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000005781	0.370568515166874	0.312266992002112	-0.072224428519938	0.105620805079191	0.242912973914635	0.195545091717425	0.12227491593817	1.01981979792511	-0.303101545942584	0.371125280332543	0.526172216110132	1.49467561760541	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000005826	0.142790693324472	-0.0765718141426319	-0.239696814265553	-0.753543369058962	0.14075517888195	0.119959057272508	0.028683448638871	-0.291651643478936	-0.00957568900468075	-0.133868929836407	-0.703904463621951	-1.15039667055935	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000005959	0.276559151362608	-0.14928123491466	0.0563127649935704	-0.344270912078485	-0.139399563614139	0.0851961894024091	0.064824472051265	0.861595609745993	0.59733920747411	0.0637507379476117	0.164358704019369	1.08268356891976	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000006355	0.0309543160053973	0.652740934804389	-0.0666812977444025	0.344949938684448	-0.12948744956933	0.00996773111608729	0.186796771135986	1.19476653444818	0.591426314912197	-0.228300705609833	0.00182418129534145	1.7538298771062	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000007497	-0.0297477065127402	0.39969031693731	1.04991483579094	-0.0692351156004709	-0.0369283096704707	0.752143698754602	0.287998876395148	0.604458929890061	0.919034787697926	0.270350306485328	0.131683272597622	0.0123227802171515	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000007718	-0.335478450516271	-0.106809836654588	-0.0261664188962065	-0.0896778778129885	0.262595832413164	0.0937915177596826	-0.180985215358368	1.0373211363192	0.124233085904397	-0.0597334708837138	1.03244927950313	2.12124960619451	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000008124	-0.116171225358446	0.0594327128379013	-0.183253843660403	0.146483143265213	0.0606723406188343	0.2612472612818	0.197256995757029	0.0489038912034787	-0.256677688185316	0.166010034452989	0.527567445187661	0.84262921836973	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000008479	-0.174015817730414	0.243074156482344	-0.539457912799532	0.278581199671736	0.380615895876019	-0.451949893261695	0.813361630097521	2.05622392802158	-0.0190440463332044	-0.176881076096249	0.626336658344003	1.99485334631051	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000008613	0.63564233484662	0.678801487972899	-0.185710697830267	0.787863134508548	0.146583076425448	-0.0282861269353694	0.0780084000027768	0.701655718233592	0.370368498380202	0.15568378583891	0.25255381060011	1.60508889312396	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000008731	-0.00846850983428027	-0.75155621410639	-0.280403406718396	-0.305365434115991	-0.148411944630684	-0.708515943188393	0.0131421265187317	-0.0712046127647668	-0.368405069592779	-0.311497555721211	-0.140672923716861	0.0146695814056734	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000008777	-0.760704272271769	-0.103001277971948	0.0243268628253661	-0.204608181195235	-0.160668036622571	0.12330091292531	0.0155974559919221	-0.32754185180255	0.145183714052369	0.0478666434191064	-0.507306883621694	-1.57983230807818	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000009243	-0.0344707556694388	-0.419837911460322	-0.648327907931803	-0.420911499042154	-0.528424026471399	-0.846223146425225	-0.466752017375025	-0.50681138679875	-0.461170509368127	-0.555294574821654	-0.0623528025855977	-0.25113584322039	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000009428	0.107982600761167	0.138144493128042	-0.0247433582646508	0.558843381629783	0.331564820526417	-0.078420920168158	0.602455762377097	2.30555492090027	0.606236648016884	0.110896237347381	0.681712370533404	2.67151046596372	0	0	0	0	0	0	0	0	0	0	0	0
