-1	0	1	2	3	4	5	6	9	11	12	13	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
ENSMODG00000000650	0.509144213589295	0.0914603613929135	-0.00605973966347939	0.156895067577768	0.0483902873848621	0.184839621307989	0.0137232530710563	0.409957816905608	0.941021082901618	0.453847864138164	0.321046285934827	0.254915897602704	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000001490	-0.405006403705902	0.295837993418463	-0.496012472323075	0.348068938941516	-0.0589258660054433	0.212925660108113	0.309257813645025	-0.0599894379573329	0.745453520216694	0.584006843799255	0.930682619700083	1.93827269446549	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000005090	0	0	0	0	-0.0308922332294292	0.0449346368329496	0	0	-0.100247920808214	-0.723720073468542	-0.571657261649829	-3.28913768044181	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000005735	-1.385110427997	-1.3634937635921	-1.6204379405991	-1.88550014628032	-2.07957175075261	-2.24806471514401	-2.32472786325213	-2.00923709599225	-2.22587426655203	-1.58051719845756	-1.54692726565016	-1.0041618378861	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000006671	-0.384939728405676	0.141191005328456	-0.776947828389362	0.474706174363042	-0.177181200736084	0.163537840312554	0.22672063470332	1.30970661741333	0.985135192004678	0.368029118162962	0.524066170972794	0.670682821285324	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000006730	-0.0612110254198012	1.62127314859708	-0.103434606339742	-0.00813996031343556	-0.0775022224646083	-0.469056161415686	0.0294803788992943	1.16920385417064	0.779331721686175	1.68969863123691	2.30317395616546	1.39582405906502	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000008314	0.0348760118796934	-0.612292223717742	0.108181283329727	0.0753800057970295	0.23287620086941	0.0784861845735594	-0.325739977502129	0.353343105481034	-0.0151917782169648	0.572182699454964	1.06806174924025	1.37902445826754	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000009615	0.589885087566369	0.35682919951111	0.0972008255027408	-0.0120909005036438	-0.17611478105399	0.140315858204188	0.17341601322081	0.045615861957951	0.24215112617736	0.268121414317458	0.369379043198597	0.39228596926578	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000011059	0.132944313988336	0.0726605579160315	-0.157489137246603	-0.0377260785984945	0.170794248806336	-0.0895661429260213	0.105222982557407	0.153207245061005	0.642369966923988	0.362217249643011	-0.0372271449633699	0.623204520316125	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000012446	0.0155388951672815	-0.0908203242677255	0.19505484646207	0.130160651401391	0.0171046276121896	-0.0561817740522126	-0.205376442508531	-0.223785206941006	0.0442047157816914	0.328522544892649	0.213552880283996	1.40576351155704	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000012456	0.823643414745756	0.497981274428721	0.57128572900051	0.535389437028873	0.109010183905491	1.3338555283833	0.50451037505738	0.682981703308794	1.07101562038601	0.451140249829379	0.487639934494259	-0.176757874879483	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000014148	0.505836357692843	0.245477255920284	0.18222966839115	0.00492735519098986	0.160427797633814	-0.325316922196363	0.0411931190861665	0.090470232989154	-0.258402512193635	-0.104237002684407	1.474214283576	1.99053738730047	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000014657	-0.113104014535085	0.244588042873344	0.223032067940157	0.00350590520464555	-0.0983960318886496	-0.13193861245151	0.0550015828708972	-0.0763962114071353	0.320750257849391	0.409749007149515	0.922511604073955	0.650993790787543	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000015320	-0.451452082812668	-0.725018054890498	-1.41481500323029	-1.60029152374029	-1.28037825857832	-0.708660515491277	-1.85264042385815	-1.79971901587711	-1.34752465779104	-1.64606783749444	-1.54807201471422	-1.411519152402	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000015788	0.949293182945221	0.118255167449701	-0.263827634925021	-0.117922701168941	-0.141892515174914	-0.0328977036647375	0.0019056747494488	-0.234750337355178	0.583411510884066	2.72741152149987	0.883495255066465	0.47776012924552	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000016001	1.14236900576894	-1.05073207548717	0.0689910314836175	-0.321353975699215	0.676110377102722	-0.156443064016811	0.720191096212707	0.279328350454869	0.439884468738875	1.49023969735677	0.577381962223971	2.57548560351057	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000016737	5.8179685036309	5.62114657569641	6.66163514561846	6.72492877963689	6.24572908705795	6.74585334338425	6.9890990204207	6.6048035997651	5.50284073074797	5.15881173064195	4.60462390464186	4.90391197330894	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000017235	0.0754606012064629	0.17122685833893	-0.151089844649336	0.897043229348999	0.311503596369041	0.667254098027186	0.174496567086271	0.0545428590474386	1.13534581410191	0.159744547521895	0.433047012732628	1.31873101274715	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000018722	-0.101914582211297	-0.749511247986888	-0.540628192092199	-0.869527932191537	-0.763796521498823	-0.485278382304361	-0.921001303805253	-0.814285977778106	-0.846060844482976	-1.47591454185727	-1.25274710252791	-1.16591860458291	0	0	0	0	0	0	0	0	0	0	0	0
