4	5	6	7	8	9	12	V1	V2	V3	V4	V5	V6	V7
ENSMODG00000000289	-0.413161220112677	-0.0932500680515105	0.031613692915041	0.571356235245067	0.51476205744893	0.375011813893223	1.18788918343406	0	0	0	0	0	0	0
ENSMODG00000001028	0.276960286119105	-0.273751130247508	0.0279168874695808	0.462187273573509	0.707055536031516	0.142075503439539	0.796768615340455	0	0	0	0	0	0	0
ENSMODG00000001640	-0.381627021798311	-0.0298913210728955	0.012685032754888	-0.437328963978765	-0.422452172924724	-0.172954697080009	-0.237566606819057	0	0	0	0	0	0	0
ENSMODG00000001820	-0.319886497908645	-0.181966796413735	0.327546302863683	0.494457829606649	0.797750985320673	0.389182937656733	0.285546604553221	0	0	0	0	0	0	0
ENSMODG00000002278	-0.159125353399405	-0.375488053761421	-0.199638815237178	-0.519031209949204	-0.969598632948459	0.036188093443867	-0.536074394840346	0	0	0	0	0	0	0
ENSMODG00000002313	0.29005212954338	0.238632518050404	0.111205540683646	0.296440694260478	0.286820527731857	0.00262015344316602	-0.194287025302375	0	0	0	0	0	0	0
ENSMODG00000003053	-0.0814954411679281	-0.386183020487495	-0.183909696411243	-0.649418481206023	-0.260848632045138	-0.374060214615615	-0.473148275598322	0	0	0	0	0	0	0
ENSMODG00000003063	0.315921975218583	-0.188698605988012	-0.182756981838659	-0.324255834205464	-1.38458400742761	-0.250132033666981	-0.250929668631128	0	0	0	0	0	0	0
ENSMODG00000003098	-0.10489011604297	-0.093336711797626	0.0122140096014141	-0.363762663767577	-0.344437227179313	0.00887974090040888	-0.309838559298615	0	0	0	0	0	0	0
ENSMODG00000003377	-0.247144518611839	0.104609326179524	-0.256743734593341	-1.23615804133239	-0.127363450954032	-0.058297179102623	-0.423621805435292	0	0	0	0	0	0	0
ENSMODG00000003461	-0.49192463058905	0.0182744563451021	-0.136356164042216	-0.516511270791041	-0.519129612587939	0.01260763071501	0.128351046286532	0	0	0	0	0	0	0
ENSMODG00000003962	0.167764313189758	-0.295219881340243	0.151310632610757	0.253864829483855	-0.404273071445637	-0.727952111384304	-0.474719773951803	0	0	0	0	0	0	0
