-11	-10	-9	-8	-7	-6	-5	-4	-3	-1	0	1	2	3	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
ENSOCUG00000000880	-0.05074751545372	0.354450561363034	0.132012411075445	0.353007669447949	-0.0693737078531491	-0.339631836710103	0.459723015314037	-0.0695342144567181	0.657692760559078	0.667786896349122	0.142673895145971	0.32194569362668	0.349363059221295	0.629029690778562	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000002238	0.173600536722229	0.294634731654871	-0.0419894606941886	-0.063251845747665	0.0274975274015121	-0.128660800955543	-0.0153157053410089	-0.41446644383861	-0.196968947781107	-0.321114117048756	-0.569572327395557	-0.643974605112218	-0.896685835543557	-0.363591426660337	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000005429	-0.229065421099568	0.128830622681357	-0.0505845591917189	0.140344132793921	0.0390391006956827	0.0337137903682425	0.320126238203944	-0.189792561921767	0.198372984449358	1.55056099021898	1.71912482321137	0.0937166102734741	-0.0605294643572405	0.216454258364694	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000008264	0.115773060972385	0.283189907334437	-0.0214163348136118	-0.251853318403286	-0.0861324568176709	-0.360778961522945	-0.230155708124773	-0.261563736855129	-0.286705969549402	-0.302595003161184	-0.341038475509001	-0.513555752857251	-0.598160574337495	-0.118515462314944	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000008469	0.0339842897966758	-0.368888638147915	0.0623851883162869	-0.278598435458836	-0.127048627154308	0.206879298182097	0.914697896340193	0.455112606659289	0.460561756911873	1.16709256551439	0.564781425145721	0.912305300494197	0.419013697004881	1.09631825414008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000009873	0.121778357251438	0.132143796636277	-0.0279696402949225	-0.103754659896449	0.075052193071798	-0.14855487753729	-0.130996931357692	-0.36805051647027	-0.405363376668627	-0.459926189866691	-0.179389048064629	-0.315905241467235	-0.397211908511753	-0.182559572958617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000010188	1.76615892204532	1.38174657312119	1.20386588202679	0.979388633921336	1.03078103230535	0.873885375864131	0.813218739737798	0.972333769690608	0.474286969541015	1.03197961941088	0.523891263602083	1.73428946165375	1.51669547243142	1.56242088105154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000011445	0.380812305166734	-0.159287348903071	-0.281627247585045	0.222883242429356	-0.0571440223122937	-0.111857777374806	0.0974669022767363	0.351401029448805	0.106947366987149	0.443160238686265	0.0228596538112207	0.938883336920522	0.243169012114211	2.68219838383076	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000014136	-0.0490789142217407	0.29529992174376	0.0374656964263362	-0.0690435648552166	-0.117714713940571	-0.097224094576176	-0.541182701517172	-0.573653064581578	-0.285643117659057	-0.69380745850925	-0.0616377670140613	-0.388955542144082	-0.649390340890246	-0.150746841142614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000014878	0.0704386320594628	0.249065108864633	-0.230482207219175	-0.0769716313136577	-0.0784725784596008	-0.284966893250955	0.219659504395636	-0.668117140155227	-0.581604178776723	-0.629745318286763	-0.300851396135325	-0.687831101387146	-0.981134736940745	-0.201474081218497	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000015741	0.00290116483319647	0.468434613131763	0.0878428936595661	-0.0634005648346037	-0.103936577257142	-0.141038356556811	-0.22171856935323	-0.691278534556328	-0.467334771780122	-0.63940506579831	-0.275495831862081	-0.373660275667831	-0.851039955595953	-0.0791022918834159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000015783	-0.108338402618718	-0.18366003598837	-0.150451202726759	-0.224585014145565	-0.0912301357556471	-0.217310197329341	-0.0649756061232694	-0.371477741018393	-0.437609214122181	-0.482589458988894	-0.375261362406934	-0.163258561335007	-0.535253450887992	-0.155384043124612	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000021002	-0.00716226923249147	0.0736151639050168	0.0246002132557145	-0.053595497352926	0.0176280924811844	-0.0176401260240989	0.158057956065592	-0.0770630252503438	0.0781993404568325	-0.0295401151820635	0.140217404081151	-0.172704754123726	0.291740891102501	2.57584888633841	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000021220	0.134286139678122	0.196011141932973	-0.21854521134684	-0.0444548997381782	-0.125776815286463	-0.411486655921311	0.121433138132078	-0.755679010137974	-0.476578570195682	-0.598465256512099	-0.104589278921287	-0.381163426291178	-1.36123047510824	-0.244430640553242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
