-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
ENSRNOG00000000021	-0.0776214480216062	-0.703023785373861	-1.78653065380541	-1.32334940313963	-0.228580894466007	-0.970136755035297	-0.61186633655643	-0.394848927891837	-0.632428483480811	-0.319440101173726	0.558391512959102	-0.344327313532364	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000036	-0.576951152727639	-0.0046789475874558	-0.182766909609102	-0.233861846667681	0.0555716774316366	-0.277453271387235	-0.123731581631676	-0.00904329000836235	-0.233110341436831	0.0229521281508926	-0.21180691126702	-1.20370371269875	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000097	0	0	0.0300637982727981	0.0533579585104991	0.125348090469559	0.0114539676947853	0.0368824932747217	-0.00537395109133351	0.0817521841909581	-0.153453997479539	-0.820408392519988	-1.00141852235416	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000151	-0.292636587407051	-0.108438711434683	-0.406169308542622	-0.195865582073128	0.134612046416316	-0.218530796908516	-0.19787061715583	-0.0462526510576353	0.0065898236759665	-0.218117724988803	0.268368626758937	0.516377643272669	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000201	0.0288813105839298	0.689677546060439	1.1351562798365	0.243076851365292	-0.153933325751323	0.588730649178859	-0.13427322279939	0.30359337014894	-0.512518588265607	0.537577758082676	1.36227574476327	1.59110062762551	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000242	-0.140013849131603	0.140408489486767	0.0957418913232599	0.0424833504155178	-0.00970063045218339	-0.0756921285097372	-0.175564273272296	-0.0901158728720706	0.0165434343667581	-0.11628483255444	0.0653051190769283	0.395143888682229	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000302	-0.0345603529144229	-0.112057899150546	0.0495505360957704	-0.0301360365793277	0.0653797803767713	0.0225925914251404	-0.0374964001181244	0.176628427386043	0.00996063796416635	0.220239330470095	0.472740564483553	0.40347986157316	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000306	-0.423985833630843	0.015138826193394	-0.299677186201537	-0.155943590632482	-0.0670034354506459	-0.11384759637205	-0.324006807926866	-0.134037200368533	-0.276436744891974	0.0382353567006772	-0.280507844672607	-0.334205575790723	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000412	-0.170656218479391	1.10848410283063	0.10899898277146	-0.00970594973926242	0.16264351906196	0.0796026766732685	-0.0529729303115839	0.0465305249460159	-0.142353251993391	-0.292011703726039	0.819017169976111	3.47302470399783	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000418	0.0653668980308177	-0.44539025320516	-0.560709783456231	-0.395139566833106	-0.0527910278555028	-0.469015020444218	-0.142411810293535	-0.0540865257288798	-0.40431540466316	-0.285223506762593	-0.172359213228183	-0.155055678324901	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000479	-0.177698387502821	-0.272580696451643	-0.819148615344626	-0.404342081583957	-0.113384601416304	-0.358466556050497	-0.0263156803744895	-0.240610453891829	-0.297444829593078	-0.192498872692676	1.25542471353113	2.70186899599331	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000498	-0.108459602902143	-0.213041905759658	-0.705747867505128	-0.468787561315836	-0.0508818340331727	-0.332883176673398	-0.376332118630999	-0.1304501750671	-0.222920442739863	-0.381427642671771	-0.257476143827943	-0.136484667775729	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000633	0.0618127129620465	0.129679964896523	0.0380627682715327	-0.00868251927692132	0.012242978519863	0.0637743949101797	-0.180826897346563	0.184590785697575	-0.00216458814272613	-0.215780715942707	0.376929841708852	0.690981545445001	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000867	-0.147866721165061	-0.376170841602001	-0.789077932069945	-0.383803446111258	-0.0524942522692546	-0.497881756115477	-0.348284232353661	-0.134601260974721	-0.460651679068883	-0.23889654920939	0.0975015892758808	-0.257605819723294	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000885	-0.113412439044252	-0.615221054590761	-0.716599286507951	-0.277974070562289	-0.158297532612423	-0.191449092064751	-0.396198378079116	-0.260803786427664	-0.44816932280347	-0.491656402139488	-0.130056217746552	0.0651085034637766	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000905	-0.492791031899309	0.352069974735012	0.0854350732237385	-0.105816378768425	-0.128745477948357	-0.0724759352488644	0.0599426649801809	0.196788161126625	-0.0382938218445884	0.106197437466793	-1.29255270219286	-1.0972059926259	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000906	-0.0606650113158438	0.53728565764094	-0.167886557628303	-0.0217705881010617	0.311499652460605	-0.0906761946663743	-0.18154984960588	0.0171401481044708	0.140417387787294	0.235523448591369	-0.315119854179939	-1.79603452826413	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000924	-0.13669439580265	-0.29313854251105	-0.151334388271584	0.000365180147448463	0.044123012127022	-0.135754514748274	-0.203053123157924	-0.0363839021726138	-0.333978855096079	-0.118485792207171	-0.403862797020111	-0.687665307820458	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000977	-0.392041327025174	-0.0157116904053707	-0.741988971340978	-0.35019108803395	0.0807692135201794	-0.337062141502302	-0.199817711971697	-0.171245691158041	-0.163658864399285	-0.403391255930739	-0.119541000811488	0.0390980198702655	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001056	-0.197664411442705	0.0883007108652816	-0.248356185124023	-0.313919085601587	0.0489193145877955	-0.339741602090291	-0.168820787491649	-0.0480937855833306	-0.238173295429226	-0.0269202903111756	-0.00781737576502195	-0.712480964899622	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001061	-0.278195193682504	-0.0147505919777817	-0.409230204091285	-0.407618130025689	0.0557010498887989	-0.43459240988392	-0.435339537353307	-0.144151348014582	-0.284876485967642	-0.0260792041273135	-0.0828547497085346	-0.606143763445127	0	0	0	0	0	0	0	0	0	0	0	0
