-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
ENSRNOG00000000604	-0.0946934900401422	-0.219725792621725	-0.101015063159979	-0.00804487449053504	-0.133117109972083	-0.0410893825496048	0.0494729710415385	-0.0448043815384498	0.157629528072239	-0.213294073011383	0.0505608198947716	-0.109384640211767	-0.0161432407994742	0.794979736604591	0.988303577059535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000969	0	0.0809296103933241	0.0690369500053383	-0.243914892153245	0.00590775093985127	0.143165411817775	0.0225641255795751	-0.335692159225267	-0.469362639764429	-0.108168955714347	0.553142287813023	0.279718988388621	-0.0608236558997941	1.61081098230147	5.01237156173582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001115	-0.848171579572499	-0.296153595705487	-0.420868177751273	0.228173463035086	0.00355387145039054	-0.0105004316152469	0.21521290852671	-0.200704557706279	0.195964337074384	-0.138624635819056	0.650051621966827	0.032596607609587	0.120806685548663	0.684145172671501	2.20359903999741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001259	-0.372899566812669	0.0720628860407335	-0.420309945902662	-0.268098935249843	0.378227731403592	-0.335249509452986	-0.177384263599477	0.325119597383779	-0.220366351729171	0.541645087948194	0.31884775640607	-0.0232374092754952	-0.183974503209127	-2.69094994387917	-5.39259268074376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001351	-0.409309330979923	-0.05166208528901	-0.0733967521465724	-0.142138782212964	-0.152966796374648	-0.0331116992758655	-0.174028148694061	0.0509723498423664	0.0378558108335083	-0.307913211534913	0.320510326846974	-0.0591094820081848	-0.154289730309406	-0.38141781440302	-1.24404963446308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001830	-0.0666957974854696	-0.0368881660806518	-0.0277838704850125	-0.0605497188579262	0.031661543687948	0.0566693861756597	0.0528979427835453	0.0339629437509785	0.0513380016855806	-0.0905830275062877	0.0833445845984539	-0.118883274397415	0.0726574840629222	1.31138428966555	2.58680434843127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001957	-0.0179535296514412	0	-0.0322543175457798	-0.658103974663582	0.0476185686887991	0.337879353987526	-0.0704911950781064	-0.0472630774277486	-0.0576740404544788	0.276400685059029	-0.260628443503304	-0.22383865613209	-0.223954222251501	9.24396125196031	11.7718866901709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002149	-2.09787779946559	-2.28528632139292	-0.534143777011326	-0.122676194104	-0.675248383485606	0	0.0316039091446758	0.0339629437509785	-0.0467422710651812	0	-0.0610652325726843	0	0	0	-0.0835353385208029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002501	1.94639721910019	1.67629509641981	2.33039986028861	2.92840749784606	2.76769425441255	3.06734201867101	3.15563063925408	3.4193991077689	2.82193318833416	2.95371599140214	3.35553458995369	2.94151594736331	3.8872046800364	2.52624092373194	2.81913098829495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002553	0.0451755509828704	0.119345309860906	0.0804159041963741	0.0311153709720742	0.135434800251558	-0.163110725165604	-0.0107724384327152	-0.0428870994266468	0.228914387430788	0.275557853913606	0.00835159638969163	0.0391922901884394	0.102663007244129	0.944468826111171	1.21873868443429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
