id,group,tissue,sex,timePoint
Brain.e10.1,e10,Brain,Female,-4
Brain.e10.2,e10,Brain,Female,-4
Brain.e10.3,e10,Brain,Male,-4
Brain.e10.4,e10,Brain,Male,-4
Brain.e12.1,e12,Brain,Female,-3
Brain.e12.2,e12,Brain,Female,-3
Brain.e12.3,e12,Brain,Male,-3
Brain.e12.4,e12,Brain,Male,-3
Brain.e14.1,e14,Brain,Female,-2
Brain.e14.2,e14,Brain,Female,-2
Brain.e14.3,e14,Brain,Male,-2
Brain.e14.4,e14,Brain,Male,-2
Brain.e17.1,e17,Brain,Female,-1
Brain.e17.2,e17,Brain,Female,-1
Brain.e17.3,e17,Brain,Male,-1
Brain.e17.4,e17,Brain,Male,-1
Brain.P0.1,P0,Brain,Female,0
Brain.P0.2,P0,Brain,Female,0
Brain.P0.3,P0,Brain,Male,0
Brain.P0.4,P0,Brain,Male,0
Brain.P7.1,P7,Brain,Female,1
Brain.P7.2,P7,Brain,Female,1
Brain.P7.3,P7,Brain,Male,1
Brain.P7.4,P7,Brain,Male,1
Brain.P35.1,P35,Brain,Female,2
Brain.P35.2,P35,Brain,Female,2
Brain.P35.3,P35,Brain,Male,2
Brain.P35.4,P35,Brain,Male,2
Brain.P70.1,P70,Brain,Female,3
Brain.P70.2,P70,Brain,Female,3
Brain.P70.3,P70,Brain,Male,3
Brain.P70.4,P70,Brain,Male,3
Brain.P155.1,P155,Brain,Female,4
Brain.P155.2,P155,Brain,Female,4
Brain.P155.3,P155,Brain,Male,4
Brain.P155.4,P155,Brain,Male,4
Cerebellum.e10.1,e10,Cerebellum,Female,-4
Cerebellum.e10.2,e10,Cerebellum,Female,-4
Cerebellum.e10.3,e10,Cerebellum,Male,-4
Cerebellum.e10.4,e10,Cerebellum,Male,-4
Cerebellum.e12.1,e12,Cerebellum,Female,-3
Cerebellum.e12.2,e12,Cerebellum,Female,-3
Cerebellum.e12.3,e12,Cerebellum,Male,-3
Cerebellum.e12.4,e12,Cerebellum,Male,-3
Cerebellum.e14.1,e14,Cerebellum,Female,-2
Cerebellum.e14.2,e14,Cerebellum,Female,-2
Cerebellum.e14.3,e14,Cerebellum,Male,-2
Cerebellum.e14.4,e14,Cerebellum,Male,-2
Cerebellum.e17.1,e17,Cerebellum,Female,-1
Cerebellum.e17.2,e17,Cerebellum,Female,-1
Cerebellum.e17.3,e17,Cerebellum,Male,-1
Cerebellum.e17.4,e17,Cerebellum,Male,-1
Cerebellum.P0.1,P0,Cerebellum,Female,0
Cerebellum.P0.2,P0,Cerebellum,Female,0
Cerebellum.P0.3,P0,Cerebellum,Male,0
Cerebellum.P0.4,P0,Cerebellum,Male,0
Cerebellum.P7.1,P7,Cerebellum,Female,1
Cerebellum.P7.2,P7,Cerebellum,Female,1
Cerebellum.P7.3,P7,Cerebellum,Male,1
Cerebellum.P7.4,P7,Cerebellum,Male,1
Cerebellum.P35.1,P35,Cerebellum,Female,2
Cerebellum.P35.2,P35,Cerebellum,Female,2
Cerebellum.P35.3,P35,Cerebellum,Male,2
Cerebellum.P35.4,P35,Cerebellum,Male,2
Cerebellum.P70.1,P70,Cerebellum,Female,3
Cerebellum.P70.2,P70,Cerebellum,Female,3
Cerebellum.P70.3,P70,Cerebellum,Male,3
Cerebellum.P70.4,P70,Cerebellum,Male,3
Cerebellum.P155.1,P155,Cerebellum,Female,4
Cerebellum.P155.2,P155,Cerebellum,Female,4
Cerebellum.P155.3,P155,Cerebellum,Male,4
Cerebellum.P155.4,P155,Cerebellum,Male,4
Heart.e10.1,e10,Heart,Female,-4
Heart.e10.2,e10,Heart,Female,-4
Heart.e10.3,e10,Heart,Male,-4
Heart.e10.4,e10,Heart,Male,-4
Heart.e10.5,e10,Heart,Male,-4
Heart.e12.1,e12,Heart,Female,-3
Heart.e12.2,e12,Heart,Female,-3
Heart.e12.3,e12,Heart,Male,-3
Heart.e12.4,e12,Heart,Male,-3
Heart.e14.1,e14,Heart,Female,-2
Heart.e14.2,e14,Heart,Female,-2
Heart.e14.3,e14,Heart,Male,-2
Heart.e14.4,e14,Heart,Male,-2
Heart.e17.1,e17,Heart,Female,-1
Heart.e17.2,e17,Heart,Female,-1
Heart.e17.3,e17,Heart,Male,-1
Heart.e17.4,e17,Heart,Male,-1
Heart.P0.1,P0,Heart,Female,0
Heart.P0.2,P0,Heart,Female,0
Heart.P0.3,P0,Heart,Male,0
Heart.P0.4,P0,Heart,Male,0
Heart.P7.1,P7,Heart,Female,1
Heart.P7.2,P7,Heart,Female,1
Heart.P7.3,P7,Heart,Male,1
Heart.P7.4,P7,Heart,Male,1
Heart.P35.1,P35,Heart,Female,2
Heart.P35.2,P35,Heart,Female,2
Heart.P35.3,P35,Heart,Male,2
Heart.P35.4,P35,Heart,Male,2
Heart.P70.1,P70,Heart,Female,3
Heart.P70.2,P70,Heart,Female,3
Heart.P70.3,P70,Heart,Male,3
Heart.P70.4,P70,Heart,Male,3
Heart.P155.1,P155,Heart,Female,4
Heart.P155.2,P155,Heart,Female,4
Heart.P155.3,P155,Heart,Male,4
Heart.P155.4,P155,Heart,Male,4
Kidney.e10.1,e10,Kidney,Female,-4
Kidney.e10.2,e10,Kidney,Female,-4
Kidney.e10.4,e10,Kidney,Male,-4
Kidney.e12.1,e12,Kidney,Female,-3
Kidney.e12.2,e12,Kidney,Female,-3
Kidney.e12.3,e12,Kidney,Male,-3
Kidney.e12.4,e12,Kidney,Male,-3
Kidney.e14.1,e14,Kidney,Female,-2
Kidney.e14.2,e14,Kidney,Female,-2
Kidney.e14.3,e14,Kidney,Male,-2
Kidney.e14.4,e14,Kidney,Male,-2
Kidney.e17.1,e17,Kidney,Female,-1
Kidney.e17.2,e17,Kidney,Female,-1
Kidney.e17.3,e17,Kidney,Male,-1
Kidney.e17.4,e17,Kidney,Male,-1
Kidney.P0.1,P0,Kidney,Female,0
Kidney.P0.2,P0,Kidney,Female,0
Kidney.P0.3,P0,Kidney,Male,0
Kidney.P0.4,P0,Kidney,Male,0
Kidney.P7.1,P7,Kidney,Female,1
Kidney.P7.2,P7,Kidney,Female,1
Kidney.P7.3,P7,Kidney,Male,1
Kidney.P7.4,P7,Kidney,Male,1
Kidney.P35.1,P35,Kidney,Female,2
Kidney.P35.2,P35,Kidney,Female,2
Kidney.P35.3,P35,Kidney,Male,2
Kidney.P35.4,P35,Kidney,Male,2
Kidney.P70.1,P70,Kidney,Female,3
Kidney.P70.2,P70,Kidney,Female,3
Kidney.P70.3,P70,Kidney,Male,3
Kidney.P70.4,P70,Kidney,Male,3
Kidney.P155.1,P155,Kidney,Female,4
Kidney.P155.2,P155,Kidney,Female,4
Kidney.P155.3,P155,Kidney,Male,4
Kidney.P155.4,P155,Kidney,Male,4
Liver.e10.1,e10,Liver,Female,-4
Liver.e10.2,e10,Liver,Female,-4
Liver.e10.3,e10,Liver,Male,-4
Liver.e10.4,e10,Liver,Male,-4
Liver.e12.1,e12,Liver,Female,-3
Liver.e12.2,e12,Liver,Female,-3
Liver.e12.3,e12,Liver,Male,-3
Liver.e12.4,e12,Liver,Male,-3
Liver.e14.1,e14,Liver,Female,-2
Liver.e14.2,e14,Liver,Female,-2
Liver.e14.3,e14,Liver,Male,-2
Liver.e14.4,e14,Liver,Male,-2
Liver.e17.1,e17,Liver,Female,-1
Liver.e17.2,e17,Liver,Female,-1
Liver.e17.3,e17,Liver,Male,-1
Liver.e17.4,e17,Liver,Male,-1
Liver.P0.1,P0,Liver,Female,0
Liver.P0.2,P0,Liver,Female,0
Liver.P0.3,P0,Liver,Male,0
Liver.P0.4,P0,Liver,Male,0
Liver.P7.1,P7,Liver,Female,1
Liver.P7.2,P7,Liver,Female,1
Liver.P7.3,P7,Liver,Male,1
Liver.P7.4,P7,Liver,Male,1
Liver.P35.1,P35,Liver,Female,2
Liver.P35.2,P35,Liver,Female,2
Liver.P35.3,P35,Liver,Male,2
Liver.P35.4,P35,Liver,Male,2
Liver.P70.1,P70,Liver,Female,3
Liver.P70.2,P70,Liver,Female,3
Liver.P70.3,P70,Liver,Male,3
Liver.P70.4,P70,Liver,Male,3
Liver.P155.1,P155,Liver,Female,4
Liver.P155.2,P155,Liver,Female,4
Liver.P155.3,P155,Liver,Male,4
Liver.P155.4,P155,Liver,Male,4
Ovary.e10.1,e10,Ovary,Female,-4
Ovary.e10.2,e10,Ovary,Female,-4
Ovary.e12.1,e12,Ovary,Female,-3
Ovary.e12.2,e12,Ovary,Female,-3
Ovary.e14.1,e14,Ovary,Female,-2
Ovary.e14.2,e14,Ovary,Female,-2
Ovary.e17.1,e17,Ovary,Female,-1
Ovary.e17.2,e17,Ovary,Female,-1
Ovary.P0.1,P0,Ovary,Female,0
Ovary.P0.2,P0,Ovary,Female,0
Ovary.P7.1,P7,Ovary,Female,1
Ovary.P7.2,P7,Ovary,Female,1
Ovary.P35.1,P35,Ovary,Female,2
Ovary.P35.2,P35,Ovary,Female,2
Ovary.P70.1,P70,Ovary,Female,3
Ovary.P70.2,P70,Ovary,Female,3
Ovary.P155.1,P155,Ovary,Female,4
Ovary.P155.2,P155,Ovary,Female,4
Testis.e10.1,e10,Testis,Male,-4
Testis.e10.2,e10,Testis,Male,-4
Testis.e12.1,e12,Testis,Male,-3
Testis.e12.2,e12,Testis,Male,-3
Testis.e14.1,e14,Testis,Male,-2
Testis.e14.2,e14,Testis,Male,-2
Testis.e17.1,e17,Testis,Male,-1
Testis.e17.2,e17,Testis,Male,-1
Testis.P0.1,P0,Testis,Male,0
Testis.P0.2,P0,Testis,Male,0
Testis.P7.1,P7,Testis,Male,1
Testis.P7.2,P7,Testis,Male,1
Testis.P35.1,P35,Testis,Male,2
Testis.P35.2,P35,Testis,Male,2
Testis.P70.1,P70,Testis,Male,3
Testis.P155.1,P155,Testis,Male,4
Testis.P155.2,P155,Testis,Male,4
