id,files,group,sex,tissue,timePoint
Brain.e10.5.1,2580sTS.Mouse.Brain.10.5.Female.htseq.u.txt,e10.5,Female,Brain,-9
Brain.e10.5.2,3459sTS.Mouse.Brain.10.5.Female.htseq.u.txt,e10.5,Female,Brain,-9
Brain.e10.5.3,2579sTS.Mouse.Brain.10.5.Male.htseq.u.txt,e10.5,Male,Brain,-9
Brain.e11.5.1,2937sTS.Mouse.Brain.11.5.Female.htseq.u.txt,e11.5,Female,Brain,-8
Brain.e11.5.2,2621sTS.Mouse.Brain.11.5.Male.htseq.u.txt,e11.5,Male,Brain,-8
Brain.e11.5.3,2624sTS.Mouse.Brain.11.5.Male.htseq.u.txt,e11.5,Male,Brain,-8
Brain.e11.5.4,3096sTS.Mouse.Brain.11.5.Male.htseq.u.txt,e11.5,Male,Brain,-8
Brain.e12.5.1,3043sTS.Mouse.Brain.12.5.Female.htseq.u.txt,e12.5,Female,Brain,-7
Brain.e12.5.2,3038sTS.Mouse.Brain.12.5.Female.htseq.u.txt,e12.5,Female,Brain,-7
Brain.e12.5.3,2945sTS.Mouse.Brain.12.5.Male.htseq.u.txt,e12.5,Male,Brain,-7
Brain.e12.5.4,3040sTS.Mouse.Brain.12.5.Male.htseq.u.txt,e12.5,Male,Brain,-7
Brain.e13.5.1,2813sTS.Mouse.Brain.13.5.Female.htseq.u.txt,e13.5,Female,Brain,-6
Brain.e13.5.2,2829sTS.Mouse.Brain.13.5.Female.htseq.u.txt,e13.5,Female,Brain,-6
Brain.e13.5.3,2821sTS.Mouse.Brain.13.5.Male.htseq.u.txt,e13.5,Male,Brain,-6
Brain.e13.5.4,2837sTS.Mouse.Brain.13.5.Male.htseq.u.txt,e13.5,Male,Brain,-6
Brain.e14.5.1,2227sTSc.Mouse.Brain.14.5.Female.htseq.u.txt,e14.5,Female,Brain,-5
Brain.e14.5.2,2243sTS.Mouse.Brain.14.5.Female.htseq.u.txt,e14.5,Female,Brain,-5
Brain.e14.5.3,2223sTSc.Mouse.Brain.14.5.Male.htseq.u.txt,e14.5,Male,Brain,-5
Brain.e14.5.4,2237sTSm.Mouse.Brain.14.5.Male.htseq.u.txt,e14.5,Male,Brain,-5
Brain.e15.5.1,2189sTS.Mouse.Brain.15.5.Female.htseq.u.txt,e15.5,Female,Brain,-4
Brain.e15.5.2,2247sTS.Mouse.Brain.15.5.Female.htseq.u.txt,e15.5,Female,Brain,-4
Brain.e15.5.3,2185sTS.Mouse.Brain.15.5.Male.htseq.u.txt,e15.5,Male,Brain,-4
Brain.e15.5.4,2193sTS.Mouse.Brain.15.5.Male.htseq.u.txt,e15.5,Male,Brain,-4
Brain.e16.5.1,2254sTS.Mouse.Brain.16.5.Female.htseq.u.txt,e16.5,Female,Brain,-3
Brain.e16.5.2,2273sTS.Mouse.Brain.16.5.Female.htseq.u.txt,e16.5,Female,Brain,-3
Brain.e16.5.3,2257sTS.Mouse.Brain.16.5.Male.htseq.u.txt,e16.5,Male,Brain,-3
Brain.e16.5.4,2276sTS.Mouse.Brain.16.5.Male.htseq.u.txt,e16.5,Male,Brain,-3
Brain.e17.5.1,2163sTS.Mouse.Brain.17.5.Female.htseq.u.txt,e17.5,Female,Brain,-2
Brain.e17.5.2,2165sTSm.Mouse.Brain.17.5.Female.htseq.u.txt,e17.5,Female,Brain,-2
Brain.e17.5.3,2157sTS.Mouse.Brain.17.5.Male.htseq.u.txt,e17.5,Male,Brain,-2
Brain.e17.5.4,2160sTS.Mouse.Brain.17.5.Male.htseq.u.txt,e17.5,Male,Brain,-2
Brain.e18.5.1,2313sTS.Mouse.Brain.18.5.Female.htseq.u.txt,e18.5,Female,Brain,-1
Brain.e18.5.2,2323sTS.Mouse.Brain.18.5.Female.htseq.u.txt,e18.5,Female,Brain,-1
Brain.e18.5.3,2307sTS.Mouse.Brain.18.5.Male.htseq.u.txt,e18.5,Male,Brain,-1
Brain.e18.5.4,2317sTS.Mouse.Brain.18.5.Male.htseq.u.txt,e18.5,Male,Brain,-1
Brain.P0.1,1740sTSm.Mouse.Brain.0dpb.Female.htseq.u.txt,P0,Female,Brain,0
Brain.P0.2,1900sTS.Mouse.Brain.0dpb.Female.htseq.u.txt,P0,Female,Brain,0
Brain.P0.3,1906sTS.Mouse.Brain.0dpb.Male.htseq.u.txt,P0,Male,Brain,0
Brain.P0.4,1912sTS.Mouse.Brain.0dpb.Male.htseq.u.txt,P0,Male,Brain,0
Brain.P3.1,1918sTS.Mouse.Brain.3dpb.Female.htseq.u.txt,P3,Female,Brain,1
Brain.P3.2,1930sTS.Mouse.Brain.3dpb.Female.htseq.u.txt,P3,Female,Brain,1
Brain.P3.3,1924sTS.Mouse.Brain.3dpb.Male.htseq.u.txt,P3,Male,Brain,1
Brain.P3.4,1964sTS.Mouse.Brain.3dpb.Male.htseq.u.txt,P3,Male,Brain,1
Brain.P14.1,1884sTS.Mouse.Brain.2w.Female.htseq.u.txt,P14,Female,Brain,2
Brain.P14.2,1888sTS.Mouse.Brain.2w.Female.htseq.u.txt,P14,Female,Brain,2
Brain.P14.3,1876sTS.Mouse.Brain.2w.Male.htseq.u.txt,P14,Male,Brain,2
Brain.P14.4,1880sTS.Mouse.Brain.2w.Male.htseq.u.txt,P14,Male,Brain,2
Brain.P28.1,1936sTS.Mouse.Brain.4w.Female.htseq.u.txt,P28,Female,Brain,3
Brain.P28.2,1940sTS.Mouse.Brain.4w.Female.htseq.u.txt,P28,Female,Brain,3
Brain.P28.3,1892sTS.Mouse.Brain.4w.Male.htseq.u.txt,P28,Male,Brain,3
Brain.P28.4,1896sTS.Mouse.Brain.4w.Male.htseq.u.txt,P28,Male,Brain,3
