id,files,group,X4,sex,tissue,timePoint
Brain.13.5.1,5180sTS.Opossum.Brain.13.5.Female.htseq.u.txt,13.5,1,Female,Brain,-1
Brain.13.5.2,5184sTS.Opossum.Brain.13.5.Male.htseq.u.txt,13.5,2,Male,Brain,-1
Brain.14.3,5293sTS.Opossum.Brain.0dpb.Female.htseq.u.txt,14,3,Female,Brain,0
Brain.14.4,4805sTS.Opossum.Brain.0dpb.Male.htseq.u.txt,14,4,Male,Brain,0
Brain.14.5,4807sTS.Opossum.Brain.0dpb.Male.htseq.u.txt,14,5,Male,Brain,0
Brain.16.6,5289sTS.Opossum.Brain.2dpb.Female.htseq.u.txt,16,6,Female,Brain,1
Brain.16.7,5178sTS.Opossum.Brain.2dpb.Female.htseq.u.txt,16,7,Female,Brain,1
Brain.16.8,5287sTS.Opossum.Brain.2dpb.Male.htseq.u.txt,16,8,Male,Brain,1
Brain.16.9,5291sTS.Opossum.Brain.2dpb.Male.htseq.u.txt,16,9,Male,Brain,1
Brain.18.10,5173sTS.Opossum.Brain.4dpb.Female.htseq.u.txt,18,10,Female,Brain,2
Brain.18.11,4543sTS.Opossum.Brain.4dpb.Female.htseq.u.txt,18,11,Female,Brain,2
Brain.18.12,4547sTS.Opossum.Brain.4dpb.Male.htseq.u.txt,18,12,Male,Brain,2
Brain.18.13,5175sTS.Opossum.Brain.4dpb.Male.htseq.u.txt,18,13,Male,Brain,2
Brain.20.14,5167sTS.Opossum.Brain.6dpb.Female.htseq.u.txt,20,14,Female,Brain,3
Brain.20.15,5169sTS.Opossum.Brain.6dpb.Female.htseq.u.txt,20,15,Female,Brain,3
Brain.20.16,5171sTS.Opossum.Brain.6dpb.Male.htseq.u.txt,20,16,Male,Brain,3
Brain.20.17,5285sTS.Opossum.Brain.6dpb.Male.htseq.u.txt,20,17,Male,Brain,3
Brain.24.19,4811sTS.Opossum.Brain.10dpb.Female.htseq.u.txt,24,19,Female,Brain,4
Brain.24.20,4809sTS.Opossum.Brain.10dpb.Male.htseq.u.txt,24,20,Male,Brain,4
Brain.24.21,4813sTS.Opossum.Brain.10dpb.Male.htseq.u.txt,24,21,Male,Brain,4
Brain.28.22,5876sTS.Opossum.Brain.14dpb.Female.htseq.u.txt,28,22,Female,Brain,5
Brain.28.23,4698sTS.Opossum.Brain.14dpb.Female.htseq.u.txt,28,23,Female,Brain,5
Brain.28.24,4702sTS.Opossum.Brain.14dpb.Female.htseq.u.txt,28,24,Female,Brain,5
Brain.35.26,4690sTS.Opossum.Brain.21dpb.Female.htseq.u.txt,35,26,Female,Brain,6
Brain.35.27,4694sTS.Opossum.Brain.21dpb.Male.htseq.u.txt,35,27,Male,Brain,6
Brain.42.29,4657sTS.Opossum.Brain.28dpb.Female.htseq.u.txt,42,29,Female,Brain,7
Brain.42.30,4684sTS.Opossum.Brain.28dpb.Female.htseq.u.txt,42,30,Female,Brain,7
