id,files,group,rep,sex,tissue,timePoint
Brain.e11.1,4322sTS.Rat.Brain.11.Female.htseq.u.txt,e11,1,Female,Brain,-10
Brain.e11.2,4324sTS.Rat.Brain.11.Female.htseq.u.txt,e11,2,Female,Brain,-10
Brain.e11.3,4326sTS.Rat.Brain.11.Male.htseq.u.txt,e11,3,Male,Brain,-10
Brain.e11.4,4328sTS.Rat.Brain.11.Male.htseq.u.txt,e11,4,Male,Brain,-10
Brain.e12.1,4175sTS.Rat.Brain.12.Male.htseq.u.txt,e12,1,Male,Brain,-9
Brain.e12.2,4179sTS.Rat.Brain.12.Male.htseq.u.txt,e12,2,Male,Brain,-9
Brain.e12.3,4199sTS.Rat.Brain.12.Female.htseq.u.txt,e12,3,Female,Brain,-9
Brain.e12.4,4205sTS.Rat.Brain.12.Female.htseq.u.txt,e12,4,Female,Brain,-9
Brain.e13.1,3513sTS.Rat.Brain.13.Female.htseq.u.txt,e13,1,Female,Brain,-8
Brain.e13.2,3520sTS.Rat.Brain.13.Male.htseq.u.txt,e13,2,Male,Brain,-8
Brain.e13.3,3545sTS.Rat.Brain.13.Female.htseq.u.txt,e13,3,Female,Brain,-8
Brain.e13.4,3649sTS.Rat.Brain.13.Male.htseq.u.txt,e13,4,Male,Brain,-8
Brain.e14.1,4003sTS.Rat.Brain.14.Male.htseq.u.txt,e14,1,Male,Brain,-7
Brain.e14.2,4092sTS.Rat.Brain.14.Male.htseq.u.txt,e14,2,Male,Brain,-7
Brain.e14.3,4235sTS.Rat.Brain.14.Female.htseq.u.txt,e14,3,Female,Brain,-7
Brain.e15.1,4010sTS.Rat.Brain.15.Male.htseq.u.txt,e15,1,Male,Brain,-6
Brain.e15.2,4032sTS.Rat.Brain.15.Male.htseq.u.txt,e15,2,Male,Brain,-6
Brain.e15.3,4228sTS.Rat.Brain.15.Female.htseq.u.txt,e15,3,Female,Brain,-6
Brain.e15.4,4231sTS.Rat.Brain.15.Female.htseq.u.txt,e15,4,Female,Brain,-6
Brain.e16.1,4094sTS.Rat.Brain.16.Male.htseq.u.txt,e16,1,Male,Brain,-5
Brain.e16.2,4096sTS.Rat.Brain.16.Male.htseq.u.txt,e16,2,Male,Brain,-5
Brain.e16.3,4098sTS.Rat.Brain.16.Female.htseq.u.txt,e16,3,Female,Brain,-5
Brain.e16.4,4100sTS.Rat.Brain.16.Female.htseq.u.txt,e16,4,Female,Brain,-5
Brain.e17.1,2598sTS.Rat.Brain.17.Male.htseq.u.txt,e17,1,Male,Brain,-4
Brain.e17.2,2600sTS.Rat.Brain.17.Female.htseq.u.txt,e17,2,Female,Brain,-4
Brain.e17.3,2603sTS.Rat.Brain.17.Male.htseq.u.txt,e17,3,Male,Brain,-4
Brain.e17.4,2605sTS.Rat.Brain.17.Female.htseq.u.txt,e17,4,Female,Brain,-4
Brain.e17.5,4251sTS.Rat.Brain.17.Female.htseq.u.txt,e17,5,Female,Brain,-4
Brain.e17.6,4253sTS.Rat.Brain.17.Female.htseq.u.txt,e17,6,Female,Brain,-4
Brain.e18.1,4227sTS.Rat.Brain.18.Female.htseq.u.txt,e18,1,Female,Brain,-3
Brain.e18.2,4249sTS.Rat.Brain.18.Female.htseq.u.txt,e18,2,Female,Brain,-3
