gene_id	tissue	species	n_pipe	pipe
ENSG00000143390	Kidney	Human	2	splineR MaSigPro 
ENSG00000128298	Kidney	Human	2	splineR MaSigPro 
ENSG00000180767	Kidney	Human	2	splineR MaSigPro 
ENSG00000126012	Kidney	Human	3	DESeq2 MaSigPro In-house 
ENSG00000205664	Kidney	Human	3	DESeq2 MaSigPro In-house 
XLOC_053296	Kidney	Human	3	DESeq2 MaSigPro In-house 
ENSG00000002919	Kidney	Human	2	MaSigPro In-house 
ENSG00000003987	Kidney	Human	2	MaSigPro In-house 
ENSG00000005889	Kidney	Human	2	MaSigPro In-house 
ENSG00000006118	Kidney	Human	2	MaSigPro In-house 
ENSG00000006756	Kidney	Human	2	MaSigPro In-house 
ENSG00000012211	Kidney	Human	2	MaSigPro In-house 
ENSG00000021488	Kidney	Human	2	MaSigPro In-house 
ENSG00000023902	Kidney	Human	2	MaSigPro In-house 
ENSG00000051108	Kidney	Human	2	MaSigPro In-house 
ENSG00000053918	Kidney	Human	2	MaSigPro In-house 
ENSG00000056998	Kidney	Human	2	MaSigPro In-house 
ENSG00000058056	Kidney	Human	2	MaSigPro In-house 
ENSG00000062096	Kidney	Human	2	MaSigPro In-house 
ENSG00000064218	Kidney	Human	2	MaSigPro In-house 
ENSG00000066230	Kidney	Human	2	MaSigPro In-house 
ENSG00000067596	Kidney	Human	2	MaSigPro In-house 
ENSG00000072501	Kidney	Human	2	MaSigPro In-house 
ENSG00000073536	Kidney	Human	2	MaSigPro In-house 
ENSG00000076864	Kidney	Human	2	MaSigPro In-house 
ENSG00000079156	Kidney	Human	2	MaSigPro In-house 
ENSG00000079215	Kidney	Human	2	MaSigPro In-house 
ENSG00000083782	Kidney	Human	2	MaSigPro In-house 
ENSG00000085117	Kidney	Human	2	MaSigPro In-house 
ENSG00000089127	Kidney	Human	2	MaSigPro In-house 
ENSG00000100167	Kidney	Human	2	MaSigPro In-house 
ENSG00000100867	Kidney	Human	2	MaSigPro In-house 
ENSG00000102547	Kidney	Human	2	MaSigPro In-house 
ENSG00000106538	Kidney	Human	2	MaSigPro In-house 
ENSG00000106605	Kidney	Human	2	MaSigPro In-house 
ENSG00000107819	Kidney	Human	2	MaSigPro In-house 
ENSG00000107951	Kidney	Human	2	MaSigPro In-house 
ENSG00000108826	Kidney	Human	2	MaSigPro In-house 
ENSG00000108961	Kidney	Human	2	MaSigPro In-house 
ENSG00000111215	Kidney	Human	2	MaSigPro In-house 
ENSG00000111275	Kidney	Human	2	MaSigPro In-house 
ENSG00000112761	Kidney	Human	2	MaSigPro In-house 
ENSG00000114021	Kidney	Human	2	MaSigPro In-house 
ENSG00000115339	Kidney	Human	2	MaSigPro In-house 
ENSG00000117691	Kidney	Human	2	MaSigPro In-house 
